pomiar;3,700000;Uout->No load
-1,395400;0,396580
-1,296400;0,544782
-1,195800;0,693963
-1,097300;0,843473
-0,998300;0,993102
-0,897700;1,143931
-0,798400;1,293806
-0,698700;1,443670
-0,599200;1,593626
-0,499600;1,743552
-0,399200;1,894610
-0,298600;2,044544
-0,200100;2,194486
-0,099800;2,344891
-0,000100;2,497345
0,100600;2,649695
0,199900;2,799571
0,298900;2,949481
0,399000;3,099525
0,499200;3,250632
0,598300;3,400623
0,698100;3,550627
0,798100;3,700451
0,897000;3,850379
0,997700;4,001474
1,096600;4,151343
1,196000;4,301496
1,295500;4,451418
1,394900;4,601233

pomiar;3,700000;Uout->5K
-1,395500;0,400144
-1,296500;0,547211
-1,196600;0,695781
-1,096100;0,844842
-0,998000;0,994242
-0,897600;1,144922
-0,797500;1,294603
-0,698700;1,444335
-0,598700;1,594193
-0,499100;1,744055
-0,398000;1,895077
-0,299300;2,045002
-0,200000;2,194870
-0,099900;2,344791
-0,000300;2,497486
0,099400;2,649660
0,199300;2,799551
0,299500;2,949505
0,398500;3,099508
0,498900;3,250622
0,598500;3,400532
0,697500;3,550422
0,796700;3,700425
0,896100;3,850305
0,997300;4,001400
1,096900;4,151225
1,196400;4,301140
1,295500;4,451064
1,395300;4,600891

pomiar;7,400000;Uout->No load
-1,394100;0,402645
-1,294000;0,549511
-1,195600;0,697899
-1,095200;0,846904
-0,996600;0,996033
-0,896100;1,146611
-0,797300;1,296197
-0,697500;1,445777
-0,597900;1,595443
-0,499400;1,745116
-0,397600;1,896074
-0,298500;2,045804
-0,198900;2,195588
-0,100600;2,345288
-0,000200;2,498138
0,100400;2,650496
0,199300;2,800283
0,299400;2,950125
0,398700;3,099883
0,499000;3,250814
0,597900;3,400564
0,697800;3,550406
0,797000;3,700158
0,896400;3,849891
0,996700;4,000800
1,095500;4,150578
1,195100;4,300315
1,294400;4,450109
1,394500;4,599844

pomiar;7,400000;Uout->5K
-1,394700;0,402754
-1,294800;0,549654
-1,194700;0,698035
-1,095900;0,846998
-0,995600;0,996174
-0,896200;1,146672
-0,797000;1,296236
-0,697100;1,445798
-0,598200;1,595474
-0,498500;1,745240
-0,399100;1,896044
-0,299000;2,045838
-0,198900;2,195608
-0,099200;2,345359
-0,000100;2,498204
0,100500;2,650564
0,199500;2,800300
0,299100;2,950096
0,398600;3,099875
0,498500;3,250845
0,598100;3,400651
0,697600;3,550392
0,796900;3,700163
0,896600;3,849903
0,997300;4,000746
1,095900;4,150503
1,195700;4,300292
1,294400;4,449976
1,393900;4,599716

pomiar;12,000000;Uout->No load
-1,393300;0,403353
-1,294900;0,550139
-1,194500;0,698593
-1,094800;0,847564
-0,996600;0,996731
-0,896700;1,147286
-0,797100;1,296792
-0,698000;1,446433
-0,598600;1,596062
-0,498800;1,745776
-0,399100;1,896593
-0,298400;2,046420
-0,199000;2,196162
-0,099700;2,345947
-0,000400;2,498918
0,100300;2,651474
0,199500;2,801172
0,298700;2,950985
0,398300;3,100790
0,499000;3,251702
0,597700;3,401525
0,697400;3,551365
0,797200;3,701125
0,896200;3,850880
0,996600;4,001812
1,095200;4,151520
1,195600;4,301279
1,295600;4,451007
1,393700;4,600690

pomiar;12,000000;Uout->5K
-1,394400;0,402997
-1,295200;0,550129
-1,194900;0,698519
-1,095000;0,847529
-0,995700;0,996750
-0,895100;1,147257
-0,796100;1,296808
-0,697800;1,446361
-0,598200;1,596077
-0,499100;1,745742
-0,398900;1,896598
-0,299000;2,046375
-0,199000;2,196184
-0,099600;2,345879
-0,000100;2,498902
0,100000;2,651473
0,200400;2,801241
0,299500;2,951035
0,398500;3,100763
0,498000;3,251719
0,597800;3,401505
0,697500;3,551265
0,797200;3,701149
0,897100;3,850908
0,996300;4,001707
1,096200;4,151486
1,195000;4,301238
1,294200;4,450970
1,394400;4,600678

pomiar;18,000000;Uout->No load
-1,394700;0,404051
-1,293900;0,550940
-1,195300;0,699306
-1,095000;0,848251
-0,995500;0,997511
-0,896400;1,148015
-0,796300;1,297538
-0,697700;1,447167
-0,598300;1,596847
-0,499300;1,746554
-0,397900;1,897424
-0,299700;2,047168
-0,200100;2,196930
-0,099600;2,346659
-0,000700;2,499926
0,100300;2,652751
0,199500;2,802545
0,299100;2,952316
0,398200;3,102114
0,498800;3,253040
0,597500;3,402842
0,697300;3,552634
0,797000;3,702411
0,896700;3,852186
0,996300;4,003083
1,096000;4,152778
1,196000;4,302443
1,294400;4,452299
1,393800;4,601997

pomiar;18,000000;Uout->5K
-1,394800;0,404118
-1,294700;0,550971
-1,194700;0,699418
-1,096400;0,848374
-0,996800;0,997572
-0,896400;1,148110
-0,797200;1,297624
-0,696700;1,447249
-0,598400;1,596916
-0,498100;1,746626
-0,398400;1,897446
-0,299700;2,047206
-0,199700;2,196936
-0,099600;2,346729
-0,000500;2,499964
0,100900;2,652691
0,199800;2,802452
0,299200;2,952310
0,398800;3,102123
0,498800;3,253006
0,598200;3,402809
0,696600;3,552536
0,797200;3,702325
0,896000;3,852068
0,996300;4,002941
1,095800;4,152681
1,195300;4,302494
1,295000;4,452219
1,394200;4,601877

