pomiar;3,700000;Uout->No load
-1,392700;0,412035
-1,294100;0,559642
-1,193400;0,708485
-1,095100;0,857575
-0,994500;1,006862
-0,894000;1,157452
-0,795400;1,307067
-0,695300;1,456614
-0,595700;1,606201
-0,497100;1,755850
-0,396800;1,906637
-0,297300;2,056355
-0,198000;2,206090
-0,097200;2,355801
-0,000200;2,504901
0,097400;2,653446
0,197200;2,803079
0,297200;2,952717
0,395600;3,102404
0,496600;3,253310
0,596300;3,402973
0,696100;3,552581
0,794900;3,702188
0,894800;3,851780
0,994800;4,002456
1,094700;4,152041
1,193600;4,301630
1,293200;4,451155
1,393200;4,600538

pomiar;3,700000;Uout->5K
-1,392900;0,415103
-1,293500;0,561701
-1,193900;0,709854
-1,093400;0,858714
-0,994200;1,007753
-0,894100;1,158206
-0,794300;1,307642
-0,696300;1,457153
-0,596500;1,606729
-0,497100;1,756346
-0,395900;1,907079
-0,296700;2,056740
-0,196800;2,206454
-0,097500;2,356126
-0,000800;2,505102
0,098200;2,653573
0,196900;2,803172
0,296500;2,952806
0,396100;3,102474
0,496600;3,253290
0,596000;3,402973
0,695400;3,552645
0,795800;3,702199
0,894400;3,851812
0,995500;4,002402
1,094300;4,151972
1,194300;4,301531
1,293500;4,450985
1,393000;4,600543

pomiar;7,400000;Uout->No load
-1,390700;0,417016
-1,291300;0,563473
-1,192900;0,711462
-1,093700;0,860121
-0,994500;1,009095
-0,893200;1,159400
-0,793600;1,308695
-0,694300;1,458022
-0,595900;1,607455
-0,495400;1,756899
-0,395600;1,907512
-0,297300;2,056938
-0,196800;2,206473
-0,097900;2,355953
-0,000100;2,505193
0,098200;2,653849
0,197400;2,803375
0,297300;2,952912
0,396100;3,102454
0,495300;3,252980
0,594700;3,402477
0,694800;3,551876
0,795300;3,701393
0,893700;3,850700
0,994000;4,001292
1,093700;4,150804
1,192500;4,300135
1,291700;4,449507
1,391000;4,598844

pomiar;7,400000;Uout->5K
-1,392400;0,416599
-1,292600;0,563221
-1,193000;0,711290
-1,093500;0,859952
-0,993200;1,008934
-0,893900;1,159169
-0,793700;1,308450
-0,695600;1,457748
-0,595600;1,607147
-0,495400;1,756600
-0,396200;1,907259
-0,296900;2,056746
-0,196700;2,206287
-0,098700;2,355813
0,000500;2,505075
0,098000;2,653711
0,197000;2,803198
0,297000;2,952758
0,396000;3,102304
0,496400;3,252988
0,595800;3,402462
0,695500;3,551972
0,794900;3,701418
0,894100;3,850849
0,993800;4,001357
1,093600;4,150772
1,192600;4,300123
1,292500;4,449403
1,391800;4,598762

pomiar;12,000000;Uout->No load
-1,392100;0,416639
-1,291500;0,563253
-1,192300;0,711301
-1,092700;0,859942
-0,994700;1,008866
-0,893200;1,159041
-0,793900;1,308322
-0,694200;1,457676
-0,595600;1,607148
-0,496500;1,756580
-0,396900;1,907190
-0,296600;2,056717
-0,197800;2,206240
-0,098500;2,355743
-0,000600;2,505258
0,098200;2,654131
0,197300;2,803550
0,296000;2,953112
0,395900;3,102634
0,496300;3,253280
0,595400;3,402798
0,694900;3,552253
0,794600;3,701757
0,893600;3,851200
0,994000;4,001765
1,093800;4,151189
1,192200;4,300457
1,291900;4,449797
1,392000;4,599113

pomiar;12,000000;Uout->5K
-1,392700;0,416308
-1,291400;0,562864
-1,193600;0,710965
-1,093700;0,859660
-0,994100;1,008625
-0,894300;1,158942
-0,795100;1,308220
-0,695800;1,457606
-0,595800;1,606992
-0,497000;1,756566
-0,395200;1,907158
-0,296900;2,056679
-0,196100;2,206187
-0,097400;2,355644
-0,000300;2,505091
0,097900;2,653948
0,197500;2,803500
0,297400;2,953099
0,396700;3,102719
0,496900;3,253375
0,595400;3,402880
0,695000;3,552354
0,794500;3,701765
0,893400;3,851196
0,994000;4,001790
1,093000;4,151155
1,192800;4,300581
1,291900;4,449926
1,391100;4,599307

pomiar;18,000000;Uout->No load
-1,391800;0,416830
-1,292400;0,563192
-1,192800;0,711310
-1,092600;0,859901
-0,994600;1,008891
-0,894100;1,159164
-0,795200;1,308483
-0,695700;1,457862
-0,595500;1,607296
-0,496400;1,756707
-0,396600;1,907310
-0,295800;2,056830
-0,196600;2,206410
-0,098300;2,355879
0,000200;2,505562
0,098300;2,654603
0,197000;2,804173
0,296500;2,953729
0,395800;3,103227
0,496600;3,253864
0,595700;3,403320
0,695500;3,552772
0,794100;3,702189
0,894000;3,851678
0,994500;4,002268
1,093500;4,151948
1,193500;4,301053
1,291900;4,450409
1,391400;4,599721

pomiar;18,000000;Uout->5K
-1,390700;0,416514
-1,293000;0,562938
-1,193500;0,710920
-1,094600;0,859434
-0,993700;1,008315
-0,893300;1,158511
-0,794500;1,307673
-0,695600;1,456954
-0,595300;1,606267
-0,497400;1,755662
-0,397500;1,906293
-0,297900;2,055733
-0,198500;2,205198
-0,099100;2,354624
-0,000300;2,505612
0,098900;2,656190
0,198300;2,805676
0,298200;2,955246
0,396500;3,104847
0,497400;3,255498
0,597100;3,405064
0,696000;3,554615
0,794700;3,704082
0,895500;3,853548
0,995000;4,004149
1,094800;4,153577
1,193300;4,302966
1,293200;4,452380
1,393500;4,601787

