pomiar;3,700000;Uout->No load
-1,395200;0,406642
-1,295000;0,554959
-1,196400;0,704144
-1,097400;0,853637
-0,997600;1,003223
-0,897100;1,154045
-0,796700;1,303907
-0,697300;1,453902
-0,598100;1,603727
-0,499400;1,753648
-0,399200;1,904758
-0,299400;2,054717
-0,200200;2,204727
-0,099100;2,354769
-0,000200;2,507649
0,100500;2,659855
0,199700;2,809890
0,298600;2,959932
0,398300;3,110026
0,499000;3,261172
0,599200;3,411260
0,697900;3,561362
0,797400;3,711497
0,897300;3,861633
0,997100;4,012866
1,096800;4,162993
1,196100;4,313108
1,295500;4,463255
1,395500;4,613358

pomiar;3,700000;Uout->5K
-1,396000;0,410245
-1,296000;0,557213
-1,195900;0,705899
-1,096100;0,854920
-0,997200;1,004272
-0,896800;1,154944
-0,797900;1,304555
-0,698100;1,454349
-0,598500;1,604115
-0,498400;1,753956
-0,397900;1,905037
-0,299400;2,054982
-0,200300;2,204947
-0,100100;2,354921
-0,000400;2,507703
0,100600;2,659846
0,199200;2,809855
0,299100;2,959950
0,398400;3,110099
0,499000;3,261321
0,598700;3,411375
0,697600;3,561510
0,797600;3,711603
0,897200;3,861742
0,997100;4,012992
1,096400;4,163054
1,195700;4,313170
1,295500;4,463318
1,394800;4,613504

pomiar;7,400000;Uout->No load
-1,393900;0,411729
-1,295400;0,558880
-1,195400;0,707334
-1,095500;0,856304
-0,996700;1,005530
-0,896500;1,155983
-0,796900;1,305528
-0,696600;1,455116
-0,598000;1,604778
-0,498800;1,754632
-0,399000;1,905519
-0,298700;2,055381
-0,199300;2,205196
-0,099100;2,355014
0,000500;2,507771
0,100500;2,659807
0,199700;2,809656
0,299100;2,959597
0,397900;3,109493
0,498200;3,260559
0,598200;3,410520
0,697400;3,560532
0,796500;3,710458
0,896400;3,860415
0,995900;4,011483
1,095900;4,161469
1,194400;4,311536
1,294600;4,461531
1,393900;4,611481

pomiar;7,400000;Uout->5K
-1,394000;0,412124
-1,294900;0,559220
-1,194300;0,707603
-1,094800;0,856604
-0,996000;1,005780
-0,896400;1,156300
-0,796500;1,305793
-0,696100;1,455491
-0,598100;1,605133
-0,497600;1,754886
-0,398200;1,905801
-0,298600;2,055593
-0,198700;2,205436
-0,100200;2,355318
-0,000400;2,507842
0,100100;2,659745
0,199300;2,809543
0,298700;2,959516
0,398200;3,109450
0,497900;3,260541
0,597400;3,410504
0,697200;3,560449
0,796000;3,710433
0,895600;3,860381
0,996200;4,011488
1,095100;4,161418
1,195000;4,311383
1,294800;4,461316
1,393500;4,611305

pomiar;12,000000;Uout->No load
-1,394200;0,412019
-1,293600;0,558899
-1,195200;0,707370
-1,095800;0,856303
-0,995200;1,005570
-0,895600;1,156094
-0,795600;1,305600
-0,697400;1,455227
-0,597900;1,604934
-0,498600;1,754668
-0,397400;1,905547
-0,299200;2,055340
-0,199700;2,205122
-0,100100;2,354963
-0,000600;2,507684
0,099800;2,659772
0,199200;2,809674
0,298700;2,959628
0,397900;3,109518
0,498200;3,260574
0,597500;3,410578
0,697400;3,560516
0,796500;3,710527
0,895500;3,860481
0,995100;4,011590
1,095700;4,161561
1,194800;4,311585
1,294600;4,461608
1,393500;4,611499

pomiar;12,000000;Uout->5K
-1,394000;0,411788
-1,294800;0,558707
-1,195500;0,707173
-1,095900;0,856070
-0,996200;1,005317
-0,896500;1,155858
-0,796600;1,305317
-0,697400;1,454972
-0,598500;1,604625
-0,498800;1,754407
-0,398700;1,905289
-0,299200;2,055064
-0,199800;2,204812
-0,099100;2,354603
-0,000300;2,507502
0,099600;2,659712
0,199200;2,809590
0,298500;2,959499
0,398500;3,109440
0,498700;3,260512
0,597700;3,410529
0,696400;3,560476
0,796400;3,710438
0,895900;3,860413
0,995900;4,011580
1,095300;4,161505
1,195200;4,311481
1,294700;4,461484
1,394100;4,611517

pomiar;18,000000;Uout->No load
-1,393800;0,411248
-1,294900;0,558276
-1,195300;0,706720
-1,096100;0,855741
-0,996300;1,004969
-0,894900;1,155526
-0,795600;1,305012
-0,697500;1,454698
-0,597800;1,604439
-0,497400;1,754143
-0,398600;1,905049
-0,298100;2,054882
-0,199600;2,204651
-0,099400;2,354494
-0,001000;2,507550
0,100300;2,659948
0,199100;2,809806
0,298900;2,959748
0,397800;3,109735
0,498700;3,260762
0,597700;3,410768
0,696600;3,560771
0,796600;3,710709
0,895500;3,860644
0,996500;4,011802
1,095600;4,161722
1,195000;4,311688
1,293800;4,461688
1,393600;4,611713

pomiar;18,000000;Uout->5K
-1,394100;0,411581
-1,294700;0,558538
-1,195300;0,706843
-1,094800;0,855804
-0,996500;1,004984
-0,894900;1,155492
-0,796100;1,305048
-0,697400;1,454647
-0,598100;1,604288
-0,497300;1,754104
-0,398100;1,905002
-0,299200;2,054848
-0,198400;2,204707
-0,099900;2,354532
-0,000300;2,507487
0,099700;2,659801
0,199300;2,809618
0,298400;2,959604
0,398200;3,109589
0,498100;3,260681
0,597900;3,410593
0,697300;3,560527
0,796800;3,710507
0,895500;3,860482
0,996100;4,011659
1,095000;4,161611
1,194800;4,311547
1,294600;4,461553
1,393300;4,611478

