pomiar;3,700000;Uout->No load
-1,393300;0,405712
-1,293800;0,553824
-1,193900;0,702986
-1,094300;0,852423
-0,995800;1,002030
-0,895000;1,152869
-0,796200;1,302777
-0,695200;1,452566
-0,597000;1,602385
-0,497400;1,752224
-0,397200;1,903206
-0,297800;2,053120
-0,197000;2,202968
-0,097300;2,352865
-0,000100;2,502631
0,098300;2,652025
0,198300;2,801877
0,296900;2,951871
0,396700;3,101806
0,497600;3,252875
0,596300;3,402812
0,695900;3,552765
0,795300;3,702723
0,894800;3,852706
0,995500;4,003896
1,094300;4,153892
1,194100;4,303863
1,293300;4,453888
1,392900;4,603726

pomiar;3,700000;Uout->5K
-1,393200;0,409407
-1,293700;0,556316
-1,194800;0,704797
-1,095200;0,853740
-0,994500;1,002959
-0,895300;1,153533
-0,795300;1,303154
-0,695800;1,452797
-0,595600;1,602561
-0,496700;1,752261
-0,396800;1,903157
-0,296400;2,053014
-0,198300;2,202819
-0,098100;2,352677
-0,000200;2,502322
0,098600;2,651575
0,197600;2,801469
0,297700;2,951481
0,396800;3,101086
0,496400;3,252244
0,596100;3,400307
0,696100;3,550237
0,795000;3,700072
0,895700;3,850320
0,995100;4,000243
1,094200;0,029180
1,094800;4,151353
1,194500;4,301337
1,293300;4,451536
1,393000;4,602025

pomiar;7,400000;Uout->No load
-1,390500;0,411409
-1,291700;0,558177
-1,193100;0,706579
-1,092500;0,855623
-0,993100;1,004760
-0,894100;1,155429
-0,794700;1,304949
-0,694600;1,454520
-0,595100;1,604133
-0,496600;1,753892
-0,396700;1,904710
-0,296300;2,054441
-0,198100;2,204099
-0,098600;2,353787
-0,000200;2,503406
0,098100;2,652704
0,197200;2,802398
0,297700;2,952213
0,396200;3,101940
0,496000;3,252829
0,595500;3,402639
0,695100;3,552370
0,793800;3,702178
0,894700;3,852118
0,994000;4,003084
1,093900;4,152949
1,192800;4,302759
1,292500;4,452568
1,392400;4,602489

pomiar;7,400000;Uout->5K
-1,392500;0,412324
-1,291600;0,558951
-1,192500;0,707267
-1,094200;0,856202
-0,994500;1,005289
-0,893100;1,155766
-0,795500;1,305207
-0,695800;1,454723
-0,596500;1,604308
-0,495700;1,753944
-0,396900;1,904783
-0,297300;2,054446
-0,196600;2,204200
-0,099000;2,353820
-0,000300;2,503507
0,098500;2,652640
0,197900;2,802483
0,296900;2,952220
0,396200;3,102041
0,496700;3,252967
0,595900;3,402784
0,695000;3,552572
0,794600;3,702357
0,893500;3,852198
0,993900;4,003130
1,093600;4,152970
1,192700;4,302771
1,291900;4,452590
1,391700;4,602451

pomiar;12,000000;Uout->No load
-1,391000;0,413174
-1,291800;0,559972
-1,193000;0,708202
-1,092800;0,856983
-0,994400;1,006137
-0,894300;1,156600
-0,795000;1,306034
-0,695700;1,455631
-0,596200;1,605127
-0,495500;1,754791
-0,396400;1,905604
-0,296100;2,055199
-0,196800;2,204944
-0,098600;2,354638
-0,000400;2,504498
0,098200;2,653811
0,197500;2,803530
0,297100;2,953327
0,395900;3,103131
0,496500;3,253950
0,596100;3,403787
0,694900;3,553577
0,794500;3,703419
0,894600;3,853218
0,995000;4,004125
1,093700;4,153970
1,192900;4,303761
1,292300;4,453568
1,392200;4,603494

pomiar;12,000000;Uout->5K
-1,392100;0,413259
-1,292900;0,559909
-1,192800;0,708237
-1,093200;0,857072
-0,994500;1,006166
-0,893100;1,156578
-0,793700;1,305992
-0,695300;1,455520
-0,594900;1,605115
-0,496900;1,754720
-0,396700;1,905547
-0,297400;2,055211
-0,197800;2,204949
-0,098200;2,354569
-0,000200;2,504409
0,098200;2,653723
0,197300;2,803358
0,297000;2,953161
0,395800;3,102923
0,496200;3,253863
0,595700;3,405777
0,694900;3,555607
0,794200;3,705381
0,894100;3,855229
0,993800;4,006128
1,093400;4,155977
1,192500;4,305703
1,292100;4,455486
1,391800;4,605292

pomiar;18,000000;Uout->No load
-1,391800;0,416313
-1,292000;0,562994
-1,192200;0,711347
-1,093600;0,860176
-0,993500;1,009289
-0,893100;1,159845
-0,795000;1,309265
-0,694000;1,458794
-0,596300;1,608337
-0,496300;1,757967
-0,396200;1,908800
-0,296000;2,058454
-0,196600;2,208106
-0,098500;2,357985
-0,000900;2,507894
0,098200;2,657401
0,197200;2,807057
0,296800;2,956924
0,396500;3,106745
0,496000;3,257612
0,595800;3,407391
0,694700;3,557160
0,794700;3,707005
0,894200;3,856811
0,994300;4,007698
1,093500;4,157493
1,193100;4,307303
1,292000;4,457086
1,391500;4,606873

pomiar;18,000000;Uout->5K
-1,390900;0,416590
-1,292700;0,563354
-1,193200;0,711605
-1,093000;0,860475
-0,994400;1,009587
-0,893900;1,160085
-0,794800;1,309588
-0,695400;1,458956
-0,595800;1,608579
-0,496600;1,758136
-0,396700;1,908976
-0,295900;2,058675
-0,196900;2,208366
-0,098300;2,358049
-0,000200;2,507995
0,098100;2,657429
0,197200;2,807084
0,297100;2,956876
0,396300;3,106585
0,496300;3,257478
0,595800;3,407259
0,694700;3,557074
0,794400;3,706851
0,893800;3,856697
0,993800;4,007588
1,093400;4,157423
1,192800;4,307202
1,291800;4,456921
1,391700;4,606761

