nr;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A
NR101;3,700000;NO;2,503052;-1,501444;3,700000;YES;2,503620;-1,500727;7,400000;NO;2,503724;-1,500670;7,400000;YES;2,503629;-1,500792;12,000000;NO;2,503911;-1,500987;12,000000;YES;2,503780;-1,500800;18,000000;NO;2,503821;-1,501271;18,000000;YES;2,503756;-1,501186
NR65;3,700000;NO;2,503872;-1,504019;3,700000;YES;2,504379;-1,503406;7,400000;NO;2,504404;-1,503625;7,400000;YES;2,504465;-1,503336;12,000000;NO;2,504483;-1,503550;12,000000;YES;2,504471;-1,503564;18,000000;NO;2,504675;-1,504012;18,000000;YES;2,504532;-1,503623
NR62;3,700000;NO;2,506250;-1,507838;3,700000;YES;2,506734;-1,507209;7,400000;NO;2,506501;-1,507285;7,400000;YES;2,506513;-1,507467;12,000000;NO;2,506430;-1,507541;12,000000;YES;2,506316;-1,507734;18,000000;NO;2,506466;-1,507913;18,000000;YES;2,506418;-1,507441
NR63;3,700000;NO;2,505080;-1,501096;3,700000;YES;2,505647;-1,500795;7,400000;NO;2,505976;-1,500827;7,400000;YES;2,505966;-1,501021;12,000000;NO;2,505896;-1,501133;12,000000;YES;2,505835;-1,501140;18,000000;NO;2,506347;-1,501156;18,000000;YES;2,506517;-1,501134
NR64;3,700000;NO;2,499499;-1,499783;3,700000;YES;2,500019;-1,498948;7,400000;NO;2,500335;-1,499433;7,400000;YES;2,500013;-1,499512;12,000000;NO;2,499946;-1,499216;12,000000;YES;2,499758;-1,499509;18,000000;NO;2,499636;-1,499423;18,000000;YES;2,499923;-1,499337
NR74;3,700000;NO;2,501514;-1,509515;3,700000;YES;2,501835;-1,508190;7,400000;NO;2,502163;-1,508948;7,400000;YES;2,502232;-1,508715;12,000000;NO;2,502219;-1,508833;12,000000;YES;2,502333;-1,508826;18,000000;NO;2,502009;-1,509478;18,000000;YES;2,502397;-1,509304
NR66;3,700000;NO;2,506124;-1,511306;3,700000;YES;2,506808;-1,510096;7,400000;NO;2,506714;-1,510481;7,400000;YES;2,506841;-1,510045;12,000000;NO;2,506309;-1,510230;12,000000;YES;2,506439;-1,510227;18,000000;NO;2,506063;-1,510846;18,000000;YES;2,505959;-1,510627
NR87;3,700000;NO;2,501789;-1,505084;3,700000;YES;2,502515;-1,503986;7,400000;NO;2,502932;-1,504434;7,400000;YES;2,502855;-1,504337;12,000000;NO;2,503163;-1,504694;12,000000;YES;2,503431;-1,504580;18,000000;NO;2,503817;-1,504567;18,000000;YES;2,503862;-1,504791
NR78;3,700000;NO;2,499316;-1,501503;3,700000;YES;2,499943;-1,500883;7,400000;NO;2,499647;-1,500866;7,400000;YES;2,499647;-1,500832;12,000000;NO;2,499348;-1,501301;12,000000;YES;2,499279;-1,501057;18,000000;NO;2,499112;-1,501130;18,000000;YES;2,499312;-1,501141
NR88;3,700000;NO;2,496699;-1,506484;3,700000;YES;2,497223;-1,505868;7,400000;NO;2,497149;-1,506192;7,400000;YES;2,497036;-1,505859;12,000000;NO;2,497064;-1,506043;12,000000;YES;2,497059;-1,505820;18,000000;NO;2,496957;-1,506434;18,000000;YES;2,496863;-1,506249
NR112;3,700000;NO;2,505353;-1,504573;3,700000;YES;2,505624;-1,503884;7,400000;NO;2,506153;-1,503840;7,400000;YES;2,505873;-1,503838;12,000000;NO;2,506500;-1,504147;12,000000;YES;2,506299;-1,504075;18,000000;NO;2,506964;-1,504444;18,000000;YES;2,506936;-1,504620
NR103;3,700000;NO;2,496284;-1,511299;3,700000;YES;2,496437;-1,510683;7,400000;NO;2,496728;-1,510694;7,400000;YES;2,496641;-1,510448;12,000000;NO;2,496681;-1,510870;12,000000;YES;2,496852;-1,510825;18,000000;NO;2,496831;-1,510998;18,000000;YES;2,496613;-1,511116
NR110;3,700000;NO;2,508940;-1,505837;3,700000;YES;2,507765;-1,507092;7,400000;NO;2,506311;-1,507569;7,400000;YES;2,505915;-1,507565;12,000000;NO;2,505331;-1,507762;12,000000;YES;2,505276;-1,507939;18,000000;NO;2,504401;-1,508474;18,000000;YES;2,504532;-1,508508
NR116;3,700000;NO;2,503376;-1,509786;3,700000;YES;2,504195;-1,508571;7,400000;NO;2,504211;-1,508955;7,400000;YES;2,504299;-1,508767;12,000000;NO;2,504449;-1,509237;12,000000;YES;2,504479;-1,509397;18,000000;NO;2,504894;-1,509541;18,000000;YES;2,504939;-1,509667
NR189;3,700000;NO;2,497560;-1,511759;3,700000;YES;2,497893;-1,511014;7,400000;NO;2,498146;-1,511246;7,400000;YES;2,498286;-1,511021;12,000000;NO;2,498112;-1,511553;12,000000;YES;2,498599;-1,511592;18,000000;NO;2,498165;-1,511494;18,000000;YES;2,498261;-1,511717
NR273;3,700000;NO;2,498828;-1,515135;3,700000;YES;2,499118;-1,514663;7,400000;NO;2,500074;-1,515948;7,400000;YES;2,499684;-1,516438;12,000000;NO;2,500448;-1,516840;12,000000;YES;2,500643;-1,516815;18,000000;NO;2,502297;-1,517344;18,000000;YES;2,502335;-1,517281
NR89;3,700000;NO;2,493118;-1,509992;3,700000;YES;2,493714;-1,508973;7,400000;NO;2,493875;-1,509160;7,400000;YES;2,494088;-1,509300;12,000000;NO;2,494273;-1,509175;12,000000;YES;2,494233;-1,509455;18,000000;NO;2,494413;-1,509640;18,000000;YES;2,494142;-1,509940
NR67;3,700000;NO;2,497790;-1,510163;3,700000;YES;2,498237;-1,509572;7,400000;NO;2,497567;-1,510013;7,400000;YES;2,497391;-1,510283;12,000000;NO;2,497115;-1,510310;12,000000;YES;2,497146;-1,510195;18,000000;NO;2,496740;-1,510364;18,000000;YES;2,496539;-1,510773
NR81;3,700000;NO;2,501591;-1,510184;3,700000;YES;2,502209;-1,509579;7,400000;NO;2,501736;-1,509924;7,400000;YES;2,501968;-1,509821;12,000000;NO;2,501720;-1,509997;12,000000;YES;2,501250;-1,510167;18,000000;NO;2,500574;-1,510206;18,000000;YES;2,500877;-1,510052
