nr;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A
NR209;3,700000;NO;2,498973;-1,511886;3,700000;YES;2,499214;-1,510275;7,400000;NO;2,499119;-1,511090;7,400000;YES;2,499185;-1,511086;12,000000;NO;2,499339;-1,511311;12,000000;YES;2,499326;-1,511438;18,000000;NO;2,499603;-1,511444;18,000000;YES;2,499762;-1,511576
NR210;3,700000;NO;2,501735;-1,504642;3,700000;YES;2,502521;-1,503769;7,400000;NO;2,503084;-1,503614;7,400000;YES;2,503035;-1,503764;12,000000;NO;2,503237;-1,503998;12,000000;YES;2,503025;-1,503943;18,000000;NO;2,503512;-1,504387;18,000000;YES;2,503292;-1,504256
NR211;3,700000;NO;2,500711;-1,498878;3,700000;YES;2,500810;-1,498774;7,400000;NO;2,501052;-1,498869;7,400000;YES;2,500967;-1,498982;12,000000;NO;2,500918;-1,498970;12,000000;YES;2,500910;-1,499086;18,000000;NO;2,500821;-1,499576;18,000000;YES;2,500991;-1,499133
NR212;3,700000;NO;2,499579;-1,511518;3,700000;YES;2,499900;-1,511084;7,400000;NO;2,499918;-1,511032;7,400000;YES;2,499714;-1,510879;12,000000;NO;2,499342;-1,511395;12,000000;YES;2,499738;-1,510907;18,000000;NO;2,498989;-1,511835;18,000000;YES;2,499212;-1,511678
NR190;3,700000;NO;2,502377;-1,509110;3,700000;YES;2,502660;-1,508660;7,400000;NO;2,502567;-1,509148;7,400000;YES;2,502722;-1,508866;12,000000;NO;2,502739;-1,509344;12,000000;YES;2,502327;-1,509309;18,000000;NO;2,502808;-1,509376;18,000000;YES;2,502630;-1,509240
NR191;3,700000;NO;2,504875;-1,505107;3,700000;YES;2,505102;-1,504550;7,400000;NO;2,505255;-1,505022;7,400000;YES;2,505171;-1,504562;12,000000;NO;2,505433;-1,505121;12,000000;YES;2,505431;-1,504928;18,000000;NO;2,505749;-1,505009;18,000000;YES;2,505811;-1,505339
NR192;3,700000;NO;2,498854;-1,506351;3,700000;YES;2,499520;-1,505722;7,400000;NO;2,499459;-1,505788;7,400000;YES;2,499625;-1,505672;12,000000;NO;2,499693;-1,505873;12,000000;YES;2,499345;-1,506068;18,000000;NO;2,499538;-1,506037;18,000000;YES;2,499585;-1,506069
NR
NR153;3,700000;NO;2,513119;-1,514508;3,700000;YES;2,513618;-1,513777;7,400000;NO;2,514212;-1,514101;7,400000;YES;2,514134;-1,514059;12,000000;NO;2,514955;-1,514215;12,000000;YES;2,514932;-1,513985;18,000000;NO;2,515874;-1,514396;18,000000;YES;2,516022;-1,514377
NR155;3,700000;NO;2,499449;-1,511307;3,700000;YES;2,500053;-1,510634;7,400000;NO;2,499528;-1,510742;7,400000;YES;2,499830;-1,510672;12,000000;NO;2,499293;-1,510953;12,000000;YES;2,499316;-1,511127;18,000000;NO;2,499143;-1,510986;18,000000;YES;2,499105;-1,511343
NR156;3,700000;NO;2,493728;-1,507832;3,700000;YES;2,494249;-1,507092;7,400000;NO;2,494654;-1,506753;7,400000;YES;2,494484;-1,507081;12,000000;NO;2,494866;-1,507265;12,000000;YES;2,494703;-1,507255;18,000000;NO;2,495672;-1,507531;18,000000;YES;2,495868;-1,507496
NR129;3,700000;NO;2,508191;-1,511696;3,700000;YES;2,508929;-1,510983;7,400000;NO;2,508780;-1,511180;7,400000;YES;2,508822;-1,511369;12,000000;NO;2,508588;-1,511531;12,000000;YES;2,508625;-1,511531;18,000000;NO;2,508627;-1,511646;18,000000;YES;2,508572;-1,511528
NR130;3,700000;NO;2,503452;-1,512318;3,700000;YES;2,503506;-1,512063;7,400000;NO;2,504072;-1,512043;7,400000;YES;2,504065;-1,511625;12,000000;NO;2,504042;-1,512201;12,000000;YES;2,504202;-1,512306;18,000000;NO;2,504593;-1,512367;18,000000;YES;2,504548;-1,512316
NR131;3,700000;NO;2,497574;-1,512617;3,700000;YES;2,498237;-1,512013;7,400000;NO;2,497583;-1,512290;7,400000;YES;2,497643;-1,512255;12,000000;NO;2,496869;-1,512558;12,000000;YES;2,497134;-1,512661;18,000000;NO;2,496627;-1,512780;18,000000;YES;2,496317;-1,512920
NR132;3,700000;NO;2,497634;-1,507750;3,700000;YES;2,498152;-1,507145;7,400000;NO;2,498382;-1,507283;7,400000;YES;2,498363;-1,507128;12,000000;NO;2,499236;-1,507466;12,000000;YES;2,499071;-1,507524;18,000000;NO;2,500273;-1,507779;18,000000;YES;2,500312;-1,507476
NR205;3,700000;NO;2,505579;-1,510980;3,700000;YES;2,506524;-1,510324;7,400000;NO;2,506497;-1,510428;7,400000;YES;2,506463;-1,510657;12,000000;NO;2,506463;-1,510684;12,000000;YES;2,506294;-1,510954;18,000000;NO;2,506388;-1,510849;18,000000;YES;2,506125;-1,510828
NR206;3,700000;NO;2,501142;-1,515627;3,700000;YES;2,501416;-1,515178;7,400000;NO;2,501640;-1,515269;7,400000;YES;2,501744;-1,515355;12,000000;NO;2,501756;-1,515381;12,000000;YES;2,501722;-1,515610;18,000000;NO;2,501866;-1,516041;18,000000;YES;2,501767;-1,515589
NR207;3,700000;NO;2,499057;-1,510284;3,700000;YES;2,499255;-1,509843;7,400000;NO;2,499000;-1,509797;7,400000;YES;2,499017;-1,509699;12,000000;NO;2,498377;-1,510239;12,000000;YES;2,498578;-1,509924;18,000000;NO;2,498244;-1,510390;18,000000;YES;2,498291;-1,510216
NR208;3,700000;NO;2,506237;-1,504550;3,700000;YES;2,506528;-1,503871;7,400000;NO;2,506212;-1,504190;7,400000;YES;2,506508;-1,503808;12,000000;NO;2,506466;-1,504633;12,000000;YES;2,506174;-1,504230;18,000000;NO;2,506419;-1,504508;18,000000;YES;2,506226;-1,504521
NR221;3,700000;NO;2,495232;-1,509686;3,700000;YES;2,495579;-1,509041;7,400000;NO;2,495669;-1,508910;7,400000;YES;2,495730;-1,508994;12,000000;NO;2,495960;-1,509136;12,000000;YES;2,495952;-1,509164;18,000000;NO;2,495404;-1,509348;18,000000;YES;2,495410;-1,509678
NR223;3,700000;NO;2,506686;-1,510145;3,700000;YES;2,507335;-1,509224;7,400000;NO;2,507156;-1,509414;7,400000;YES;2,507068;-1,509620;12,000000;NO;2,506581;-1,509601;12,000000;YES;2,506568;-1,509633;18,000000;NO;2,505933;-1,509527;18,000000;YES;2,505923;-1,509841
NR224;3,700000;NO;2,507564;-1,507594;3,700000;YES;2,508120;-1,506687;7,400000;NO;2,507980;-1,507089;7,400000;YES;2,508274;-1,506689;12,000000;NO;2,508015;-1,507187;12,000000;YES;2,507895;-1,507141;18,000000;NO;2,507666;-1,507316;18,000000;YES;2,507567;-1,507140
NR261;3,700000;NO;2,497257;-1,510503;3,700000;YES;2,497393;-1,510167;7,400000;NO;2,497387;-1,510181;7,400000;YES;2,497324;-1,510259;12,000000;NO;2,497234;-1,510801;12,000000;YES;2,497335;-1,510464;18,000000;NO;2,497322;-1,510593;18,000000;YES;2,497190;-1,510698
NR264;3,700000;NO;2,501694;-1,513921;3,700000;YES;2,502355;-1,513201;7,400000;NO;2,501954;-1,513172;7,400000;YES;2,501978;-1,513324;12,000000;NO;2,501789;-1,513644;12,000000;YES;2,501618;-1,513533;18,000000;NO;2,500996;-1,513785;18,000000;YES;2,501440;-1,513713
NR262;3,700000;NO;2,496284;-1,513639;3,700000;YES;2,496714;-1,513227;7,400000;NO;2,496758;-1,513303;7,400000;YES;2,496694;-1,513253;12,000000;NO;2,497153;-1,513420;12,000000;YES;2,496820;-1,513461;18,000000;NO;2,497129;-1,513648;18,000000;YES;2,497299;-1,513757
NR263;3,700000;NO;2,511539;-1,508012;3,700000;YES;2,511921;-1,507263;7,400000;NO;2,512028;-1,507291;7,400000;YES;2,511914;-1,507747;12,000000;NO;2,512430;-1,507578;12,000000;YES;2,512364;-1,507681;18,000000;NO;2,512849;-1,507869;18,000000;YES;2,512717;-1,508027
NR214;3,700000;NO;2,507656;-1,506997;3,700000;YES;2,508177;-1,506122;7,400000;NO;2,508051;-1,505929;7,400000;YES;2,507933;-1,506141;12,000000;NO;2,508276;-1,506474;12,000000;YES;2,508140;-1,506469;18,000000;NO;2,508172;-1,506802;18,000000;YES;2,508062;-1,506593
NR215;3,700000;NO;2,493365;-1,506299;3,700000;YES;2,493813;-1,505899;7,400000;NO;2,493499;-1,506063;7,400000;YES;2,493651;-1,505913;12,000000;NO;2,493122;-1,506338;12,000000;YES;2,493273;-1,506409;18,000000;NO;2,492873;-1,506414;18,000000;YES;2,492436;-1,506377
NR216;3,700000;NO;2,507268;-1,509277;3,700000;YES;2,507842;-1,508666;7,400000;NO;2,507856;-1,509086;7,400000;YES;2,507865;-1,509040;12,000000;NO;2,507905;-1,509031;12,000000;YES;2,507769;-1,509164;18,000000;NO;2,507813;-1,509146;18,000000;YES;2,507824;-1,509566
NR337;3,700000;NO;2,498645;-1,504641;3,700000;YES;2,499288;-1,503912;7,400000;NO;2,499480;-1,503710;7,400000;YES;2,499152;-1,503967;12,000000;NO;2,499142;-1,504302;12,000000;YES;2,499330;-1,503915;18,000000;NO;2,499258;-1,504477;18,000000;YES;2,499101;-1,504465
NR340;3,700000;NO;2,492188;-1,506920;3,700000;YES;2,492856;-1,506717;7,400000;NO;2,492887;-1,506584;7,400000;YES;2,493156;-1,506453;12,000000;NO;2,493032;-1,506962;12,000000;YES;2,493002;-1,506737;18,000000;NO;2,493097;-1,507200;18,000000;YES;2,492880;-1,507221
