pomiar;3,700000;Uout->No load
-1,395300;0,415092
-1,295600;0,562460
-1,196700;0,710542
-1,097800;0,859037
-0,997600;1,007528
-0,896500;1,158110
-0,798400;1,307752
-0,697900;1,456866
-0,598800;1,605355
-0,499100;1,754825
-0,399100;1,905585
-0,299200;2,054886
-0,199900;2,204244
-0,100500;2,353414
-0,000500;2,505481
0,100400;2,656746
0,200100;2,806507
0,299100;2,955262
0,398900;3,105252
0,499400;3,255279
0,598500;3,404271
0,698200;3,554089
0,798400;3,702817
0,896800;3,853091
0,997500;4,003589
1,097400;4,152197
1,195700;4,301369
1,295600;4,450346
1,395600;4,600256

pomiar;3,700000;Uout->5K
-1,395600;0,419184
-1,296100;0,565521
-1,195600;0,713217
-1,096100;0,861216
-0,997600;1,009194
-0,896900;1,159928
-0,796700;1,308639
-0,697100;1,457817
-0,598200;1,607137
-0,499200;1,755424
-0,399300;1,906750
-0,299200;2,056000
-0,199400;2,204605
-0,099300;2,353967
-0,000500;2,506107
0,099400;2,657305
0,200000;2,807120
0,299700;2,956282
0,398700;3,105140
0,499300;3,255991
0,599000;3,404985
0,697900;3,554588
0,797600;3,704074
0,897500;3,853531
0,997300;4,003922
1,096500;4,153581
1,196300;4,302648
1,295900;4,451410
1,395900;4,600876

pomiar;7,400000;Uout->No load
-1,394500;0,420712
-1,294300;0,566977
-1,196300;0,714922
-1,096000;0,862666
-0,997000;1,010665
-0,895400;1,161329
-0,796200;1,309855
-0,698200;1,458459
-0,597300;1,607160
-0,498200;1,756229
-0,397700;1,906991
-0,299600;2,056080
-0,199600;2,205245
-0,100900;2,354079
-0,000200;2,506120
0,100200;2,657773
0,199500;2,807353
0,299400;2,956711
0,399300;3,105582
0,498500;3,255265
0,598100;3,404431
0,698000;3,553534
0,797300;3,702971
0,896700;3,852174
0,997000;4,002295
1,095500;4,151314
1,195200;4,301464
1,295100;4,449762
1,394600;4,599122

pomiar;7,400000;Uout->5K
-1,394700;0,421358
-1,295100;0,567046
-1,196200;0,714003
-1,096700;0,863083
-0,996500;1,010801
-0,895400;1,160882
-0,796100;1,309317
-0,698000;1,458247
-0,598400;1,607779
-0,498200;1,756928
-0,398000;1,906270
-0,299100;2,055780
-0,199600;2,204646
-0,100100;2,354184
-0,000300;2,506374
0,100100;2,657691
0,199500;2,807460
0,299300;2,956705
0,399300;3,105251
0,498400;3,255672
0,598200;3,405254
0,697800;3,554185
0,797300;3,703802
0,896500;3,852845
0,997100;4,003030
1,095800;4,151347
1,195400;4,301098
1,295100;4,450470
1,394100;4,599739

pomiar;12,000000;Uout->No load
-1,394800;0,421039
-1,295000;0,567075
-1,195000;0,715122
-1,096200;0,862346
-0,995800;1,011775
-0,895700;1,161244
-0,797200;1,309512
-0,697400;1,458970
-0,597300;1,607510
-0,498600;1,756226
-0,399100;1,906775
-0,299600;2,055704
-0,200000;2,204915
-0,099300;2,354485
0,000200;2,506469
0,099400;2,658247
0,199700;2,807309
0,298900;2,956895
0,398500;3,105686
0,498900;3,256454
0,597600;3,405126
0,697100;3,554112
0,797000;3,704152
0,896000;3,852238
0,996400;4,003139
1,096000;4,151797
1,195500;4,300948
1,294900;4,450478
1,393200;4,599560

pomiar;12,000000;Uout->5K
-1,394200;0,420945
-1,295300;0,566833
-1,195800;0,715258
-1,096300;0,862370
-0,997200;1,011531
-0,896400;1,160633
-0,796300;1,309389
-0,696700;1,459208
-0,598100;1,608009
-0,498800;1,757104
-0,397400;1,907028
-0,298200;2,055587
-0,199400;2,204724
-0,099400;2,354417
-0,000200;2,506466
0,100700;2,658022
0,200100;2,807001
0,298600;2,957029
0,398600;3,106283
0,498300;3,255608
0,598900;3,404660
0,697700;3,554022
0,796600;3,703503
0,896400;3,852414
0,996600;4,002253
1,096800;4,151486
1,194500;4,300807
1,295100;4,450043
1,394000;4,599444

pomiar;18,000000;Uout->No load
-1,394500;0,421356
-1,295300;0,567190
-1,195800;0,714381
-1,096100;0,862344
-0,995500;1,011067
-0,896700;1,160705
-0,797100;1,310164
-0,697300;1,458534
-0,598700;1,607970
-0,499100;1,757165
-0,398800;1,906951
-0,299700;2,055377
-0,199000;2,205201
-0,100300;2,354478
-0,000500;2,506617
0,100300;2,659127
0,199600;2,807334
0,298900;2,957103
0,398600;3,106728
0,498600;3,255990
0,598100;3,405803
0,697700;3,554664
0,796900;3,703614
0,896000;3,853740
0,996900;4,002933
1,095800;4,152576
1,195800;4,301704
1,294800;4,451195
1,394600;4,599628

pomiar;18,000000;Uout->5K
-1,394600;0,421295
-1,295200;0,567336
-1,195200;0,714540
-1,094900;0,863100
-0,997100;1,010982
-0,896800;1,160360
-0,797300;1,309240
-0,698200;1,458432
-0,597000;1,608173
-0,498800;1,756333
-0,399200;1,906319
-0,299500;2,055591
-0,199500;2,204442
-0,100300;2,353452
-0,000500;2,506586
0,100300;2,658637
0,199600;2,808362
0,298800;2,957461
0,398600;3,106500
0,498400;3,256940
0,597800;3,405862
0,697300;3,554429
0,797200;3,703293
0,897000;3,852602
0,996300;4,002937
1,096000;4,152588
1,195000;4,302129
1,294700;4,450720
1,394400;4,599417

