pomiar;3,700000;Uout->No load
-1,395200;0,402488
-1,294800;0,550733
-1,197100;0,699801
-1,095800;0,849073
-0,996100;0,998656
-0,896900;1,149232
-0,796300;1,298770
-0,696800;1,448372
-0,598200;1,598076
-0,499200;1,747698
-0,398600;1,898352
-0,299600;2,048300
-0,198600;2,198071
-0,100500;2,347715
-0,000300;2,499716
0,100100;2,651905
0,199600;2,800972
0,298700;2,950941
0,398300;3,100732
0,499000;3,251740
0,597700;3,401769
0,697900;3,552544
0,797100;3,702647
0,896600;3,851524
0,996900;4,002570
1,097300;4,152563
1,195900;4,302656
1,295400;4,452950
1,395200;4,602502

pomiar;3,700000;Uout->5K
-1,394900;0,407088
-1,294700;0,554014
-1,196500;0,702410
-1,096700;0,851145
-0,996600;1,000238
-0,897000;1,150624
-0,797300;1,299726
-0,697400;1,449296
-0,598300;1,598772
-0,498800;1,748400
-0,397600;1,899207
-0,299000;2,048925
-0,199300;2,198731
-0,100100;2,348441
-0,000300;2,500217
0,100000;2,651640
0,199600;2,801346
0,298600;2,951142
0,398000;3,100910
0,498100;3,251834
0,597800;3,401727
0,697600;3,551605
0,797200;3,701457
0,896700;3,851798
0,996900;4,002515
1,096100;4,152440
1,196000;4,302393
1,295000;4,452390
1,395000;4,602354

pomiar;7,400000;Uout->No load
-1,394300;0,408297
-1,293800;0,555120
-1,194100;0,703107
-1,095500;0,852461
-0,996700;1,000730
-0,896000;1,151609
-0,796000;1,300631
-0,696600;1,449179
-0,598100;1,599554
-0,498700;1,749084
-0,398600;1,899644
-0,299600;2,048907
-0,200100;2,197537
-0,100300;2,347531
0,000200;2,500154
0,099800;2,651732
0,200000;2,801426
0,298800;2,951083
0,398400;3,101030
0,498400;3,252493
0,597700;3,401573
0,696200;3,551548
0,796600;3,701841
0,896200;3,850712
0,997100;4,002675
1,095900;4,151776
1,194700;4,302063
1,295100;4,451731
1,393700;4,600790

pomiar;7,400000;Uout->5K
-1,393800;0,409272
-1,295100;0,555110
-1,193800;0,704305
-1,096300;0,852836
-0,996200;1,001851
-0,896400;1,151956
-0,797300;1,301365
-0,697600;1,450638
-0,597800;1,599085
-0,497700;1,748250
-0,398700;1,899948
-0,297900;2,049471
-0,199800;2,199047
-0,100000;2,348547
-0,000300;2,500354
0,100400;2,652757
0,199200;2,802140
0,299300;2,952299
0,398600;3,101943
0,498800;3,252222
0,597500;3,401848
0,697200;3,552157
0,797100;3,701589
0,896200;3,850679
0,996900;4,002418
1,095100;4,151427
1,195000;4,301190
1,294700;4,451681
1,394400;4,601657

pomiar;12,000000;Uout->No load
-1,394200;0,409556
-1,294800;0,556430
-1,194600;0,704531
-1,095700;0,852941
-0,996600;1,001098
-0,895700;1,152000
-0,796400;1,301410
-0,696500;1,450119
-0,598100;1,599710
-0,498300;1,748895
-0,397900;1,899882
-0,298200;2,049432
-0,199700;2,199057
-0,100800;2,347655
-0,000100;2,500605
0,099800;2,652208
0,198400;2,801866
0,298700;2,951726
0,398400;3,101905
0,499100;3,253010
0,596700;3,401864
0,697300;3,551623
0,796800;3,701331
0,895500;3,851061
0,995900;4,001945
1,095600;4,152157
1,194700;4,301521
1,294300;4,452028
1,393400;4,601233

pomiar;12,000000;Uout->5K
-1,394100;0,409632
-1,293800;0,556028
-1,195600;0,703733
-1,095400;0,853045
-0,996500;1,001726
-0,895800;1,151206
-0,796200;1,301142
-0,698100;1,449593
-0,598100;1,599967
-0,499200;1,748370
-0,398600;1,900086
-0,298900;2,049001
-0,199500;2,199058
-0,100700;2,348591
-0,000200;2,500649
0,099900;2,652424
0,199300;2,802938
0,299800;2,952750
0,397600;3,101326
0,498500;3,253069
0,598500;3,402225
0,697600;3,551973
0,796500;3,701616
0,895800;3,852047
0,996300;4,002624
1,095900;4,152925
1,194700;4,302676
1,294000;4,451349
1,393500;4,602226

pomiar;18,000000;Uout->No load
-1,394300;0,409282
-1,293400;0,556205
-1,195100;0,704514
-1,096500;0,852928
-0,996400;1,002047
-0,895000;1,152246
-0,797200;1,300927
-0,697200;1,449697
-0,596800;1,599948
-0,498500;1,749467
-0,398100;1,899939
-0,299500;2,048685
-0,199400;2,199064
-0,099500;2,347909
-0,000800;2,500770
0,099700;2,653830
0,199000;2,802774
0,298700;2,952138
0,398400;3,102054
0,499000;3,252592
0,597900;3,402511
0,697800;3,552691
0,797000;3,702547
0,896300;3,852770
0,995400;4,002611
1,094700;4,152262
1,195000;4,302377
1,294600;4,451807
1,393500;4,601686

pomiar;18,000000;Uout->5K
-1,392900;0,409701
-1,294700;0,555221
-1,195700;0,704317
-1,094900;0,853044
-0,995200;1,001414
-0,896500;1,151730
-0,797000;1,300985
-0,697500;1,449813
-0,597500;1,599048
-0,497500;1,749324
-0,398200;1,900018
-0,298700;2,049575
-0,200100;2,198215
-0,099800;2,347975
-0,000800;2,500853
0,099600;2,652882
0,199500;2,802826
0,298700;2,952166
0,398400;3,102222
0,498700;3,252643
0,597600;3,402534
0,697400;3,552534
0,797000;3,702313
0,895900;3,851798
0,996000;4,002602
1,095700;4,152565
1,194700;4,302457
1,294700;4,452359
1,394700;4,601945

