pomiar;3,700000;Uout->No load
-1,395200;0,413267
-1,296000;0,561096
-1,195600;0,709915
-1,096500;0,858998
-0,997300;1,008226
-0,896200;1,158730
-0,797000;1,308024
-0,696900;1,457465
-0,598000;1,607046
-0,499400;1,756586
-0,398700;1,907241
-0,299700;2,056848
-0,198900;2,206443
-0,100500;2,355942
-0,000200;2,508496
0,100400;2,660297
0,199700;2,809917
0,299000;2,959471
0,398700;3,109118
0,499400;3,259832
0,598400;3,409452
0,698200;3,559096
0,798000;3,708662
0,897100;3,858251
0,997300;4,008995
1,096400;4,158718
1,196500;4,308333
1,296300;4,457967
1,395000;4,607602

pomiar;3,700000;Uout->5K
-1,396000;0,416479
-1,295400;0,563280
-1,197000;0,711396
-1,096400;0,860113
-0,996500;1,009111
-0,897000;1,159407
-0,797700;1,308756
-0,698600;1,458147
-0,599000;1,607585
-0,498200;1,757025
-0,399200;1,907653
-0,298400;2,057113
-0,199900;2,206695
-0,100900;2,356240
-0,000500;2,508736
0,100400;2,660585
0,200100;2,810151
0,299200;2,959775
0,399000;3,109376
0,499500;3,260197
0,598900;3,409852
0,698300;3,559416
0,797300;3,709010
0,896600;3,858634
0,997500;4,009369
1,096900;4,158940
1,196300;4,308539
1,296000;4,458058
1,395500;4,607541

pomiar;7,400000;Uout->No load
-1,393200;0,418567
-1,294000;0,565102
-1,195800;0,713077
-1,096200;0,861646
-0,996500;1,010475
-0,895600;1,160588
-0,796700;1,309670
-0,696800;1,458843
-0,598600;1,608116
-0,498700;1,757459
-0,397800;1,907894
-0,299800;2,057256
-0,199900;2,206604
-0,099900;2,355977
-0,000200;2,508731
0,100300;2,660777
0,199800;2,810187
0,298900;2,959684
0,398400;3,109170
0,498500;3,259796
0,598300;3,409256
0,698200;3,558763
0,796700;3,708294
0,896400;3,857696
0,996900;4,008288
1,096000;4,157734
1,195600;4,307220
1,295000;4,456704
1,394000;4,606142

pomiar;7,400000;Uout->5K
-1,394200;0,418379
-1,294200;0,564880
-1,195400;0,712782
-1,097000;0,861335
-0,995600;1,010148
-0,896200;1,160256
-0,796300;1,309383
-0,697700;1,458674
-0,597200;1,607939
-0,497800;1,757359
-0,398200;1,907829
-0,299200;2,057222
-0,200100;2,206574
-0,100300;2,355920
-0,000400;2,508735
0,100100;2,660809
0,199800;2,810256
0,299700;2,959734
0,398500;3,109215
0,499100;3,259733
0,598200;3,409205
0,697000;3,558758
0,797200;3,708188
0,895800;3,857705
0,996800;4,008324
1,096200;4,157851
1,194900;4,307299
1,295100;4,456789
1,394000;4,606254

pomiar;12,000000;Uout->No load
-1,395100;0,418644
-1,294100;0,565199
-1,195700;0,713078
-1,096500;0,861621
-0,995900;1,010472
-0,896600;1,160540
-0,796100;1,309613
-0,696900;1,458817
-0,597500;1,608112
-0,499500;1,757375
-0,399200;1,907893
-0,299300;2,057322
-0,199800;2,206755
-0,100900;2,356148
-0,000600;2,509110
0,100400;2,661366
0,199500;2,810810
0,299300;2,960278
0,398500;3,109689
0,499200;3,260355
0,597400;3,409813
0,697200;3,559227
0,797400;3,708652
0,896300;3,858169
0,996700;4,008716
1,096100;4,158182
1,195300;4,307614
1,295400;4,456984
1,393700;4,606413

pomiar;12,000000;Uout->5K
-1,394700;0,418473
-1,293900;0,565039
-1,195700;0,713221
-1,095900;0,861753
-0,997200;1,010592
-0,896900;1,160845
-0,796900;1,309957
-0,696600;1,459196
-0,598400;1,608361
-0,497700;1,757745
-0,399000;1,908168
-0,298200;2,057525
-0,200400;2,206837
-0,101000;2,356174
-0,000400;2,509153
0,100200;2,661330
0,200000;2,810767
0,299200;2,960218
0,398200;3,109657
0,499000;3,260247
0,597700;3,409660
0,697400;3,559165
0,796400;3,708587
0,896700;3,858103
0,996500;4,008623
1,096100;4,158051
1,195200;4,307455
1,294800;4,456916
1,393900;4,606418

pomiar;18,000000;Uout->No load
-1,394300;0,418768
-1,294900;0,565116
-1,195100;0,713174
-1,095100;0,861693
-0,996400;1,010547
-0,896100;1,160712
-0,796900;1,309874
-0,696500;1,459047
-0,598300;1,608308
-0,497800;1,757583
-0,398500;1,908042
-0,298200;2,057446
-0,199600;2,206889
-0,100600;2,356224
-0,000200;2,509352
0,100300;2,661772
0,199700;2,811177
0,298600;2,960728
0,398500;3,110190
0,499100;3,260838
0,598600;3,410313
0,697500;3,559877
0,797700;3,709259
0,896500;3,858740
0,996400;4,009304
1,095600;4,158759
1,195400;4,308236
1,294800;4,457642
1,394100;4,607018

pomiar;18,000000;Uout->5K
-1,394300;0,418365
-1,295000;0,565042
-1,196200;0,713156
-1,095700;0,861734
-0,995500;1,010674
-0,896900;1,160836
-0,796900;1,310034
-0,697900;1,459305
-0,598300;1,608624
-0,498800;1,757925
-0,399100;1,908450
-0,299300;2,057865
-0,198800;2,207307
-0,099600;2,356645
-0,000500;2,509737
0,100100;2,662070
0,199500;2,811486
0,299200;2,960891
0,398400;3,110357
0,499400;3,260894
0,598000;3,410268
0,697400;3,559654
0,797300;3,709121
0,896000;3,858536
0,996400;4,009072
1,095500;4,158612
1,195100;4,308136
1,294100;4,457551
1,394400;4,607016

