pomiar;3,700000;Uout->No load
-1,395200;0,411083
-1,296200;0,561827
-1,196400;0,711679
-1,096300;0,860585
-0,997800;1,009569
-0,897700;1,159528
-0,796700;1,308396
-0,697800;1,456766
-0,599000;1,605463
-0,499700;1,755201
-0,398800;1,904922
-0,299000;2,054516
-0,199600;2,203911
-0,100400;2,353423
-0,000200;2,505661
0,100700;2,657531
0,199700;2,807575
0,299600;2,957911
0,399000;3,108048
0,499500;3,259128
0,598400;3,409247
0,697500;3,559483
0,797700;3,710540
0,897400;3,860349
0,997400;4,012714
1,096900;4,163444
1,197000;4,313241
1,295600;4,464019
1,395000;4,614689

pomiar;3,700000;Uout->5K
-1,395400;0,412642
-1,296300;0,559771
-1,195900;0,707306
-1,097300;0,856686
-0,996300;1,005491
-0,896800;1,155985
-0,796600;1,305131
-0,698400;1,454285
-0,598800;1,603801
-0,498600;1,753182
-0,398400;1,903103
-0,299700;2,053028
-0,200200;2,203319
-0,100800;2,352755
-0,000500;2,505319
0,100400;2,657308
0,199600;2,807233
0,299400;2,957418
0,398400;3,107308
0,498800;3,258640
0,598600;3,409173
0,698300;3,559043
0,797400;3,709661
0,896500;3,860603
0,996900;4,011691
1,096600;4,162081
1,195700;4,313247
1,295600;4,463243
1,395600;4,614181

pomiar;7,400000;Uout->No load
-1,394300;0,412193
-1,294800;0,559141
-1,195400;0,706315
-1,096400;0,855313
-0,996400;1,003907
-0,895200;1,154773
-0,796300;1,303617
-0,697300;1,453127
-0,598000;1,602899
-0,498700;1,752472
-0,398500;1,902801
-0,298200;2,052845
-0,198600;2,202224
-0,099800;2,352239
-0,000700;2,504773
0,099800;2,657383
0,199000;2,806464
0,298500;2,957247
0,398500;3,107064
0,499400;3,258235
0,598000;3,408020
0,697800;3,557311
0,796500;3,707617
0,896000;3,858351
0,996000;4,009054
1,095800;4,159470
1,194700;4,309204
1,294700;4,460015
1,394000;4,610157

pomiar;7,400000;Uout->5K
-1,394300;0,411123
-1,293800;0,557529
-1,195500;0,705984
-1,096500;0,855342
-0,996700;1,004292
-0,896000;1,153791
-0,797000;1,303652
-0,697200;1,452988
-0,597200;1,602670
-0,497900;1,751952
-0,397300;1,903444
-0,299100;2,052465
-0,198600;2,201973
-0,101000;2,351603
-0,000600;2,504819
0,100400;2,657246
0,199900;2,807209
0,298800;2,956453
0,398400;3,106944
0,498700;3,257807
0,597900;3,407978
0,697600;3,557663
0,797200;3,708187
0,896200;3,858224
0,996500;4,008541
1,095900;4,158689
1,194900;4,309386
1,294800;4,459368
1,394100;4,609034

pomiar;12,000000;Uout->No load
-1,394000;0,409579
-1,295500;0,556227
-1,194300;0,704694
-1,095700;0,853279
-0,996700;1,002280
-0,895600;1,152986
-0,797200;1,302242
-0,697800;1,451612
-0,598700;1,601295
-0,499000;1,750813
-0,399200;1,902172
-0,299400;2,051790
-0,199600;2,201876
-0,100400;2,350712
0,000400;2,504380
0,099300;2,656661
0,199800;2,806899
0,298700;2,956718
0,398700;3,106456
0,498100;3,257288
0,598100;3,407006
0,697700;3,557373
0,797200;3,707438
0,896200;3,857498
0,996700;4,008232
1,096600;4,158664
1,194900;4,308362
1,294600;4,458073
1,394000;4,608235

pomiar;12,000000;Uout->5K
-1,394500;0,408841
-1,294200;0,556208
-1,195200;0,703937
-1,094900;0,853026
-0,997100;1,002736
-0,896500;1,152536
-0,797400;1,302438
-0,698000;1,451389
-0,598200;1,601177
-0,499100;1,750808
-0,399000;1,902247
-0,299100;2,051402
-0,199600;2,201893
-0,100400;2,351497
-0,000200;2,504322
0,101300;2,657108
0,199400;2,806859
0,299500;2,956809
0,398700;3,106085
0,498200;3,257733
0,598100;3,407815
0,697700;3,557626
0,796700;3,707593
0,896100;3,857559
0,996800;4,008723
1,095400;4,158393
1,195300;4,307826
1,295000;4,458631
1,394200;4,608571

pomiar;18,000000;Uout->No load
-1,393400;0,408306
-1,294000;0,554377
-1,194400;0,702980
-1,096200;0,852307
-0,996700;1,001351
-0,896300;1,151578
-0,796800;1,301788
-0,698000;1,450858
-0,598600;1,600447
-0,497400;1,750416
-0,398800;1,900631
-0,299400;2,050532
-0,200200;2,200422
-0,099300;2,350164
-0,000500;2,503705
0,100500;2,656219
0,199500;2,805822
0,299500;2,956183
0,398500;3,106519
0,498000;3,257463
0,598100;3,406844
0,697800;3,556785
0,796500;3,707039
0,897000;3,857390
0,996000;4,007917
1,095400;4,157172
1,195400;4,308361
1,294500;4,458285
1,394000;4,607584

pomiar;18,000000;Uout->5K
-1,394500;0,408369
-1,293700;0,555285
-1,195100;0,703557
-1,094700;0,852414
-0,995600;1,001505
-0,896400;1,151752
-0,797100;1,301048
-0,697700;1,450572
-0,596900;1,600679
-0,497900;1,750849
-0,399000;1,900902
-0,299600;2,051648
-0,198900;2,201567
-0,099900;2,350750
-0,000500;2,503974
0,099900;2,656348
0,199500;2,806906
0,299000;2,955754
0,398200;3,106084
0,498900;3,256953
0,598000;3,407284
0,697400;3,556705
0,796900;3,707267
0,896600;3,857038
0,996200;4,008420
1,095600;4,158299
1,194800;4,307474
1,294500;4,458360
1,394000;4,607430

