pomiar;3,700000;Uout->No load
-1,393500;0,409626
-1,294000;0,556971
-1,193700;0,705302
-1,095400;0,854059
-0,994300;1,002751
-0,894100;1,153250
-0,795600;1,302417
-0,696000;1,451717
-0,596100;1,600988
-0,497200;1,750339
-0,396400;1,900710
-0,297700;2,050099
-0,198600;2,199352
-0,097400;2,348587
-0,000100;2,497321
0,099100;2,645410
0,197000;2,794466
0,296900;2,943703
0,396800;3,093124
0,496600;3,243426
0,596600;3,392752
0,696800;3,542368
0,795100;3,691144
0,894000;3,840408
0,994700;3,990834
1,094600;4,139974
1,194400;4,289163
1,294300;4,438293
1,392800;4,587457

pomiar;3,700000;Uout->5K
-1,393100;0,414431
-1,292900;0,560338
-1,194300;0,708065
-1,094300;0,856472
-0,994600;1,005009
-0,894700;1,154915
-0,794300;1,303790
-0,695900;1,452832
-0,596600;1,601864
-0,496400;1,750959
-0,396700;1,901241
-0,297100;2,050436
-0,196500;2,199227
-0,098300;2,348810
-0,000200;2,497180
0,097300;2,644782
0,197300;2,793948
0,296900;2,943150
0,395800;3,092541
0,496400;3,242895
0,596300;3,392258
0,695000;3,541510
0,795000;3,690706
0,894600;3,839973
0,994500;3,990284
1,094000;4,139522
1,193800;4,288611
1,293300;4,437757
1,392600;4,586826

pomiar;7,400000;Uout->No load
-1,390600;0,416381
-1,291100;0,562239
-1,192700;0,709303
-1,093400;0,858403
-0,993100;1,006220
-0,893900;1,155361
-0,793900;1,304702
-0,695500;1,453186
-0,596400;1,602207
-0,496300;1,751490
-0,396900;1,901183
-0,297300;2,051150
-0,197800;2,200179
-0,097700;2,349290
-0,000300;2,497679
0,097900;2,645886
0,196800;2,794344
0,296900;2,943376
0,396300;3,092445
0,495600;3,242759
0,595800;3,392172
0,695000;3,541895
0,795200;3,689940
0,893900;3,839263
0,994000;3,989923
1,093000;4,138083
1,193100;4,287546
1,291700;4,435891
1,391200;4,584816

pomiar;7,400000;Uout->5K
-1,392000;0,416039
-1,292400;0,561511
-1,193300;0,708903
-1,092600;0,856597
-0,993100;1,005536
-0,892700;1,156052
-0,794800;1,304415
-0,695300;1,453050
-0,595900;1,602607
-0,495400;1,751944
-0,396600;1,901183
-0,296600;2,051336
-0,197800;2,199509
-0,097300;2,348322
-0,000100;2,497456
0,097900;2,645165
0,196800;2,794317
0,296400;2,944113
0,394900;3,092378
0,495500;3,242557
0,595300;3,391391
0,695800;3,540469
0,794200;3,689783
0,893700;3,838637
0,994800;3,989743
1,093100;4,137744
1,192900;4,286875
1,291600;4,436700
1,391200;4,584590

pomiar;12,000000;Uout->No load
-1,391300;0,416487
-1,292600;0,562200
-1,192900;0,709141
-1,092600;0,858098
-0,994500;1,005766
-0,893900;1,156089
-0,794700;1,305285
-0,695300;1,453273
-0,595500;1,602589
-0,496500;1,751253
-0,395100;1,901975
-0,296300;2,051545
-0,196600;2,200102
-0,098300;2,349668
0,000100;2,497814
0,097800;2,645855
0,196800;2,794842
0,297000;2,943619
0,396400;3,093146
0,495600;3,242597
0,595300;3,391678
0,697900;3,549674
0,795400;3,690051
0,893000;3,839416
0,993500;3,989679
1,093100;4,138587
1,192300;4,287286
1,291400;4,436013
1,391200;4,585061

pomiar;12,000000;Uout->5K
-1,392000;0,415973
-1,291000;0,562703
-1,191900;0,710047
-1,093700;0,857340
-0,994100;1,005791
-0,894400;1,156144
-0,793900;1,305028
-0,695000;1,453541
-0,596300;1,602436
-0,496500;1,751792
-0,396500;1,901739
-0,295600;2,050667
-0,197500;2,200138
-0,097800;2,349463
-0,000200;2,497681
0,097400;2,645452
0,196900;2,794070
0,296600;2,943498
0,395800;3,092993
0,495300;3,243385
0,595300;3,392321
0,694600;3,540960
0,794200;3,690286
0,893500;3,838666
0,993300;3,989243
1,093400;4,137997
1,192600;4,286768
1,291700;4,436470
1,391200;4,585018

pomiar;18,000000;Uout->No load
-1,390600;0,417089
-1,291800;0,562485
-1,192100;0,709532
-1,093500;0,857726
-0,993500;1,007240
-0,893800;1,155955
-0,793400;1,305472
-0,694700;1,453812
-0,594400;1,603032
-0,496400;1,752455
-0,395300;1,902456
-0,295900;2,051807
-0,197200;2,200718
-0,096400;2,349719
-0,000700;2,497990
0,097500;2,645649
0,197100;2,795115
0,296400;2,943894
0,395300;3,092953
0,496000;3,243742
0,595300;3,392561
0,694400;3,541509
0,793500;3,690996
0,893700;3,839753
0,993200;3,989897
1,092900;4,139278
1,192200;4,287635
1,291400;4,436814
1,391200;4,585559

pomiar;18,000000;Uout->5K
-1,391100;0,417293
-1,292500;0,562969
-1,192100;0,709606
-1,092800;0,858688
-0,993900;1,007315
-0,893300;1,157038
-0,794800;1,304969
-0,694900;1,454426
-0,594900;1,603340
-0,495200;1,752569
-0,395300;1,902253
-0,296100;2,051867
-0,195700;2,200732
-0,097800;2,349140
-0,000100;2,497875
0,097400;2,645585
0,196500;2,794279
0,295700;2,944498
0,396300;3,093256
0,495500;3,242836
0,594900;3,391717
0,694600;3,541898
0,794100;3,690616
0,892900;3,839228
0,993400;3,989125
1,092900;4,138077
1,191700;4,287358
1,291300;4,436542
1,390900;4,585105

