pomiar;3,700000;Uout->No load
-1,393300;0,412936
-1,293100;0,561006
-1,194700;0,709902
-1,095600;0,859287
-0,995200;1,008843
-0,895200;1,159777
-0,795700;1,309586
-0,695400;1,459351
-0,596600;1,609284
-0,496200;1,759224
-0,395700;1,910257
-0,297200;2,060237
-0,197800;2,210257
-0,097500;2,360473
-0,000400;2,510524
0,098700;2,659506
0,197700;2,809435
0,297500;2,959408
0,396600;3,109389
0,497300;3,260406
0,596300;3,410390
0,696000;3,560281
0,795500;3,710229
0,895000;3,860176
0,995600;4,011209
1,094200;4,161215
1,194100;4,311110
1,293300;4,461102
1,393100;4,610936

pomiar;3,700000;Uout->5K
-1,393400;0,416542
-1,292900;0,563428
-1,194300;0,711929
-1,094600;0,860901
-0,994500;1,010374
-0,894800;1,160995
-0,794700;1,310650
-0,696100;1,460415
-0,596600;1,610263
-0,495900;1,760125
-0,396900;1,911106
-0,297400;2,060997
-0,197400;2,210936
-0,098300;2,360833
0,000400;2,510520
0,098400;2,659435
0,197300;2,809462
0,296900;2,959499
0,396700;3,109509
0,496500;3,260631
0,596200;3,410621
0,696100;3,560550
0,795200;3,710500
0,894800;3,860339
0,994700;4,011438
1,094600;4,161402
1,194200;4,311290
1,293300;4,461243
1,393000;4,611079

pomiar;7,400000;Uout->No load
-1,390500;0,418468
-1,291900;0,565238
-1,192200;0,713589
-1,092800;0,862429
-0,993600;1,011561
-0,893100;1,162060
-0,794900;1,311519
-0,694600;1,461093
-0,596000;1,610809
-0,495600;1,760565
-0,396000;1,911418
-0,296000;2,061184
-0,196600;2,210975
-0,098500;2,360742
-0,000700;2,510505
0,098100;2,659549
0,197400;2,809338
0,296800;2,959170
0,395800;3,108976
0,496200;3,259930
0,596200;3,409750
0,694700;3,559508
0,794800;3,709323
0,894200;3,859136
0,993800;4,010005
1,093500;4,159781
1,193100;4,309492
1,292200;4,459208
1,391600;4,608913

pomiar;7,400000;Uout->5K
-1,391300;0,418092
-1,292300;0,564755
-1,193300;0,713148
-1,092800;0,862112
-0,994700;1,011269
-0,893000;1,161848
-0,793900;1,311347
-0,695400;1,460894
-0,595900;1,610556
-0,495600;1,760275
-0,395300;1,911118
-0,296500;2,060894
-0,197800;2,210631
-0,097900;2,360438
-0,000200;2,510158
0,097800;2,659090
0,197500;2,808897
0,296600;2,958793
0,396000;3,108639
0,496500;3,259676
0,595200;3,409491
0,694900;3,559296
0,794800;3,709092
0,893800;3,858929
0,994100;4,009842
1,093700;4,159686
1,193000;4,309437
1,292400;4,459257
1,391500;4,608891

pomiar;12,000000;Uout->No load
-1,391900;0,417688
-1,291500;0,564658
-1,193600;0,713013
-1,093700;0,861886
-0,994400;1,011022
-0,894100;1,161518
-0,793700;1,310999
-0,695600;1,460626
-0,595600;1,610261
-0,495800;1,759966
-0,396200;1,910868
-0,296100;2,060650
-0,197800;2,210381
-0,098200;2,360145
-0,000700;2,510019
0,098300;2,659109
0,197200;2,808923
0,297100;2,958749
0,396100;3,108591
0,496100;3,259553
0,595800;3,409541
0,695400;3,559369
0,794500;3,709144
0,893800;3,858975
0,993700;4,009838
1,093500;4,159659
1,193500;4,309330
1,292600;4,459159
1,391700;4,608960

pomiar;12,000000;Uout->5K
-1,392000;0,417947
-1,291900;0,564797
-1,192800;0,713094
-1,093400;0,861976
-0,994400;1,011126
-0,894100;1,161580
-0,794900;1,311050
-0,694200;1,460680
-0,595000;1,610297
-0,495400;1,759962
-0,395100;1,910837
-0,295900;2,060596
-0,198100;2,210442
-0,097900;2,360198
-0,000200;2,509999
0,097800;2,658989
0,197200;2,808829
0,297000;2,958703
0,396100;3,108460
0,496700;3,259528
0,595500;3,409360
0,694800;3,559124
0,794900;3,708867
0,893700;3,858560
0,994100;4,009499
1,092900;4,159256
1,192800;4,309033
1,292600;4,458793
1,391500;4,608560

pomiar;18,000000;Uout->No load
-1,392100;0,417173
-1,291200;0,564181
-1,192900;0,712520
-1,093800;0,861243
-0,993100;1,010587
-0,893800;1,161113
-0,793400;1,310595
-0,695600;1,460141
-0,596000;1,609950
-0,496100;1,759612
-0,395300;1,910460
-0,297000;2,060255
-0,196600;2,210063
-0,097000;2,359816
-0,000200;2,509830
0,097600;2,659048
0,197500;2,808846
0,296600;2,958636
0,396100;3,108459
0,496300;3,259390
0,595600;3,409217
0,695200;3,559038
0,794000;3,708841
0,892700;3,858694
0,994100;4,009581
1,093200;4,159331
1,192600;4,309058
1,292200;4,458890
1,391700;4,608632

pomiar;18,000000;Uout->5K
-1,391900;0,417640
-1,292200;0,564349
-1,191900;0,712814
-1,093800;0,861727
-0,993800;1,010946
-0,894100;1,161493
-0,794600;1,311056
-0,694200;1,460698
-0,596400;1,610377
-0,496100;1,760047
-0,395300;1,910900
-0,297100;2,060582
-0,197300;2,210308
-0,096900;2,360093
-0,000400;2,510054
0,097200;2,659292
0,196600;2,809050
0,296700;2,958820
0,396200;3,108650
0,495800;3,259614
0,595700;3,409406
0,694600;3,559199
0,794300;3,709011
0,894100;3,858775
0,994100;4,009718
1,093000;4,159460
1,193000;4,309156
1,292600;4,458872
1,391400;4,608622

