pomiar;3,700000;Uout->No load
-1,395000;0,405760
-1,294800;0,553930
-1,195800;0,702893
-1,095900;0,852194
-0,996600;1,001377
-0,896300;1,152133
-0,795400;1,301707
-0,695800;1,451215
-0,596400;1,600860
-0,497400;1,750563
-0,397100;1,901439
-0,296900;2,051208
-0,198500;2,200969
-0,098000;2,350688
0,000100;2,500410
0,099400;2,649987
0,198200;2,799674
0,297400;2,949475
0,397100;3,099595
0,497800;3,250640
0,596700;3,400452
0,696700;3,550857
0,795500;3,700365
0,895000;3,850368
0,994500;4,001499
1,094800;4,151588
1,194600;4,301626
1,293600;4,452171
1,393400;4,601857

pomiar;3,700000;Uout->5K
-1,393900;0,410633
-1,292900;0,557888
-1,194200;0,706174
-1,094000;0,854885
-0,995800;1,003387
-0,895900;1,153789
-0,796100;1,303488
-0,696900;1,452636
-0,596100;1,602030
-0,496100;1,751727
-0,397100;1,902445
-0,297000;2,052209
-0,198000;2,201588
-0,098500;2,351680
-0,000900;2,500849
0,098400;2,649695
0,197700;2,799740
0,297700;2,949938
0,396400;3,099150
0,497600;3,250404
0,596900;3,400325
0,695700;3,550087
0,795400;3,700278
0,894400;3,850213
0,996000;4,001544
1,094800;4,151197
1,194000;4,301722
1,293900;4,452144
1,393200;4,601880

pomiar;7,400000;Uout->No load
-1,391200;0,413605
-1,292800;0,559500
-1,192700;0,708372
-1,094100;0,856688
-0,994900;1,005622
-0,893500;1,155841
-0,794600;1,304318
-0,695200;1,453951
-0,595700;1,603018
-0,495800;1,752873
-0,396800;1,903103
-0,296500;2,052449
-0,198000;2,202073
-0,098700;2,351373
-0,000700;2,501277
0,098200;2,650911
0,197500;2,799824
0,296900;2,949468
0,396100;3,099905
0,496800;3,250444
0,596100;3,400636
0,695100;3,549572
0,794600;3,699779
0,893100;3,849314
0,993700;4,000113
1,093600;4,150957
1,192800;4,300833
1,292600;4,450526
1,391800;4,600001

pomiar;7,400000;Uout->5K
-1,392400;0,413889
-1,292800;0,560338
-1,192000;0,708446
-1,094400;0,857188
-0,994700;1,005955
-0,894200;1,155616
-0,794900;1,304268
-0,694600;1,454373
-0,596000;1,603223
-0,495600;1,752718
-0,396600;1,903075
-0,297200;2,053267
-0,197900;2,202130
-0,098500;2,351561
-0,000200;2,501290
0,098700;2,650552
0,197100;2,800407
0,296500;2,950076
0,396700;3,099211
0,497100;3,250501
0,595800;3,400393
0,695200;3,549428
0,794500;3,699959
0,894100;3,849632
0,994300;3,999962
1,093600;4,149566
1,192900;4,300462
1,293100;4,449965
1,392200;4,600389

pomiar;12,000000;Uout->No load
-1,391200;0,413265
-1,292400;0,559385
-1,193800;0,708251
-1,093900;0,856512
-0,994300;1,004842
-0,894500;1,154923
-0,795500;1,304200
-0,695700;1,454049
-0,595900;1,603587
-0,496800;1,752924
-0,396000;1,903644
-0,297300;2,052054
-0,197800;2,201712
-0,097800;2,351294
-0,000100;2,501105
0,098200;2,649894
0,197700;2,800183
0,296600;2,948965
0,396100;3,099670
0,496600;3,249565
0,595700;3,400324
0,695700;3,549200
0,794700;3,698825
0,893500;3,849413
0,994700;4,000729
1,093400;4,149659
1,192700;4,299273
1,292900;4,449383
1,392200;4,598355

pomiar;12,000000;Uout->5K
-1,392400;0,413667
-1,292500;0,559352
-1,192600;0,707319
-1,092600;0,856991
-0,994600;1,005026
-0,894500;1,156113
-0,793800;1,304206
-0,695700;1,453765
-0,596400;1,604073
-0,495300;1,753512
-0,395500;1,903653
-0,297300;2,052617
-0,197200;2,202199
-0,097400;2,351691
-0,000300;2,501467
0,097500;2,650896
0,197300;2,799834
0,296400;2,949035
0,396200;3,098810
0,496600;3,250716
0,595100;3,399404
0,695400;3,549138
0,794800;3,699921
0,894000;3,849706
0,994000;4,000557
1,093800;4,150431
1,192400;4,299336
1,291600;4,448928
1,391500;4,599784

pomiar;18,000000;Uout->No load
-1,391300;0,412560
-1,291700;0,559099
-1,193200;0,707090
-1,094500;0,855785
-0,993800;1,004721
-0,894000;1,156051
-0,794200;1,305225
-0,695400;1,453492
-0,594900;1,602899
-0,496400;1,753220
-0,396800;1,903064
-0,296500;2,053752
-0,196500;2,202245
-0,098100;2,351894
-0,000200;2,501770
0,097500;2,651421
0,197100;2,801019
0,297200;2,950704
0,396300;3,099476
0,496200;3,250186
0,595900;3,399903
0,695500;3,550174
0,795000;3,700107
0,893600;3,849039
0,994300;3,999983
1,093100;4,150668
1,192800;4,300496
1,292000;4,449487
1,390600;4,598937

pomiar;18,000000;Uout->5K
-1,392700;0,412590
-1,292700;0,559804
-1,193000;0,707491
-1,093000;0,856924
-0,994300;1,005031
-0,894200;1,156146
-0,794700;1,304256
-0,695200;1,453595
-0,596000;1,603801
-0,496500;1,753502
-0,395100;1,904192
-0,297000;2,053792
-0,197700;2,203235
-0,096800;2,352544
-0,000700;2,501779
0,097200;2,651307
0,197000;2,800885
0,296500;2,949674
0,396100;3,100276
0,496000;3,250834
0,595600;3,400604
0,695400;3,549484
0,794000;3,700251
0,893600;3,848927
0,994500;4,000865
1,093300;4,149873
1,193000;4,299438
1,292500;4,450123
1,391300;4,599850

