pomiar;3,700000;Uout->No load
-1,393400;0,403659
-1,293800;0,551480
-1,194600;0,700338
-1,093800;0,849636
-0,994900;0,999128
-0,893700;1,149831
-0,794600;1,299504
-0,695900;1,449263
-0,595300;1,599076
-0,497200;1,748847
-0,395800;1,899853
-0,297100;2,049716
-0,196800;2,199617
-0,098500;2,349472
-0,000200;2,498764
0,097100;2,647556
0,197800;2,797370
0,296900;2,947295
0,396600;3,097224
0,496500;3,248256
0,596400;3,398138
0,695900;3,548146
0,794800;3,698047
0,895100;3,847950
0,995100;3,998957
1,094200;4,148787
1,194100;4,298646
1,293400;4,448492
1,392700;4,598309

pomiar;3,700000;Uout->5K
-1,392700;0,407216
-1,293900;0,553876
-1,194100;0,702233
-1,093700;0,851088
-0,995500;1,000207
-0,894200;1,150802
-0,794300;1,300339
-0,695000;1,449951
-0,596200;1,599678
-0,496100;1,749374
-0,396500;1,900319
-0,296000;2,050065
-0,197400;2,199937
-0,097200;2,349737
-0,000300;2,498893
0,098100;2,647640
0,196800;2,797542
0,296800;2,947516
0,397000;3,097428
0,496200;3,248465
0,596300;3,398390
0,695600;3,548300
0,794800;3,698181
0,894500;3,848062
0,994600;3,999119
1,093900;4,148990
1,193700;4,298810
1,293400;4,448628
1,392900;4,598498

pomiar;7,400000;Uout->No load
-1,391800;0,409205
-1,292900;0,555620
-1,192900;0,703698
-1,093900;0,852340
-0,994500;1,001394
-0,893900;1,151759
-0,793800;1,301104
-0,695500;1,450627
-0,595900;1,600157
-0,496500;1,749734
-0,395700;1,900520
-0,296500;2,050149
-0,196900;2,199946
-0,097100;2,349605
-0,000300;2,499057
0,098000;2,648023
0,197400;2,797684
0,297100;2,947488
0,396000;3,097317
0,495900;3,248154
0,595500;3,397890
0,694800;3,547665
0,794000;3,697414
0,893600;3,847131
0,994200;3,998002
1,093000;4,147720
1,192500;4,297439
1,292200;4,447182
1,391600;4,596862

pomiar;7,400000;Uout->5K
-1,391900;0,409309
-1,292200;0,555629
-1,193000;0,703735
-1,093700;0,852400
-0,994000;1,001394
-0,893800;1,151781
-0,794700;1,301205
-0,695500;1,450707
-0,595700;1,600311
-0,495400;1,749922
-0,395300;1,900715
-0,296900;2,050324
-0,196700;2,199993
-0,098600;2,349570
-0,000300;2,498976
0,097800;2,647929
0,198200;2,797620
0,296700;2,947353
0,395400;3,097105
0,496100;3,247950
0,596100;3,397696
0,694700;3,547531
0,794500;3,697255
0,894200;3,847090
0,993600;3,997955
1,093000;4,147672
1,192900;4,297419
1,292400;4,447127
1,391500;4,596850

pomiar;12,000000;Uout->No load
-1,392300;0,409154
-1,291100;0,555627
-1,193200;0,703767
-1,092600;0,852374
-0,994200;1,001377
-0,894400;1,151654
-0,794400;1,301003
-0,694400;1,450454
-0,596200;1,599982
-0,496700;1,749572
-0,396700;1,900324
-0,297100;2,049984
-0,196600;2,199630
-0,098500;2,349261
-0,000400;2,498963
0,097900;2,648154
0,197400;2,797863
0,295900;2,947654
0,396000;3,097428
0,496300;3,248306
0,596200;3,398076
0,694800;3,547705
0,794400;3,697459
0,893800;3,847219
0,993800;3,998009
1,093200;4,147749
1,192600;4,297504
1,291800;4,447269
1,391600;4,597005

pomiar;12,000000;Uout->5K
-1,391600;0,409018
-1,291400;0,555494
-1,192000;0,703599
-1,093500;0,852260
-0,994600;1,001343
-0,894100;1,151648
-0,793300;1,301105
-0,694300;1,450535
-0,596000;1,600145
-0,495700;1,749673
-0,395500;1,900521
-0,297100;2,050181
-0,197600;2,199825
-0,097300;2,349470
-0,000100;2,499114
0,098000;2,648329
0,197300;2,797944
0,297100;2,947700
0,396000;3,097404
0,496600;3,248246
0,595300;3,397921
0,695200;3,547653
0,794500;3,697366
0,893000;3,847096
0,993800;3,997954
1,093200;4,147613
1,192300;4,297407
1,292800;4,447068
1,392200;4,596745

pomiar;18,000000;Uout->No load
-1,391600;0,408875
-1,291400;0,555254
-1,191800;0,703502
-1,092500;0,852273
-0,994000;1,001260
-0,894400;1,151671
-0,794700;1,301076
-0,695500;1,450568
-0,594900;1,600104
-0,496800;1,749717
-0,395300;1,900460
-0,296000;2,050123
-0,198000;2,199869
-0,098200;2,349445
0,000700;2,499267
0,097900;2,648694
0,197100;2,798359
0,296600;2,948044
0,396600;3,097774
0,496400;3,248612
0,595600;3,398327
0,695500;3,548075
0,794800;3,697845
0,893600;3,847589
0,994300;3,998419
1,093600;4,148148
1,192500;4,297854
1,292200;4,447565
1,391600;4,597321

pomiar;18,000000;Uout->5K
-1,391900;0,409061
-1,292600;0,555447
-1,193000;0,703480
-1,093800;0,852184
-0,993100;1,001157
-0,894100;1,151519
-0,793500;1,300907
-0,694000;1,450420
-0,596300;1,600027
-0,496800;1,749611
-0,396400;1,900400
-0,295700;2,050117
-0,196700;2,199807
-0,097800;2,349425
-0,000400;2,499153
0,097200;2,648388
0,197300;2,798095
0,296600;2,947826
0,396400;3,097582
0,496500;3,248509
0,595300;3,398229
0,695100;3,547966
0,794600;3,697711
0,893700;3,847456
0,994300;3,998282
1,093800;4,148027
1,192400;4,297800
1,292500;4,447470
1,391200;4,597172

