pomiar;3,700000;Uout->No load
-1,395600;0,404999
-1,295500;0,552303
-1,195500;0,701254
-1,096400;0,850202
-0,996700;0,999959
-0,896200;1,150412
-0,797900;1,299823
-0,698300;1,449445
-0,598900;1,598906
-0,499500;1,748506
-0,399500;1,898609
-0,299500;2,048365
-0,199200;2,198240
-0,100500;2,347755
-0,000200;2,499971
0,099100;2,651596
0,199600;2,801256
0,299600;2,950836
0,398600;3,100925
0,499000;3,251474
0,598800;3,400679
0,698000;3,550287
0,797600;3,699973
0,896900;3,849318
0,997900;4,000472
1,096700;4,149706
1,195800;4,299066
1,296500;4,448572
1,394700;4,598293

pomiar;3,700000;Uout->5K
-1,396200;0,408122
-1,296300;0,554955
-1,197000;0,703139
-1,096800;0,851155
-0,997400;1,000662
-0,896900;1,150493
-0,796500;1,300420
-0,698300;1,449094
-0,599200;1,598696
-0,499500;1,748814
-0,398900;1,899465
-0,298300;2,048693
-0,199900;2,198600
-0,100400;2,348119
-0,000300;2,500116
0,099600;2,651635
0,199700;2,801515
0,299000;2,950812
0,398900;3,100757
0,498200;3,251067
0,598400;3,400635
0,698000;3,550165
0,797000;3,700271
0,896500;3,849298
0,997300;3,999973
1,097200;4,149469
1,196200;4,298916
1,296000;4,448156
1,395200;4,597949

pomiar;7,400000;Uout->No load
-1,394900;0,409583
-1,295100;0,555659
-1,195800;0,703303
-1,095000;0,852927
-0,997200;1,001521
-0,896800;1,150930
-0,797200;1,300729
-0,697900;1,449967
-0,598800;1,598809
-0,499300;1,748828
-0,398500;1,899158
-0,298300;2,048606
-0,200100;2,197925
-0,100200;2,346739
-0,000600;2,499616
0,100100;2,651441
0,199800;2,801603
0,299000;2,950228
0,398500;3,099746
0,498900;3,250654
0,597800;3,399966
0,696700;3,549365
0,797400;3,698221
0,896000;3,848009
0,996700;3,998406
1,095500;4,147912
1,195200;4,297616
1,294600;4,446291
1,394700;4,596476

pomiar;7,400000;Uout->5K
-1,394500;0,409609
-1,295600;0,555874
-1,195500;0,703554
-1,095800;0,852684
-0,995800;1,001550
-0,896100;1,151479
-0,797700;1,300584
-0,696600;1,449637
-0,597400;1,599335
-0,498700;1,748708
-0,399100;1,899435
-0,299700;2,048213
-0,199000;2,198022
-0,100800;2,346732
-0,000100;2,499829
0,100500;2,651511
0,199300;2,801199
0,299300;2,951075
0,398700;3,100102
0,498300;3,250512
0,598000;3,400014
0,697800;3,549472
0,797400;3,698748
0,896300;3,848325
0,996400;3,998634
1,095800;4,147646
1,194700;4,297088
1,294500;4,446622
1,394500;4,596295

pomiar;12,000000;Uout->No load
-1,394200;0,409090
-1,294800;0,555332
-1,195400;0,703250
-1,096200;0,852605
-0,996900;1,000716
-0,896200;1,150755
-0,797400;1,300135
-0,697800;1,449325
-0,598500;1,598664
-0,497900;1,747534
-0,398700;1,898826
-0,298000;2,047987
-0,198700;2,196777
-0,100700;2,346750
-0,000500;2,499289
0,100400;2,651514
0,199900;2,801075
0,299600;2,950412
0,399100;3,099845
0,498600;3,250411
0,598400;3,400328
0,697900;3,548826
0,796700;3,699018
0,896000;3,847981
0,996300;3,998805
1,095700;4,148033
1,195200;4,297012
1,293600;4,446138
1,394000;4,595841

pomiar;12,000000;Uout->5K
-1,394600;0,409282
-1,294800;0,555507
-1,194600;0,703661
-1,096500;0,851286
-0,996300;1,000625
-0,895500;1,151175
-0,797400;1,300052
-0,697900;1,449027
-0,598500;1,598646
-0,498600;1,747487
-0,398800;1,898623
-0,299700;2,047479
-0,198900;2,197347
-0,100800;2,346439
-0,000400;2,499388
0,100000;2,651789
0,199700;2,800585
0,299100;2,950754
0,398700;3,100208
0,498100;3,250433
0,598400;3,400219
0,697300;3,548975
0,797300;3,699184
0,896100;3,847725
0,996200;3,998242
1,096100;4,147628
1,195200;4,297078
1,294500;4,446660
1,394900;4,596051

pomiar;18,000000;Uout->No load
-1,394400;0,408527
-1,295000;0,554714
-1,195300;0,702525
-1,096800;0,851051
-0,996600;0,999868
-0,896400;1,150784
-0,797300;1,299852
-0,697900;1,448558
-0,597300;1,598328
-0,498600;1,746927
-0,399100;1,897808
-0,299200;2,047496
-0,198900;2,197051
-0,100200;2,345816
-0,000300;2,499127
0,100100;2,651306
0,200100;2,801062
0,299600;2,950834
0,398700;3,100459
0,498800;3,250556
0,598200;3,400257
0,697400;3,549689
0,797500;3,698987
0,895800;3,848385
0,996200;3,998563
1,096400;4,148511
1,195000;4,297157
1,294400;4,446992
1,394000;4,595861

pomiar;18,000000;Uout->5K
-1,394400;0,408995
-1,294300;0,555096
-1,196000;0,702404
-1,095000;0,851708
-0,995800;1,000243
-0,896900;1,150728
-0,796600;1,299108
-0,698300;1,448691
-0,598400;1,597670
-0,498600;1,747007
-0,397900;1,898030
-0,298300;2,047559
-0,200000;2,196987
-0,099600;2,346618
-0,000100;2,499190
0,100000;2,652323
0,199600;2,801466
0,299400;2,950082
0,398500;3,099490
0,498700;3,250063
0,597900;3,399709
0,697700;3,549269
0,796700;3,699122
0,897100;3,848066
0,996600;3,998290
1,095900;4,148171
1,195200;4,297898
1,294800;4,446975
1,394400;4,596238

