pomiar;3,700000;Uout->No load
-1,392500;0,396924
-1,293800;0,545261
-1,194600;0,694494
-1,093900;0,843949
-0,995100;0,993501
-0,893900;1,144277
-0,795600;1,293933
-0,694600;1,443612
-0,595300;1,593501
-0,497300;1,743316
-0,395700;1,894248
-0,296500;2,044152
-0,197700;2,194028
-0,098300;2,343947
-0,000200;2,493531
0,098600;2,642519
0,197900;2,792401
0,296800;2,942286
0,396400;3,092278
0,497000;3,243312
0,596600;3,393232
0,695400;3,543199
0,795400;3,693133
0,894600;3,843166
0,994900;3,994263
1,094600;4,144263
1,193200;4,294198
1,292800;4,444118
1,392800;4,594154

pomiar;3,700000;Uout->5K
-1,393000;0,400479
-1,292900;0,547501
-1,194300;0,695994
-1,093200;0,845056
-0,994000;0,994224
-0,893900;1,144814
-0,795300;1,294365
-0,695700;1,444144
-0,596500;1,593813
-0,495700;1,743659
-0,396300;1,894504
-0,297300;2,044434
-0,197600;2,194361
-0,097600;2,344217
-0,000100;2,493623
0,098400;2,642573
0,197600;2,792449
0,296800;2,942391
0,396300;3,092395
0,496900;3,243520
0,596400;3,393475
0,695400;3,543448
0,795100;3,693414
0,894300;3,843344
0,994600;3,994447
1,094600;4,144425
1,193600;4,294402
1,293500;4,444339
1,392400;4,594282

pomiar;7,400000;Uout->No load
-1,391900;0,402395
-1,291300;0,549120
-1,192800;0,697360
-1,093700;0,846223
-0,993400;0,995320
-0,892700;1,145694
-0,793700;1,295171
-0,694400;1,444713
-0,596200;1,594348
-0,496000;1,743955
-0,395500;1,894723
-0,296800;2,044382
-0,197400;2,194050
-0,098600;2,343668
-0,000200;2,493285
0,098100;2,642429
0,197300;2,792172
0,297000;2,941946
0,395700;3,091701
0,496700;3,242608
0,595700;3,392434
0,695400;3,542274
0,795000;3,692086
0,893100;3,841921
0,994700;3,992890
1,093100;4,142755
1,192900;4,292634
1,292700;4,442492
1,391200;4,592248

pomiar;7,400000;Uout->5K
-1,390400;0,402437
-1,291300;0,549149
-1,192700;0,697397
-1,093900;0,846211
-0,994200;0,995278
-0,893300;1,145670
-0,795000;1,295149
-0,695000;1,444651
-0,596200;1,594235
-0,496700;1,743864
-0,396400;1,894657
-0,296700;2,044363
-0,196900;2,194099
-0,098500;2,343815
-0,000200;2,493372
0,098200;2,642521
0,197200;2,792296
0,296400;2,942122
0,395900;3,091846
0,496300;3,242726
0,596000;3,392513
0,695500;3,542332
0,794100;3,692179
0,893700;3,841979
0,994000;3,992892
1,093000;4,142734
1,192600;4,292587
1,292800;4,442406
1,391500;4,592276

pomiar;12,000000;Uout->No load
-1,391800;0,401837
-1,292700;0,548410
-1,193400;0,696816
-1,092700;0,845619
-0,994500;0,994648
-0,894500;1,145085
-0,794800;1,294473
-0,695100;1,443989
-0,595600;1,593533
-0,496800;1,743141
-0,396400;1,893949
-0,295800;2,043620
-0,196900;2,193433
-0,097500;2,343138
-0,000700;2,492940
0,098400;2,642300
0,197100;2,792035
0,296500;2,941809
0,395800;3,091611
0,496300;3,242536
0,595600;3,392341
0,695400;3,542142
0,794700;3,691998
0,894000;3,841798
0,993700;3,992814
1,093800;4,142612
1,192800;4,292452
1,292400;4,442260
1,391900;4,592003

pomiar;12,000000;Uout->5K
-1,391800;0,401727
-1,291200;0,548447
-1,192900;0,696611
-1,093400;0,845409
-0,993200;0,994515
-0,894300;1,144980
-0,794400;1,294391
-0,695900;1,443802
-0,596200;1,593427
-0,495500;1,743080
-0,396500;1,893853
-0,295700;2,043524
-0,198100;2,193258
-0,098500;2,342909
-0,000100;2,492743
0,098800;2,642031
0,197900;2,791726
0,296900;2,941547
0,396300;3,091399
0,496600;3,242347
0,595500;3,392134
0,694900;3,541939
0,794400;3,691764
0,893700;3,841604
0,994100;3,992579
1,092900;4,142341
1,192700;4,292201
1,292600;4,442052
1,391000;4,591863

pomiar;18,000000;Uout->No load
-1,390900;0,401034
-1,292600;0,547743
-1,191900;0,695999
-1,092700;0,844802
-0,994000;0,993902
-0,894000;1,144319
-0,795000;1,293770
-0,694300;1,443311
-0,595000;1,592847
-0,496800;1,742519
-0,395500;1,893370
-0,296100;2,043059
-0,197800;2,192752
-0,098100;2,342430
-0,000400;2,492335
0,098100;2,641860
0,196900;2,791587
0,296500;2,941394
0,396600;3,091195
0,496000;3,242172
0,595600;3,392009
0,695300;3,541791
0,794200;3,691574
0,893900;3,841364
0,994400;3,992342
1,093700;4,142137
1,192500;4,291945
1,292000;4,441811
1,392000;4,591650

pomiar;18,000000;Uout->5K
-1,392100;0,401218
-1,291300;0,547873
-1,192100;0,696125
-1,093600;0,844927
-0,994000;0,997147
-0,893700;1,145027
-0,794700;1,294488
-0,695300;1,443012
-0,595300;1,593398
-0,496000;1,742506
-0,396500;1,892524
-0,297900;2,042342
-0,196800;2,192569
-0,099100;2,342347
-0,000300;2,492264
0,098700;2,642958
0,198600;2,792745
0,298400;2,942648
0,396700;3,091391
0,497200;3,243450
0,597000;3,393336
0,695700;3,543217
0,796000;3,693074
0,894200;3,841918
0,995000;3,992901
1,094300;4,143929
1,194200;4,293622
1,293300;4,442791
1,391800;4,592338

