pomiar;3,700000;Uout->No load
-1,394600;0,390376
-1,295800;0,538877
-1,195700;0,688250
-1,096700;0,837942
-0,995800;0,988689
-0,896700;1,138832
-0,796300;1,288773
-0,698300;1,438806
-0,597900;1,588875
-0,497800;1,738933
-0,398700;1,890206
-0,298000;2,040304
-0,199900;2,190431
-0,100200;2,340510
-0,000100;2,492879
0,100500;2,644794
0,199400;2,794978
0,298900;2,945144
0,397900;3,095440
0,498400;3,246635
0,598100;3,396870
0,697800;3,546850
0,796800;3,697266
0,896600;3,847418
0,997200;3,998767
1,096100;4,148899
1,196100;4,298772
1,295600;4,449047
1,394600;4,599272

pomiar;3,700000;Uout->5K
-1,395700;0,393815
-1,295600;0,541118
-1,196100;0,689962
-1,097200;0,839200
-0,997000;0,988700
-0,897300;1,139570
-0,797800;1,289292
-0,697700;1,439248
-0,598600;1,589172
-0,497900;1,739231
-0,397600;1,890401
-0,298800;2,040448
-0,199800;2,190498
-0,099100;2,340571
0,000600;2,493149
0,100500;2,645332
0,200000;2,795465
0,298800;2,945638
0,398500;3,095770
0,499200;3,247065
0,598200;3,397242
0,697900;3,547390
0,797700;3,697608
0,896500;3,847769
0,997200;3,999094
1,096700;4,149354
1,196300;4,299503
1,295500;4,449695
1,395500;4,599891

pomiar;7,400000;Uout->No load
-1,394400;0,395579
-1,294400;0,542618
-1,195400;0,691162
-1,095900;0,840302
-0,995800;0,989696
-0,896900;1,140412
-0,797000;1,290064
-0,698200;1,439766
-0,597400;1,589575
-0,497500;1,739425
-0,397900;1,890414
-0,299600;2,040361
-0,200400;2,190283
-0,100500;2,340189
-0,000000;2,493219
0,100200;2,645850
0,199700;2,795739
0,299200;2,945734
0,397800;3,095768
0,498800;3,246900
0,598300;3,396939
0,697900;3,546976
0,796500;3,696972
0,896700;3,847034
0,996600;3,998256
1,095700;4,148259
1,195700;4,298307
1,294400;4,448276
1,393800;4,598303

pomiar;7,400000;Uout->5K
-1,394500;0,395381
-1,295000;0,542497
-1,195700;0,691095
-1,095100;0,840263
-0,995700;0,989582
-0,896700;1,140276
-0,797400;1,289962
-0,697700;1,439738
-0,598100;1,589570
-0,499000;1,739383
-0,399500;1,890375
-0,299100;2,040286
-0,198800;2,190273
-0,100400;2,340227
-0,000000;2,493278
0,100300;2,646026
0,199500;2,795923
0,299300;2,945850
0,398100;3,095913
0,498400;3,247119
0,598200;3,397140
0,697600;3,547159
0,796700;3,697167
0,895800;3,847235
0,995900;3,998390
1,096300;4,148454
1,195200;4,298474
1,294500;4,448489
1,393900;4,598507

pomiar;12,000000;Uout->No load
-1,394400;0,395312
-1,295200;0,542355
-1,195900;0,690854
-1,096500;0,839883
-0,997300;0,989270
-0,896600;1,139967
-0,797400;1,289635
-0,697800;1,439457
-0,598600;1,589245
-0,498000;1,739115
-0,399100;1,890205
-0,299700;2,040144
-0,200100;2,190075
-0,100500;2,339938
-0,000700;2,493337
0,100300;2,646369
0,199700;2,796334
0,298300;2,946358
0,398700;3,096359
0,498700;3,247622
0,598300;3,397627
0,697700;3,547672
0,796900;3,697632
0,896300;3,847664
0,997000;3,998872
1,095900;4,148922
1,195700;4,298910
1,294600;4,448979
1,394500;4,599026

pomiar;12,000000;Uout->5K
-1,394700;0,395190
-1,294000;0,542326
-1,195900;0,690840
-1,095600;0,840004
-0,996800;0,989382
-0,896600;1,140094
-0,796400;1,289742
-0,697600;1,439492
-0,598700;1,589298
-0,499500;1,739193
-0,398900;1,890281
-0,298600;2,040074
-0,200400;2,189987
-0,101100;2,339958
-0,000900;2,493415
0,100600;2,646525
0,199200;2,796499
0,299300;2,946504
0,398200;3,096512
0,498300;3,247605
0,598200;3,397710
0,697700;3,547697
0,796800;3,697775
0,896500;3,847799
0,996700;3,998925
1,095900;4,148991
1,195700;4,298953
1,294800;4,449007
1,394300;4,599049

pomiar;18,000000;Uout->No load
-1,394400;0,395143
-1,294100;0,542269
-1,195700;0,690713
-1,096300;0,839907
-0,997100;0,989314
-0,896400;1,139974
-0,797500;1,289609
-0,698000;1,439317
-0,598300;1,589126
-0,499300;1,739014
-0,398400;1,890026
-0,299900;2,039969
-0,200500;2,189911
-0,100700;2,339764
0,000100;2,493586
0,100500;2,646960
0,199800;2,796926
0,299400;2,946941
0,399000;3,096987
0,499000;3,248192
0,598400;3,398228
0,697200;3,548204
0,796900;3,698237
0,896600;3,848225
0,996900;3,999346
1,095800;4,149386
1,195400;4,299481
1,294600;4,449415
1,394200;4,599426

pomiar;18,000000;Uout->5K
-1,393900;0,394952
-1,294600;0,542073
-1,195400;0,690696
-1,095100;0,839816
-0,996800;0,989156
-0,895600;1,139881
-0,797400;1,289581
-0,697900;1,439305
-0,598100;1,589102
-0,498800;1,739030
-0,398700;1,890037
-0,298800;2,039901
-0,200600;2,189943
-0,099700;2,339865
-0,000200;2,493663
0,100300;2,647065
0,200300;2,797004
0,299000;2,946990
0,398500;3,097015
0,498600;3,248176
0,598600;3,398200
0,697500;3,548257
0,797100;3,698270
0,896600;3,848328
0,996600;3,999488
1,096300;4,149524
1,195200;4,299557
1,295400;4,449516
1,393900;4,599510

