pomiar;3,700000;Uout->No load
-1,393200;0,409201
-1,293100;0,557397
-1,194900;0,706539
-1,095000;0,855998
-0,995600;1,005626
-0,894400;1,156458
-0,795400;1,306208
-0,695300;1,456014
-0,597100;1,605879
-0,496300;1,755741
-0,396000;1,906745
-0,297900;2,056692
-0,198300;2,206628
-0,097400;2,356535
0,000100;2,506297
0,098800;2,655654
0,198100;2,805593
0,297300;2,955560
0,397400;3,105504
0,496800;3,256651
0,596800;3,406678
0,695900;3,556730
0,795400;3,706738
0,895000;3,856775
0,995000;4,007917
1,094400;4,157951
1,194500;4,308029
1,294200;4,458047
1,393400;4,608016

pomiar;3,700000;Uout->5K
-1,392100;0,413820
-1,293000;0,560549
-1,193300;0,709026
-1,094400;0,858011
-0,995900;1,007264
-0,894000;1,157866
-0,794900;1,307480
-0,695800;1,457162
-0,595700;1,606948
-0,496100;1,756731
-0,397500;1,907680
-0,296600;2,057563
-0,198200;2,207444
-0,098700;2,357368
-0,000300;2,506859
0,098400;2,656067
0,197500;2,805979
0,297900;2,955947
0,396600;3,105967
0,497300;3,257123
0,596500;3,407064
0,696000;3,557052
0,795200;3,707032
0,894700;3,857045
0,995200;4,008217
1,094400;4,158218
1,193800;4,308199
1,293900;4,458237
1,393000;4,608236

pomiar;7,400000;Uout->No load
-1,391700;0,415857
-1,292700;0,562650
-1,192900;0,710869
-1,092600;0,859734
-0,994200;1,008780
-0,895100;1,159167
-0,795200;1,308512
-0,695400;1,457942
-0,595200;1,607492
-0,495800;1,757142
-0,395500;1,907924
-0,297400;2,057653
-0,197100;2,207391
-0,098700;2,357102
-0,000300;2,506899
0,098600;2,656282
0,197400;2,806052
0,297100;2,955851
0,396100;3,105694
0,496900;3,256613
0,595800;3,406450
0,695300;3,556271
0,794900;3,706142
0,893200;3,856029
0,994100;4,007030
1,092400;4,156971
1,192700;4,306809
1,292400;4,456646
1,392400;4,606488

pomiar;7,400000;Uout->5K
-1,390700;0,415905
-1,292000;0,562636
-1,192000;0,710835
-1,093200;0,859632
-0,994200;1,008599
-0,894200;1,159014
-0,794500;1,308417
-0,695900;1,457913
-0,595300;1,607512
-0,496500;1,757258
-0,395600;1,908095
-0,297100;2,057741
-0,197700;2,207430
-0,098900;2,357078
-0,000100;2,506951
0,098700;2,656486
0,198000;2,806217
0,297300;2,956089
0,396300;3,105860
0,497000;3,256776
0,595600;3,406637
0,695100;3,556491
0,794900;3,706375
0,893800;3,856175
0,994100;4,007074
1,093400;4,156960
1,193000;4,306807
1,292900;4,456630
1,391600;4,606459

pomiar;12,000000;Uout->No load
-1,392100;0,415689
-1,291400;0,562244
-1,192300;0,710628
-1,092400;0,859410
-0,994800;1,008492
-0,894700;1,158888
-0,793700;1,308353
-0,695900;1,457847
-0,595400;1,607478
-0,496000;1,757089
-0,397100;1,907850
-0,297700;2,057596
-0,198000;2,207278
-0,097600;2,356942
-0,000200;2,507044
0,099200;2,656773
0,197800;2,806512
0,297000;2,956302
0,396800;3,106121
0,496200;3,257098
0,595900;3,406942
0,695200;3,556782
0,794100;3,706683
0,894500;3,856516
0,994500;4,007440
1,093400;4,157296
1,193400;4,307110
1,292400;4,457025
1,391300;4,606886

pomiar;12,000000;Uout->5K
-1,392100;0,415764
-1,292800;0,562412
-1,193400;0,710729
-1,092900;0,859529
-0,994400;1,008581
-0,893300;1,159020
-0,793800;1,308414
-0,695400;1,457963
-0,596400;1,607550
-0,496600;1,757208
-0,396000;1,907951
-0,297500;2,057676
-0,197100;2,207323
-0,098800;2,356980
0,000700;2,506999
0,098600;2,656708
0,197500;2,806447
0,297400;2,956266
0,396200;3,106057
0,496800;3,257047
0,596300;3,406893
0,695200;3,556714
0,795000;3,706585
0,893900;3,856454
0,994600;4,007408
1,094300;4,157206
1,192300;4,307064
1,292700;4,456968
1,391300;4,606835

pomiar;18,000000;Uout->No load
-1,392100;0,415816
-1,291500;0,562535
-1,193900;0,710811
-1,092800;0,859630
-0,994400;1,008759
-0,893900;1,159194
-0,795200;1,308567
-0,696000;1,458048
-0,595200;1,607614
-0,496700;1,757295
-0,397000;1,908026
-0,297300;2,057734
-0,198200;2,207468
-0,098800;2,357183
-0,000200;2,507421
0,098700;2,657342
0,197500;2,807129
0,297100;2,956934
0,396000;3,106747
0,496500;3,257707
0,597000;3,407568
0,695200;3,557389
0,794800;3,707187
0,893800;3,857051
0,994100;4,007979
1,093500;4,157840
1,193500;4,307705
1,292500;4,457570
1,391600;4,607455

pomiar;18,000000;Uout->5K
-1,392100;0,415884
-1,291700;0,562735
-1,192300;0,710948
-1,093900;0,859749
-0,995100;1,008875
-0,894100;1,159217
-0,793900;1,308604
-0,694600;1,458144
-0,596400;1,607690
-0,495600;1,757321
-0,395600;1,908124
-0,297100;2,057820
-0,196900;2,207549
-0,098900;2,357249
-0,000200;2,507435
0,098400;2,657330
0,197800;2,807081
0,296600;2,956830
0,396800;3,106684
0,497200;3,257670
0,596000;3,407437
0,694500;3,557217
0,794700;3,707008
0,893800;3,856862
0,994100;4,007803
1,093600;4,157587
1,193700;4,307557
1,292200;4,457448
1,391700;4,607293

