pomiar;3,700000;Uout->No load
-1,396000;0,411112
-1,296200;0,559826
-1,195800;0,707343
-1,097400;0,856527
-0,996600;1,005620
-0,896500;1,155020
-0,797900;1,304067
-0,698600;1,453265
-0,598700;1,602751
-0,499000;1,752307
-0,399200;1,902636
-0,299800;2,051826
-0,199700;2,201020
-0,100300;2,350257
-0,000300;2,501948
0,100600;2,653947
0,200200;2,803128
0,299300;2,951534
0,398700;3,100793
0,498900;3,251777
0,599000;3,400545
0,698600;3,549972
0,797200;3,699136
0,897400;3,849063
0,997100;3,998842
1,096800;4,148554
1,196600;4,298313
1,296500;4,446727
1,395000;4,596469

pomiar;3,700000;Uout->5K
-1,394900;0,415316
-1,296200;0,561795
-1,196400;0,709682
-1,097300;0,857752
-0,997600;1,006275
-0,897100;1,156677
-0,797600;1,305688
-0,698100;1,454402
-0,598200;1,603563
-0,499400;1,752242
-0,398800;1,902938
-0,299300;2,051545
-0,198900;2,201539
-0,100800;2,350592
-0,000300;2,502180
0,100500;2,653291
0,200300;2,802762
0,299100;2,951636
0,398900;3,101016
0,499100;3,251871
0,598400;3,400655
0,698100;3,550232
0,797800;3,699116
0,897000;3,848675
0,997500;3,999565
1,097800;4,148598
1,196300;4,297265
1,296200;4,446469
1,395200;4,595920

pomiar;7,400000;Uout->No load
-1,393600;0,416206
-1,293700;0,563128
-1,196300;0,710590
-1,096100;0,859106
-0,997200;1,007074
-0,896100;1,157082
-0,796400;1,305514
-0,697800;1,454990
-0,597700;1,603944
-0,499400;1,752448
-0,399200;1,902775
-0,299800;2,051532
-0,200100;2,200469
-0,100900;2,349433
-0,000500;2,501998
0,100300;2,653170
0,200000;2,802366
0,298800;2,951401
0,398500;3,101340
0,498500;3,251621
0,597700;3,400000
0,697800;3,549106
0,796700;3,698882
0,896800;3,848127
0,996000;3,997614
1,095600;4,146621
1,195000;4,295708
1,294400;4,445639
1,394400;4,594068

pomiar;7,400000;Uout->5K
-1,394600;0,416187
-1,295500;0,562650
-1,195800;0,711106
-1,096300;0,858553
-0,995700;1,007143
-0,896400;1,156976
-0,797800;1,305979
-0,698100;1,455012
-0,598500;1,603882
-0,498900;1,753127
-0,397800;1,902976
-0,299500;2,051807
-0,198800;2,200406
-0,099400;2,349815
-0,000100;2,502052
0,099900;2,653694
0,200300;2,803133
0,299300;2,951454
0,398900;3,101267
0,499200;3,251519
0,598100;3,400820
0,698000;3,549377
0,797600;3,698476
0,896400;3,847564
0,996800;3,998316
1,096900;4,146741
1,195400;4,296547
1,294700;4,445640
1,394700;4,593971

pomiar;12,000000;Uout->No load
-1,394700;0,416656
-1,294600;0,562121
-1,195800;0,709789
-1,096200;0,858401
-0,996400;1,007446
-0,896300;1,157263
-0,796300;1,305856
-0,697600;1,454863
-0,597000;1,603763
-0,499000;1,752260
-0,398700;1,902532
-0,299300;2,051766
-0,200400;2,200216
-0,100800;2,349265
-0,000200;2,501908
0,100300;2,653972
0,199300;2,802672
0,298900;2,951456
0,398600;3,100744
0,499500;3,251617
0,598200;3,400513
0,697500;3,549806
0,796500;3,699088
0,896300;3,847339
0,997100;3,997708
1,096000;4,147295
1,195300;4,296343
1,295100;4,445646
1,394600;4,594759

pomiar;12,000000;Uout->5K
-1,393700;0,416683
-1,294100;0,563205
-1,195700;0,711013
-1,095900;0,858270
-0,997200;1,007320
-0,896300;1,156512
-0,797000;1,306099
-0,697300;1,454196
-0,598500;1,603268
-0,498100;1,752307
-0,399400;1,902872
-0,298900;2,051259
-0,199200;2,200106
-0,101100;2,349930
-0,000200;2,501898
0,100400;2,653862
0,200200;2,802943
0,299100;2,951506
0,398700;3,101550
0,498700;3,250914
0,598300;3,400054
0,697700;3,550111
0,797100;3,699045
0,896300;3,847612
0,996600;3,998734
1,096100;4,147252
1,195100;4,295975
1,295000;4,445153
1,393900;4,595134

pomiar;18,000000;Uout->No load
-1,394500;0,416339
-1,294800;0,562487
-1,196100;0,709929
-1,096200;0,858210
-0,995900;1,007118
-0,895800;1,156242
-0,797400;1,304937
-0,698000;1,453636
-0,598700;1,602895
-0,499200;1,752404
-0,398200;1,901706
-0,299400;2,051274
-0,200300;2,200516
-0,099800;2,348903
-0,000300;2,502092
0,100700;2,653812
0,200200;2,803463
0,299000;2,951909
0,399000;3,101927
0,498500;3,251943
0,598800;3,400179
0,698300;3,550452
0,798100;3,698766
0,896500;3,847959
0,997300;3,998677
1,095900;4,147179
1,195700;4,296875
1,295100;4,445202
1,393700;4,593874

pomiar;18,000000;Uout->5K
-1,394600;0,415563
-1,295000;0,562154
-1,196100;0,710452
-1,096800;0,857992
-0,997200;1,007122
-0,897100;1,157066
-0,797900;1,304987
-0,698500;1,453909
-0,597700;1,602678
-0,498200;1,752641
-0,397700;1,902758
-0,299800;2,050762
-0,199800;2,199843
-0,100400;2,349982
-0,000200;2,502073
0,099800;2,654412
0,199700;2,802864
0,299000;2,952266
0,398600;3,101443
0,498400;3,251017
0,598600;3,401318
0,697800;3,549335
0,797500;3,699488
0,896700;3,847552
0,996800;3,998826
1,095700;4,147552
1,195100;4,296791
1,294600;4,445084
1,394700;4,595285

