pomiar;3,700000;Uout->No load
-1,395600;0,400014
-1,295900;0,548133
-1,196100;0,697517
-1,097300;0,847373
-0,997700;0,997241
-0,896700;1,148331
-0,798100;1,298255
-0,697800;1,448623
-0,599100;1,598856
-0,499200;1,749247
-0,398000;1,900751
-0,299600;2,051542
-0,198900;2,201951
-0,099200;2,352344
-0,000200;2,504935
0,100500;2,657763
0,199400;2,808094
0,299200;2,958456
0,398900;3,108685
0,499300;3,259990
0,597900;3,410065
0,697800;3,560242
0,796600;3,710516
0,896400;3,860770
0,996900;4,012269
1,096700;4,162742
1,195600;4,313160
1,295700;4,463556
1,395300;4,613827

pomiar;3,700000;Uout->5K
-1,395500;0,402918
-1,296300;0,550354
-1,195600;0,699221
-1,096800;0,848633
-0,997900;0,998407
-0,896000;1,149455
-0,797000;1,299453
-0,697900;1,449673
-0,598400;1,599927
-0,498100;1,750208
-0,399000;1,901680
-0,299200;2,052004
-0,199700;2,202420
-0,100600;2,352783
-0,000300;2,505404
0,099900;2,657374
0,198800;2,806543
0,298500;2,956779
0,397400;3,107144
0,497900;3,258616
0,596900;3,408859
0,696700;3,559186
0,796300;3,709530
0,896000;3,859755
0,996200;4,011179
1,095300;4,161365
1,195300;4,311573
1,294000;4,461750
1,393900;4,611945

pomiar;7,400000;Uout->No load
-1,391800;0,406897
-1,293400;0,554008
-1,193200;0,702729
-1,094900;0,851876
-0,994600;1,001391
-0,894800;1,151929
-0,795500;1,301462
-0,697400;1,451556
-0,596700;1,601624
-0,497100;1,751916
-0,397800;1,903233
-0,299200;2,053611
-0,198900;2,204102
-0,099500;2,354399
0,000200;2,505569
0,097800;2,656154
0,198500;2,806302
0,297300;2,956553
0,397700;3,106762
0,497200;3,258019
0,596500;3,408054
0,695600;3,558117
0,795300;3,708238
0,894700;3,858331
0,994500;4,009555
1,094100;4,159603
1,193800;4,309799
1,293600;4,459847
1,392200;4,609899

pomiar;7,400000;Uout->5K
-1,392500;0,407826
-1,292100;0,555124
-1,194400;0,703896
-1,092900;0,853240
-0,994700;1,002793
-0,893700;1,153736
-0,795400;1,303667
-0,695700;1,453674
-0,596500;1,603748
-0,496200;1,753865
-0,396600;1,905065
-0,297700;2,055229
-0,197300;2,205338
-0,098700;2,355484
-0,000800;2,505788
0,098300;2,655790
0,197900;2,805871
0,297000;2,955995
0,396900;3,106186
0,497000;3,257416
0,596000;3,407537
0,695800;3,557662
0,794900;3,707738
0,894200;3,857883
0,993800;4,009086
1,093700;4,159170
1,193400;4,309240
1,292900;4,459278
1,392200;4,609314

pomiar;12,000000;Uout->No load
-1,392300;0,408247
-1,292100;0,555511
-1,193400;0,704128
-1,094200;0,853446
-0,993800;1,003034
-0,893200;1,153970
-0,794200;1,303871
-0,695600;1,453791
-0,596100;1,603781
-0,495800;1,753890
-0,396400;1,905217
-0,296400;2,055341
-0,197000;2,205488
-0,099000;2,355696
-0,000200;2,505901
0,098200;2,655840
0,197600;2,805963
0,296900;2,956099
0,396800;3,106300
0,496300;3,257552
0,595700;3,407665
0,694800;3,557687
0,794300;3,707862
0,894300;3,857962
0,994000;4,009159
1,093500;4,159200
1,193600;4,309246
1,291900;4,459243
1,391700;4,609272

pomiar;12,000000;Uout->5K
-1,391800;0,408444
-1,292700;0,555631
-1,192200;0,704411
-1,094200;0,853756
-0,994300;1,003322
-0,894300;1,154291
-0,793900;1,304158
-0,694800;1,454091
-0,596200;1,604120
-0,496800;1,754139
-0,395600;1,905447
-0,296100;2,055583
-0,197800;2,205751
-0,098600;2,355827
-0,000200;2,505731
0,097900;2,655277
0,197300;2,805377
0,297300;2,955539
0,395800;3,105700
0,496400;3,256917
0,596100;3,407042
0,694600;3,557178
0,794500;3,707315
0,894700;3,857394
0,994600;4,008631
1,093300;4,158702
1,193100;4,308803
1,291700;4,458820
1,391100;4,608844

pomiar;18,000000;Uout->No load
-1,391700;0,408794
-1,292600;0,555991
-1,192600;0,704738
-1,094200;0,854032
-0,993300;1,003673
-0,893200;1,154515
-0,793900;1,304366
-0,695300;1,454354
-0,594900;1,604365
-0,495300;1,754458
-0,396500;1,905687
-0,296400;2,055792
-0,196300;2,205887
-0,097900;2,356007
0,000300;2,505869
0,097900;2,655425
0,197300;2,805555
0,296300;2,955770
0,396200;3,105935
0,497000;3,257160
0,595200;3,407310
0,694700;3,557456
0,794500;3,707585
0,894000;3,857692
0,993700;4,008925
1,093100;4,159018
1,192400;4,309066
1,291900;4,459065
1,391600;4,609117

pomiar;18,000000;Uout->5K
-1,391500;0,408931
-1,292500;0,556155
-1,192000;0,704851
-1,092800;0,854114
-0,994300;1,003629
-0,893700;1,154598
-0,793700;1,304487
-0,693900;1,454496
-0,594800;1,604490
-0,495600;1,754581
-0,396300;1,905833
-0,296000;2,055875
-0,196500;2,206087
-0,097900;2,356186
-0,000500;2,505952
0,098100;2,655363
0,197300;2,805467
0,297100;2,955580
0,395600;3,105682
0,495600;3,257018
0,595200;3,407104
0,694900;3,557197
0,794700;3,707344
0,893800;3,857479
0,993900;4,008659
1,093300;4,158707
1,192300;4,308791
1,292200;4,458839
1,391200;4,608883

