pomiar;3,700000;Uout->No load
-1,395800;0,392641
-1,296000;0,540082
-1,196900;0,689273
-1,096900;0,838216
-0,997000;0,987967
-0,897200;1,138386
-0,797600;1,288395
-0,697600;1,437878
-0,599000;1,587826
-0,498200;1,737583
-0,399200;1,887680
-0,299700;2,038329
-0,199000;2,187767
-0,101000;2,337769
-0,000200;2,490108
0,100800;2,642364
0,198900;2,791739
0,300000;2,941979
0,398300;3,091388
0,499200;3,242423
0,598800;3,393018
0,698600;3,542521
0,797300;3,692145
0,897100;3,841969
0,997100;3,993258
1,097100;4,143229
1,196500;4,293275
1,295900;4,442833
1,395600;4,593125

pomiar;3,700000;Uout->5K
-1,395700;0,396587
-1,296700;0,543843
-1,196800;0,692007
-1,095700;0,840899
-0,997100;0,989892
-0,896200;1,139967
-0,796900;1,288915
-0,698100;1,438958
-0,598700;1,588470
-0,499000;1,737818
-0,399000;1,889209
-0,299400;2,038290
-0,198700;2,188414
-0,100000;2,338364
-0,000200;2,490544
0,100300;2,642374
0,199600;2,792692
0,299500;2,942136
0,398600;3,091880
0,498800;3,242666
0,598200;3,392623
0,697800;3,542711
0,797400;3,692545
0,897300;3,842586
0,997800;3,993203
1,096800;4,143427
1,196400;4,293385
1,295400;4,443078
1,395300;4,593286

pomiar;7,400000;Uout->No load
-1,393300;0,399012
-1,293900;0,545701
-1,195200;0,692917
-1,095200;0,841953
-0,997200;0,990341
-0,896700;1,141236
-0,796800;1,290175
-0,696600;1,439407
-0,598100;1,589281
-0,499000;1,738829
-0,398500;1,889060
-0,298700;2,038214
-0,200100;2,188081
-0,099900;2,337888
-0,000300;2,490528
0,099700;2,643307
0,199400;2,792210
0,299300;2,942420
0,399000;3,092305
0,498300;3,242161
0,598200;3,392787
0,697600;3,542454
0,797000;3,692442
0,896400;3,842173
0,996300;3,992529
1,096100;4,142571
1,196200;4,291808
1,294600;4,441990
1,394200;4,591952

pomiar;7,400000;Uout->5K
-1,394700;0,398362
-1,295700;0,544728
-1,195300;0,692968
-1,095000;0,841631
-0,997200;0,990476
-0,896700;1,141311
-0,796200;1,290304
-0,698200;1,439144
-0,598600;1,588789
-0,498800;1,738302
-0,399100;1,889102
-0,299700;2,038463
-0,200200;2,188152
-0,099300;2,338029
-0,000300;2,490538
0,100500;2,642781
0,199900;2,792171
0,298900;2,942741
0,398400;3,091797
0,498800;3,242315
0,598500;3,392432
0,698400;3,542859
0,796600;3,692409
0,896500;3,842248
0,996300;3,992777
1,095900;4,142306
1,195900;4,291882
1,295400;4,441928
1,394200;4,591869

pomiar;12,000000;Uout->No load
-1,394500;0,398692
-1,295600;0,545407
-1,195600;0,693367
-1,096500;0,842276
-0,995800;0,991213
-0,896300;1,140596
-0,797600;1,290453
-0,698200;1,439098
-0,598200;1,588871
-0,498500;1,737965
-0,399300;1,888595
-0,299200;2,038143
-0,199300;2,188302
-0,100300;2,337461
-0,000200;2,490624
0,100200;2,642842
0,200300;2,793109
0,299000;2,942291
0,398900;3,092780
0,499000;3,243215
0,598800;3,392389
0,697600;3,542686
0,797400;3,692289
0,896200;3,841785
0,997700;3,992897
1,096900;4,142792
1,195700;4,292849
1,295200;4,442181
1,395100;4,591680

pomiar;12,000000;Uout->5K
-1,394900;0,398159
-1,295000;0,544816
-1,195300;0,692901
-1,096800;0,842016
-0,996300;0,991138
-0,897100;1,141187
-0,796300;1,290384
-0,698200;1,439135
-0,598400;1,588568
-0,498700;1,737940
-0,399500;1,888983
-0,299500;2,038054
-0,199100;2,188108
-0,100700;2,337785
-0,000200;2,490629
0,100200;2,643286
0,199100;2,792889
0,299500;2,942393
0,397600;3,091869
0,499300;3,243512
0,598200;3,393110
0,697600;3,542784
0,796900;3,691816
0,896300;3,842053
0,996800;3,992389
1,096400;4,143048
1,195300;4,292672
1,294700;4,441644
1,394600;4,592400

pomiar;18,000000;Uout->No load
-1,394700;0,398766
-1,294300;0,544727
-1,194700;0,693631
-1,095400;0,841700
-0,995600;0,991026
-0,896900;1,140380
-0,797100;1,289878
-0,697900;1,439305
-0,597400;1,589086
-0,499000;1,737825
-0,398700;1,888402
-0,300000;2,038865
-0,199200;2,188248
-0,099500;2,337783
-0,000200;2,490707
0,100300;2,643872
0,201000;2,793043
0,299300;2,942832
0,398800;3,092780
0,499100;3,243318
0,598300;3,392743
0,697100;3,542332
0,796900;3,691963
0,896500;3,841971
0,995800;3,992556
1,096000;4,142702
1,194400;4,292067
1,294300;4,442480
1,394300;4,592576

pomiar;18,000000;Uout->5K
-1,394700;0,398627
-1,294500;0,545071
-1,194900;0,693367
-1,095100;0,842157
-0,997400;0,990119
-0,896900;1,141270
-0,796800;1,289531
-0,698000;1,439855
-0,598400;1,588630
-0,499200;1,738828
-0,398100;1,889237
-0,299800;2,038173
-0,200600;2,187893
-0,101300;2,337419
-0,000300;2,490740
0,099900;2,644035
0,199800;2,793588
0,299200;2,943282
0,398600;3,093101
0,499500;3,243260
0,598300;3,392929
0,697100;3,542272
0,797400;3,692448
0,896200;3,841785
0,997400;3,993457
1,096300;4,143021
1,195400;4,293215
1,294400;4,442865
1,394400;4,592416

