pomiar;3,700000;Uout->No load
-1,394900;0,406294
-1,295100;0,553906
-1,196000;0,702618
-1,096900;0,851810
-0,997600;1,001099
-0,897700;1,151589
-0,796700;1,301066
-0,698100;1,450490
-0,597800;1,600076
-0,499300;1,749737
-0,398600;1,900480
-0,299800;2,050109
-0,200200;2,199686
-0,099500;2,349291
-0,000400;2,501773
0,100600;2,653704
0,199800;2,803241
0,299700;2,952882
0,398800;3,102520
0,498900;3,253280
0,599300;3,403023
0,698300;3,552790
0,797600;3,702366
0,896900;3,851955
0,997500;4,002733
1,096700;4,152377
1,196600;4,301980
1,295600;4,451592
1,395500;4,601271

pomiar;3,700000;Uout->5K
-1,394600;0,410174
-1,296500;0,556748
-1,195500;0,704916
-1,097400;0,853648
-0,996500;1,002786
-0,897000;1,152892
-0,798200;1,302193
-0,698600;1,451518
-0,597600;1,600957
-0,499400;1,750947
-0,398100;1,901002
-0,299200;2,050566
-0,198900;2,200057
-0,099400;2,349553
-0,000300;2,502160
0,101100;2,654219
0,199600;2,803781
0,299500;2,953387
0,399100;3,103023
0,499000;3,253778
0,598700;3,403470
0,698000;3,553034
0,798000;3,702711
0,897200;3,852292
0,997200;4,003058
1,097100;4,152683
1,196800;4,302231
1,295800;4,451880
1,395100;4,601415

pomiar;7,400000;Uout->No load
-1,394900;0,412079
-1,295300;0,558510
-1,196400;0,706494
-1,096800;0,854991
-0,997600;1,003812
-0,896700;1,153910
-0,796200;1,303010
-0,697000;1,452179
-0,598200;1,601427
-0,498600;1,750687
-0,399000;1,901178
-0,298400;2,050543
-0,200200;2,200066
-0,100600;2,349455
-0,000200;2,502342
0,100200;2,654660
0,199800;2,804085
0,299000;2,953512
0,398500;3,103034
0,499100;3,253638
0,598000;3,403086
0,697700;3,552584
0,797500;3,702074
0,896600;3,851515
0,996900;4,002106
1,095600;4,151562
1,195600;4,300990
1,294500;4,450459
1,393200;4,599877

pomiar;7,400000;Uout->5K
-1,395000;0,411875
-1,294100;0,558308
-1,194700;0,706380
-1,096600;0,854912
-0,996700;1,003659
-0,895800;1,153872
-0,797300;1,303019
-0,698100;1,452270
-0,598800;1,601588
-0,498800;1,750884
-0,398800;1,901295
-0,300100;2,050670
-0,200700;2,200017
-0,100500;2,349411
0,000000;2,502280
0,100800;2,654582
0,199600;2,803972
0,299100;2,953481
0,398400;3,102992
0,498800;3,253583
0,598000;3,403075
0,697400;3,552581
0,797000;3,702042
0,896300;3,851486
0,996600;4,002104
1,096500;4,151576
1,195400;4,300996
1,295000;4,450431
1,393900;4,599876

pomiar;12,000000;Uout->No load
-1,394500;0,412069
-1,294100;0,558313
-1,196000;0,706403
-1,096000;0,854947
-0,996700;1,003782
-0,897100;1,153882
-0,797300;1,302992
-0,697000;1,452139
-0,598100;1,601429
-0,498200;1,750862
-0,399200;1,901393
-0,299400;2,050724
-0,200700;2,200181
-0,101000;2,349547
-0,000000;2,502580
0,100400;2,655090
0,200000;2,804483
0,298800;2,953904
0,398500;3,103317
0,498500;3,253933
0,598500;3,403404
0,698300;3,552871
0,796800;3,702360
0,896400;3,851874
0,996300;4,002481
1,095900;4,151878
1,194600;4,301443
1,295300;4,450923
1,394200;4,600465

pomiar;12,000000;Uout->5K
-1,393500;0,411936
-1,295400;0,558475
-1,195700;0,706466
-1,095100;0,854951
-0,997100;1,003853
-0,896700;1,153895
-0,796500;1,303020
-0,698100;1,452285
-0,598000;1,601567
-0,499100;1,750957
-0,397800;1,901418
-0,299100;2,050821
-0,199600;2,200175
-0,100900;2,349592
0,000100;2,502530
0,100600;2,654951
0,199800;2,804411
0,299300;2,953892
0,398600;3,103344
0,498600;3,254039
0,598400;3,403564
0,697800;3,552994
0,796900;3,702408
0,896700;3,851935
0,996300;4,002560
1,096400;4,151968
1,196000;4,301463
1,294700;4,450868
1,394500;4,600389

pomiar;18,000000;Uout->No load
-1,393500;0,412148
-1,295200;0,558542
-1,194700;0,706681
-1,095300;0,855135
-0,997100;1,003983
-0,896900;1,154115
-0,796600;1,303188
-0,698100;1,452416
-0,598500;1,601666
-0,498000;1,751068
-0,397800;1,901525
-0,299800;2,050967
-0,200100;2,200326
-0,100600;2,349733
-0,000500;2,502965
0,100300;2,655693
0,199900;2,805166
0,298900;2,954520
0,398500;3,104027
0,498600;3,254622
0,598100;3,404133
0,697800;3,553554
0,796800;3,703038
0,896700;3,852469
0,996300;4,003038
1,095800;4,152506
1,195300;4,301931
1,294800;4,451359
1,394100;4,600883

pomiar;18,000000;Uout->5K
-1,394800;0,411885
-1,294900;0,558426
-1,195900;0,706523
-1,096100;0,855000
-0,996800;1,003918
-0,895300;1,154075
-0,797300;1,303216
-0,697100;1,452463
-0,597100;1,601739
-0,498900;1,751120
-0,397800;1,901585
-0,299000;2,050997
-0,199200;2,200377
-0,100500;2,349712
-0,000600;2,502944
0,100300;2,655602
0,199700;2,805034
0,299500;2,954428
0,398900;3,103971
0,498900;3,254581
0,598400;3,404025
0,697800;3,553487
0,797300;3,703027
0,896700;3,852452
0,996300;4,003013
1,096300;4,152454
1,195100;4,301912
1,294800;4,451335
1,393800;4,600816

