pomiar;3,700000;Uout->No load
-1,395800;0,399876
-1,296800;0,548509
-1,197000;0,697993
-1,097100;0,847759
-0,998100;0,997785
-0,897300;1,149007
-0,797900;1,299201
-0,698900;1,449448
-0,598800;1,599656
-0,499200;1,749941
-0,398900;1,901400
-0,298400;2,051687
-0,198600;2,202007
-0,100300;2,352307
-0,000600;2,505534
0,100800;2,658241
0,199700;2,808470
0,299700;2,958879
0,399100;3,109231
0,498800;3,260743
0,598700;3,410991
0,698600;3,561343
0,797500;3,711738
0,897800;3,862048
0,998200;4,013493
1,097400;4,163763
1,196900;4,314042
1,296000;4,464393
1,395500;4,614731

pomiar;3,700000;Uout->5K
-1,394700;0,404687
-1,296900;0,551938
-1,195400;0,700867
-1,096700;0,850192
-0,997700;0,999836
-0,897400;1,150768
-0,797700;1,300657
-0,699100;1,450702
-0,598700;1,600728
-0,499800;1,750888
-0,398000;1,902179
-0,298400;2,052375
-0,199200;2,202594
-0,100800;2,352820
-0,000100;2,505941
0,100700;2,658543
0,199600;2,808766
0,299700;2,959067
0,399400;3,109364
0,499200;3,260819
0,598200;3,411142
0,697900;3,561523
0,798000;3,711808
0,897300;3,862197
0,997200;4,013617
1,097000;4,163960
1,195900;4,314294
1,296600;4,464606
1,395500;4,614877

pomiar;7,400000;Uout->No load
-1,394600;0,406663
-1,293900;0,553733
-1,195500;0,702284
-1,095100;0,851396
-0,997000;1,000839
-0,896300;1,151620
-0,796500;1,301410
-0,698200;1,451317
-0,597000;1,601304
-0,498900;1,751229
-0,398600;1,902430
-0,299900;2,052503
-0,200000;2,203512
-0,099700;2,352637
-0,000500;2,505831
0,099800;2,658508
0,199000;2,808604
0,298900;2,958758
0,398500;3,108895
0,498900;3,260156
0,597600;3,410319
0,697600;3,560498
0,797200;3,710704
0,897000;3,860804
0,996400;4,012098
1,096100;4,162218
1,195100;4,312378
1,294900;4,462554
1,393900;4,612765

pomiar;7,400000;Uout->5K
-1,393800;0,406658
-1,295100;0,553588
-1,194500;0,702325
-1,095000;0,851401
-0,995800;1,000883
-0,896600;1,151617
-0,797200;1,301497
-0,697500;1,451409
-0,598300;1,601366
-0,498500;1,751321
-0,399000;1,902468
-0,299400;2,052522
-0,198800;2,202578
-0,100700;2,352608
-0,000700;2,505788
0,100000;2,658394
0,199300;2,808472
0,299400;2,958701
0,398800;3,108817
0,498400;3,260067
0,597700;3,410242
0,697300;3,560449
0,796300;3,710572
0,896900;3,860701
0,996500;4,012004
1,095500;4,162158
1,195100;4,312317
1,294300;4,462475
1,393800;4,612657

pomiar;12,000000;Uout->No load
-1,394600;0,406120
-1,294800;0,553280
-1,196000;0,701937
-1,095800;0,851074
-0,996400;1,000581
-0,896500;1,151424
-0,796900;1,301167
-0,697900;1,451068
-0,597800;1,600989
-0,499100;1,750971
-0,398800;1,902142
-0,299000;2,052228
-0,199000;2,202329
-0,099100;2,352411
-0,000200;2,505742
0,100100;2,658593
0,199500;2,808678
0,299200;2,958782
0,398200;3,108959
0,498500;3,260291
0,598400;3,410377
0,697800;3,560595
0,797100;3,710759
0,895800;3,860889
0,996300;4,012170
1,095500;4,162347
1,195200;4,312535
1,294800;4,462753
1,393100;4,612918

pomiar;12,000000;Uout->5K
-1,394200;0,406333
-1,293900;0,553388
-1,194500;0,702056
-1,095300;0,851184
-0,996600;1,000615
-0,896800;1,151390
-0,796000;1,301193
-0,697600;1,451025
-0,597100;1,600971
-0,498900;1,750998
-0,398700;1,902074
-0,298600;2,052250
-0,200100;2,202286
-0,100600;2,352386
-0,000300;2,505749
0,100500;2,658578
0,199800;2,808679
0,298700;2,958814
0,398800;3,109027
0,498200;3,260309
0,598200;3,410416
0,697600;3,560604
0,796600;3,710796
0,896200;3,860979
0,996700;4,012281
1,095500;4,162374
1,195000;4,312552
1,295000;4,462771
1,393700;4,612872

pomiar;18,000000;Uout->No load
-1,394300;0,406122
-1,294000;0,553157
-1,195700;0,701861
-1,096000;0,850959
-0,995800;1,000424
-0,896500;1,151231
-0,797200;1,300923
-0,697400;1,450840
-0,598700;1,600783
-0,498900;1,750738
-0,398800;1,901852
-0,298200;2,051960
-0,198800;2,202080
-0,100700;2,352109
-0,000400;2,505732
0,099300;2,658804
0,199300;2,808926
0,298800;2,959039
0,398600;3,109195
0,498700;3,260461
0,598100;3,410668
0,697800;3,560813
0,797300;3,710968
0,896300;3,861138
0,996600;4,012390
1,095500;4,162579
1,195400;4,312733
1,294400;4,462974
1,394400;4,613045

pomiar;18,000000;Uout->5K
-1,394600;0,406086
-1,295200;0,553186
-1,195300;0,701822
-1,095000;0,850969
-0,995600;1,000428
-0,896600;1,151176
-0,795900;1,300973
-0,696600;1,450909
-0,597600;1,600809
-0,498800;1,750834
-0,398100;1,901947
-0,299200;2,051985
-0,200300;2,202060
-0,100000;2,352092
-0,000200;2,505682
0,100100;2,658789
0,199800;2,808909
0,298900;2,958990
0,398500;3,109094
0,498900;3,260364
0,597800;3,410524
0,697700;3,560698
0,797300;3,710878
0,896100;3,861080
0,997200;4,012381
1,096000;4,162563
1,195000;4,312681
1,295000;4,462799
1,394500;4,612957

