pomiar;3,700000;Uout->No load
-1,392300;0,397576
-1,293700;0,544381
-1,193500;0,692856
-1,094500;0,843585
-0,995100;0,991826
-0,894800;1,143749
-0,795300;1,293451
-0,696200;1,442314
-0,595400;1,593056
-0,497500;1,741761
-0,396400;1,893793
-0,297100;2,043539
-0,196300;2,193463
-0,098700;2,342142
-0,000500;2,491841
0,097100;2,640745
0,197500;2,790511
0,297000;2,940005
0,396400;3,090588
0,496300;3,240497
0,596800;3,391613
0,695500;3,540422
0,795500;3,690329
0,894400;3,841082
0,994600;3,991375
1,094500;4,141997
1,194800;4,292397
1,293200;4,441211
1,393200;4,591344

pomiar;3,700000;Uout->5K
-1,392700;0,400686
-1,294400;0,547748
-1,193600;0,695159
-1,093500;0,844921
-0,993600;0,994434
-0,893900;1,144999
-0,795400;1,293433
-0,695500;1,443126
-0,594900;1,593164
-0,495500;1,743630
-0,395300;1,894561
-0,296700;2,044366
-0,197800;2,193142
-0,098000;2,343036
-0,000100;2,492365
0,096800;2,640287
0,197000;2,790164
0,296900;2,940062
0,396500;3,089978
0,496800;3,241027
0,595700;3,391763
0,696100;3,541884
0,794800;3,691322
0,894900;3,841731
0,994600;3,992245
1,093900;4,141544
1,193400;4,291967
1,293200;4,441959
1,392300;4,591298

pomiar;7,400000;Uout->No load
-1,391500;0,402572
-1,291300;0,549433
-1,193300;0,697735
-1,093300;0,846633
-0,993100;0,995706
-0,892600;1,146039
-0,794200;1,294390
-0,694200;1,443856
-0,595800;1,593364
-0,496800;1,744042
-0,395300;1,894888
-0,296500;2,043432
-0,197700;2,193069
-0,098400;2,343830
-0,000800;2,492376
0,098600;2,641581
0,197000;2,791283
0,296700;2,939950
0,395900;3,090754
0,496400;3,241653
0,596100;3,390273
0,694900;3,541191
0,794400;3,689803
0,894600;3,840699
0,994600;3,991062
1,093600;4,141342
1,192900;4,289981
1,291900;4,440882
1,391900;4,590199

pomiar;7,400000;Uout->5K
-1,391900;0,401709
-1,292600;0,548736
-1,193000;0,696769
-1,093600;0,845657
-0,993900;0,995683
-0,893000;1,146145
-0,794800;1,294501
-0,695000;1,444437
-0,596200;1,594614
-0,496500;1,743075
-0,396200;1,893845
-0,297200;2,044191
-0,197100;2,194226
-0,097800;2,342760
-0,000300;2,492384
0,099100;2,641562
0,196000;2,790163
0,296400;2,940138
0,396000;3,090736
0,496100;3,241634
0,595300;3,391339
0,694700;3,541089
0,793600;3,690022
0,893600;3,839639
0,993700;3,990908
1,093800;4,140117
1,192700;4,289917
1,292300;4,439644
1,391200;4,589411

pomiar;12,000000;Uout->No load
-1,391500;0,401408
-1,292000;0,549061
-1,191600;0,697005
-1,093700;0,845391
-0,994000;0,994489
-0,893200;1,144909
-0,794600;1,295373
-0,694200;1,444870
-0,595800;1,594400
-0,496700;1,742938
-0,395400;1,894137
-0,297300;2,044195
-0,197800;2,192963
-0,098500;2,342660
-0,000200;2,492427
0,097600;2,641742
0,197300;2,790694
0,296300;2,940880
0,396000;3,090662
0,495900;3,240765
0,595800;3,391620
0,695000;3,540256
0,794800;3,691079
0,893500;3,839791
0,994500;3,991259
1,093600;4,141322
1,193000;4,290529
1,292500;4,440907
1,390900;4,590794

pomiar;12,000000;Uout->5K
-1,391400;0,402154
-1,292900;0,548328
-1,193200;0,696714
-1,093900;0,846589
-0,994000;0,994588
-0,893000;1,145721
-0,794800;1,294377
-0,695700;1,443824
-0,594700;1,593336
-0,496300;1,742939
-0,395600;1,893824
-0,297200;2,044126
-0,197100;2,193409
-0,098200;2,342768
-0,000200;2,492424
0,097700;2,641244
0,197800;2,790395
0,296600;2,940203
0,396600;3,090555
0,496100;3,241786
0,595800;3,390688
0,695400;3,540907
0,794100;3,690756
0,893800;3,839800
0,993500;3,991416
1,092600;4,140345
1,193100;4,290996
1,292000;4,440931
1,391400;4,589656

pomiar;18,000000;Uout->No load
-1,391000;0,401516
-1,291300;0,548297
-1,193000;0,697261
-1,092800;0,845393
-0,994200;0,995250
-0,894100;1,144802
-0,794900;1,294734
-0,694800;1,443806
-0,594600;1,593957
-0,497000;1,742405
-0,396400;1,893904
-0,297000;2,043457
-0,198100;2,192195
-0,097800;2,342762
-0,000200;2,492445
0,097400;2,642395
0,198100;2,792692
0,296900;2,942232
0,396600;3,091551
0,497000;3,242621
0,596900;3,393060
0,696400;3,542619
0,795500;3,692182
0,894600;3,841518
0,995600;3,992735
1,093600;4,142411
1,193800;4,292595
1,293100;4,442466
1,392100;4,592512

pomiar;18,000000;Uout->5K
-1,393000;0,399806
-1,294000;0,546971
-1,194100;0,694930
-1,095100;0,843458
-0,994500;0,992710
-0,894400;1,143197
-0,795100;1,292760
-0,695600;1,441373
-0,596600;1,591563
-0,497000;1,741066
-0,397100;1,891657
-0,298100;2,041352
-0,198900;2,190744
-0,099200;2,340002
-0,000100;2,492339
0,099300;2,643359
0,199600;2,794095
0,298300;2,942849
0,397800;3,093724
0,498000;3,243920
0,597300;3,394352
0,696700;3,544142
0,796100;3,693984
0,896200;3,843622
0,995500;3,994254
1,094900;4,143429
1,194000;4,293883
1,293800;4,443589
1,393400;4,592760

