pomiar;3,700000;Uout->No load
-1,395800;0,401175
-1,295300;0,549209
-1,195800;0,698162
-1,097100;0,847417
-0,997500;0,996753
-0,896400;1,147294
-0,797800;1,296862
-0,698500;1,446382
-0,599300;1,596070
-0,498400;1,745712
-0,398600;1,896578
-0,299800;2,046330
-0,200000;2,196017
-0,099600;2,345630
-0,000200;2,498320
0,100500;2,650407
0,199600;2,799949
0,299400;2,949710
0,398400;3,099372
0,498800;3,250231
0,598600;3,400031
0,698000;3,549822
0,797700;3,699645
0,896600;3,849519
0,996900;4,000419
1,097000;4,150104
1,196400;4,299890
1,295500;4,449669
1,395400;4,599453

pomiar;3,700000;Uout->5K
-1,395600;0,405147
-1,296000;0,551781
-1,196500;0,700065
-1,095900;0,848930
-0,997600;0,997979
-0,896200;1,148360
-0,797900;1,297696
-0,697200;1,447062
-0,597700;1,596585
-0,498200;1,746143
-0,399200;1,896855
-0,299600;2,046405
-0,200100;2,196071
-0,100500;2,345662
-0,000200;2,498166
0,100300;2,650005
0,199700;2,799706
0,299500;2,949395
0,398900;3,099243
0,498500;3,250128
0,598100;3,399861
0,698000;3,549658
0,798000;3,699495
0,897000;3,849276
0,997400;4,000145
1,096400;4,150010
1,196400;4,299794
1,295600;4,449593
1,395100;4,599496

pomiar;7,400000;Uout->No load
-1,394500;0,407166
-1,294700;0,553869
-1,195000;0,702038
-1,096200;0,850620
-0,996500;0,999534
-0,895200;1,149735
-0,797000;1,298991
-0,697800;1,448191
-0,597200;1,597479
-0,498800;1,746898
-0,397900;1,897560
-0,298200;2,047039
-0,200000;2,196524
-0,099400;2,345992
-0,000200;2,498527
0,100200;2,650478
0,199000;2,799984
0,298600;2,949530
0,398500;3,099100
0,498700;3,249848
0,597900;3,399428
0,698200;3,548990
0,796600;3,698722
0,896700;3,848411
0,995900;3,999003
1,095500;4,148730
1,195300;4,298420
1,294200;4,448079
1,393800;4,597729

pomiar;7,400000;Uout->5K
-1,394100;0,407047
-1,295300;0,553681
-1,195700;0,701828
-1,094700;0,850459
-0,995700;0,999335
-0,896200;1,149458
-0,795900;1,298615
-0,697600;1,447889
-0,598000;1,597242
-0,497800;1,746632
-0,397700;1,897158
-0,298500;2,046575
-0,200200;2,196056
-0,100300;2,345525
-0,000200;2,498180
0,100700;2,650193
0,199200;2,799783
0,299300;2,949379
0,398600;3,098959
0,497700;3,249726
0,597800;3,399340
0,697800;3,548929
0,796500;3,698605
0,896300;3,848234
0,996800;3,998987
1,095800;4,148608
1,194900;4,298351
1,295800;4,448057
1,394300;4,597697

pomiar;12,000000;Uout->No load
-1,394100;0,407225
-1,294300;0,553787
-1,195600;0,701855
-1,096400;0,850498
-0,997000;0,999386
-0,896200;1,149557
-0,795900;1,298783
-0,697600;1,448040
-0,598200;1,597374
-0,497700;1,746795
-0,398900;1,897346
-0,299300;2,046791
-0,198700;2,196292
-0,100600;2,345826
-0,000100;2,498678
0,100400;2,650880
0,199300;2,800433
0,299300;2,950040
0,398600;3,099697
0,498200;3,250442
0,598100;3,400034
0,697700;3,549631
0,796700;3,699279
0,896700;3,848918
0,996700;3,999723
1,095600;4,149399
1,195600;4,299046
1,294400;4,448726
1,394000;4,598406

pomiar;12,000000;Uout->5K
-1,394400;0,407237
-1,295100;0,553789
-1,195600;0,701967
-1,095500;0,850612
-0,996800;0,999502
-0,895100;1,149661
-0,797400;1,298774
-0,698000;1,448114
-0,598500;1,597406
-0,498800;1,746769
-0,398700;1,897457
-0,299000;2,046869
-0,199900;2,196439
-0,100600;2,345886
-0,000400;2,498651
0,100100;2,650731
0,199200;2,800266
0,299200;2,949868
0,398300;3,099463
0,499200;3,250202
0,598000;3,399875
0,698200;3,549467
0,796600;3,699163
0,896900;3,848842
0,995900;3,999635
1,095700;4,149336
1,194800;4,299111
1,294300;4,448685
1,394100;4,598439

pomiar;18,000000;Uout->No load
-1,393000;0,407428
-1,295200;0,553928
-1,194300;0,702143
-1,095900;0,850839
-0,997000;0,999749
-0,895200;1,150027
-0,796800;1,299242
-0,697600;1,448613
-0,598200;1,597999
-0,497400;1,747456
-0,397100;1,898071
-0,298700;2,047568
-0,199800;2,197115
-0,099100;2,346582
-0,000100;2,499474
0,099200;2,651695
0,199800;2,801268
0,298700;2,950907
0,398300;3,100487
0,498500;3,251294
0,597400;3,400950
0,697500;3,550625
0,796900;3,700286
0,895700;3,849978
0,996700;4,000793
1,095400;4,150440
1,194800;4,300081
1,294100;4,449696
1,393800;4,599392

pomiar;18,000000;Uout->5K
-1,394200;0,407398
-1,293500;0,553992
-1,194000;0,702283
-1,096100;0,850987
-0,996100;0,999898
-0,896200;1,150100
-0,796800;1,299341
-0,696200;1,448711
-0,598200;1,598161
-0,498400;1,747665
-0,398400;1,898257
-0,299200;2,047744
-0,199400;2,197344
-0,100600;2,346877
-0,000400;2,499557
0,099900;2,651634
0,199500;2,801192
0,298400;2,950800
0,398100;3,100451
0,498000;3,251190
0,598000;3,400883
0,696900;3,550515
0,796500;3,700162
0,895600;3,849745
0,996000;4,000512
1,095100;4,150237
1,194900;4,299911
1,294000;4,449587
1,393200;4,599255

