pomiar;3,700000;Uout->No load
-1,392700;0,406748
-1,294000;0,554711
-1,194000;0,703679
-1,093600;0,853025
-0,995200;1,002481
-0,894900;1,153196
-0,795800;1,302857
-0,695700;1,452525
-0,595600;1,602245
-0,495900;1,752088
-0,396600;1,903030
-0,297300;2,052732
-0,196800;2,202532
-0,098500;2,352266
-0,000200;2,501264
0,098700;2,649959
0,197100;2,799680
0,297100;2,949440
0,397000;3,099229
0,496500;3,250051
0,596100;3,399806
0,696100;3,549520
0,795500;3,699197
0,894700;3,848927
0,995300;3,999757
1,094500;4,149449
1,193700;4,299174
1,293300;4,448850
1,393000;4,598564

pomiar;3,700000;Uout->5K
-1,392200;0,410204
-1,293900;0,556922
-1,194200;0,705416
-1,094800;0,854325
-0,995400;1,003571
-0,894800;1,154110
-0,795100;1,303608
-0,694500;1,453228
-0,596600;1,602836
-0,496700;1,752524
-0,395900;1,903372
-0,297400;2,053063
-0,197500;2,202809
-0,098200;2,352504
-0,000400;2,501382
0,098300;2,649948
0,197500;2,799614
0,297400;2,949396
0,395900;3,099125
0,496600;3,249962
0,596100;3,399720
0,695300;3,549415
0,795200;3,699136
0,894000;3,848902
0,995300;3,999723
1,094100;4,149441
1,193800;4,299063
1,292700;4,448782
1,393200;4,598364

pomiar;7,400000;Uout->No load
-1,391800;0,411899
-1,291400;0,558572
-1,191900;0,706777
-1,093400;0,855545
-0,993900;1,004556
-0,894300;1,154918
-0,794100;1,304297
-0,695100;1,453688
-0,595900;1,603132
-0,495400;1,752678
-0,395400;1,903359
-0,295900;2,052874
-0,197400;2,202468
-0,098100;2,352025
-0,000300;2,501100
0,097900;2,649813
0,197100;2,799381
0,297000;2,949045
0,396000;3,098649
0,496400;3,249380
0,596000;3,398909
0,695100;3,548486
0,794000;3,698079
0,893600;3,847637
0,994100;3,998341
1,093100;4,147966
1,192800;4,297504
1,291800;4,446991
1,391300;4,596463

pomiar;7,400000;Uout->5K
-1,391200;0,411860
-1,292600;0,558671
-1,191600;0,706869
-1,092500;0,855611
-0,994100;1,004654
-0,893900;1,154977
-0,794800;1,304336
-0,695500;1,453737
-0,596100;1,603246
-0,495300;1,752743
-0,396300;1,903415
-0,296600;2,053023
-0,197800;2,202581
-0,098300;2,352160
-0,000400;2,501194
0,098000;2,649908
0,197700;2,799449
0,296800;2,949105
0,396300;3,098692
0,495900;3,249404
0,596300;3,398985
0,695200;3,548591
0,794200;3,698129
0,893500;3,847621
0,993300;3,998295
1,093100;4,147771
1,192900;4,297367
1,292000;4,446867
1,391200;4,596445

pomiar;12,000000;Uout->No load
-1,391900;0,411591
-1,291500;0,558256
-1,192800;0,706498
-1,092800;0,855198
-0,993100;1,004271
-0,893100;1,154580
-0,793700;1,303911
-0,694100;1,453344
-0,596000;1,602796
-0,496100;1,752324
-0,395300;1,902989
-0,297200;2,052602
-0,198000;2,202160
-0,097000;2,351703
-0,000100;2,500952
0,098000;2,649805
0,197800;2,799387
0,296800;2,948929
0,396100;3,098533
0,496300;3,249266
0,595300;3,398841
0,694700;3,548391
0,794500;3,697966
0,893600;3,847583
0,994500;3,998301
1,093600;4,147771
1,192500;4,297377
1,292600;4,446824
1,391900;4,596296

pomiar;12,000000;Uout->5K
-1,390700;0,411552
-1,292200;0,558172
-1,193400;0,706481
-1,092700;0,855209
-0,994100;1,004261
-0,893900;1,154584
-0,795100;1,303882
-0,695200;1,453309
-0,595500;1,602787
-0,496700;1,752339
-0,396000;1,903032
-0,295500;2,052572
-0,196500;2,202131
-0,097200;2,351700
-0,000100;2,500927
0,097800;2,649702
0,197500;2,799287
0,296600;2,948920
0,396000;3,098507
0,495700;3,249218
0,595400;3,398788
0,695600;3,548400
0,794600;3,697916
0,893600;3,847628
0,994200;3,998275
1,093300;4,147758
1,192500;4,297205
1,292100;4,446755
1,391700;4,596214

pomiar;18,000000;Uout->No load
-1,391600;0,411031
-1,292700;0,557841
-1,192600;0,706084
-1,092500;0,854767
-0,992700;1,003759
-0,893800;1,154112
-0,794600;1,303428
-0,695000;1,452829
-0,594800;1,602291
-0,495800;1,751765
-0,396300;1,902446
-0,296100;2,051993
-0,197800;2,201557
-0,097300;2,351203
-0,000300;2,500593
0,098000;2,649653
0,197100;2,799133
0,296600;2,948806
0,395700;3,098352
0,496100;3,249064
0,595600;3,398713
0,695300;3,548290
0,794100;3,697805
0,893600;3,847363
0,993900;3,998038
1,093000;4,147555
1,192400;4,297081
1,291900;4,446599
1,391200;4,596061

pomiar;18,000000;Uout->5K
-1,391900;0,411095
-1,291200;0,557740
-1,192800;0,705872
-1,093400;0,854665
-0,993200;1,003653
-0,893800;1,153980
-0,793400;1,303323
-0,695400;1,452822
-0,595400;1,602268
-0,496200;1,751853
-0,396400;1,902518
-0,296500;2,052076
-0,197100;2,201662
-0,097700;2,351260
0,000500;2,500705
0,098000;2,649632
0,197400;2,799221
0,296300;2,948816
0,396300;3,098376
0,496500;3,249044
0,596100;3,398577
0,694700;3,548196
0,794600;3,697752
0,894100;3,847262
0,993800;3,997959
1,093700;4,147554
1,192800;4,297007
1,292000;4,446443
1,391300;4,595937

