pomiar;3,700000;Uout->No load
-1,394400;0,414526
-1,296100;0,563562
-1,196300;0,711967
-1,097000;0,859466
-0,997900;1,008732
-0,896300;1,158384
-0,796500;1,306949
-0,698200;1,454961
-0,597200;1,604319
-0,498000;1,753174
-0,398400;1,903077
-0,298300;2,052139
-0,199900;2,201150
-0,099100;2,350322
-0,000300;2,501298
0,100700;2,652254
0,199400;2,802068
0,298500;2,951384
0,397800;3,100827
0,498900;3,251602
0,598300;3,401412
0,697800;3,551185
0,796900;3,701013
0,897500;3,851242
0,997000;4,002005
1,096200;4,152199
1,195400;4,301915
1,294500;4,451944
1,394700;4,602106

pomiar;3,700000;Uout->5K
-1,394900;0,416425
-1,296100;0,562387
-1,195100;0,710406
-1,096300;0,858643
-0,997200;1,006696
-0,896700;1,156680
-0,797800;1,305403
-0,697400;1,454395
-0,598500;1,603479
-0,497500;1,752525
-0,398400;1,902809
-0,298300;2,051998
-0,199600;2,200782
-0,099700;2,350470
-0,000100;2,501455
0,099800;2,652766
0,199200;2,801607
0,298500;2,951407
0,398600;3,100790
0,498800;3,251626
0,597900;3,401297
0,697600;3,551063
0,797100;3,700821
0,896400;3,851347
0,996700;4,001629
1,096100;4,151589
1,195900;4,301548
1,295600;4,452014
1,394400;4,601773

pomiar;7,400000;Uout->No load
-1,394400;0,416635
-1,295600;0,562406
-1,195400;0,710136
-1,095900;0,858164
-0,996700;1,006716
-0,895200;1,156302
-0,796500;1,305337
-0,696200;1,453973
-0,596700;1,603274
-0,497400;1,751255
-0,397800;1,902368
-0,299500;2,051067
-0,199900;2,200480
-0,100000;2,349070
-0,000200;2,501281
0,099700;2,652507
0,199900;2,802429
0,299500;2,950943
0,398100;3,100823
0,497800;3,251321
0,597500;3,401389
0,697700;3,550204
0,796800;3,699463
0,896500;3,849084
0,996500;3,999475
1,095300;4,149827
1,194900;4,299392
1,295200;4,449287
1,393500;4,598190

pomiar;7,400000;Uout->5K
-1,393600;0,415553
-1,295000;0,561605
-1,194100;0,709323
-1,095500;0,856889
-0,995300;1,006073
-0,896200;1,156275
-0,796200;1,305119
-0,696900;1,453755
-0,597800;1,602523
-0,498600;1,751230
-0,398500;1,902099
-0,298600;2,051274
-0,198100;2,200109
-0,099100;2,349892
-0,000300;2,501204
0,099900;2,652721
0,198800;2,801837
0,298900;2,951245
0,398700;3,100792
0,498200;3,251675
0,597800;3,400021
0,696700;3,549479
0,796300;3,699094
0,896700;3,849382
0,996400;4,000077
1,095400;4,149024
1,195200;4,298461
1,293900;4,448056
1,393500;4,597735

pomiar;12,000000;Uout->No load
-1,394000;0,414168
-1,293900;0,560721
-1,195300;0,708476
-1,096200;0,856389
-0,996300;1,005323
-0,895700;1,154888
-0,796400;1,303788
-0,697100;1,452682
-0,597600;1,602088
-0,497300;1,750520
-0,398100;1,900807
-0,299400;2,050630
-0,199500;2,199912
-0,099400;2,348904
-0,000200;2,500771
0,100000;2,652502
0,198900;2,801212
0,298700;2,950706
0,398200;3,100018
0,498600;3,250519
0,597400;3,399909
0,697400;3,549645
0,796300;3,699755
0,896200;3,849003
0,996300;3,999146
1,095600;4,148806
1,194500;4,297862
1,294200;4,447918
1,393200;4,597004

pomiar;12,000000;Uout->5K
-1,394000;0,413219
-1,294400;0,559794
-1,195400;0,708237
-1,095300;0,856078
-0,995600;1,004473
-0,895400;1,154314
-0,796900;1,303618
-0,697800;1,452408
-0,598000;1,601927
-0,498600;1,749998
-0,397500;1,900950
-0,298500;2,050517
-0,199100;2,199738
-0,100600;2,348539
-0,000100;2,500409
0,099500;2,651534
0,199400;2,801111
0,298600;2,951080
0,397200;3,099508
0,498800;3,251150
0,597500;3,400207
0,697900;3,549639
0,796700;3,699351
0,895800;3,848385
0,996300;3,999502
1,096300;4,149157
1,194500;4,298055
1,293700;4,448036
1,393300;4,596766

pomiar;18,000000;Uout->No load
-1,393800;0,414164
-1,294700;0,560531
-1,193800;0,708270
-1,095900;0,855566
-0,996700;1,004689
-0,895700;1,154882
-0,795400;1,303669
-0,697600;1,451669
-0,597100;1,601445
-0,497500;1,750501
-0,398800;1,899964
-0,298800;2,049979
-0,200100;2,198265
-0,100500;0,607641
-0,100500;2,348375
-0,000400;2,500048
0,099600;2,651758
0,198900;2,801538
0,298200;2,950413
0,397800;3,099538
0,498600;3,250447
0,598100;3,399504
0,696900;3,549462
0,796700;3,699368
0,895800;3,847891
0,995800;3,998547
1,096000;4,148997
1,194300;4,297860
1,294400;4,447051
1,393900;4,597073

pomiar;18,000000;Uout->5K
-1,393800;0,412729
-1,293100;0,559037
-1,193900;0,706960
-1,096000;0,855765
-0,995900;1,003938
-0,896000;1,153767
-0,796600;1,303209
-0,697000;1,451646
-0,597400;1,600796
-0,498300;1,750410
-0,397700;1,900703
-0,297600;2,049984
-0,199900;2,199176
-0,099700;2,347870
-0,000300;2,500378
0,098500;2,651559
0,198900;2,800883
0,298600;2,951309
0,397900;3,099694
0,497900;3,250294
0,598300;3,400642
0,696700;3,549167
0,796500;3,698491
0,895800;3,848346
0,995600;3,999177
1,096500;4,148505
1,195700;4,298219
1,294300;4,446785
1,393700;4,597255

