pomiar;3,700000;Uout->No load
-1,395300;0,389243
-1,295400;0,538073
-1,196200;0,687897
-1,096700;0,838060
-0,997400;0,988414
-0,896900;1,139964
-0,796900;1,290510
-0,698600;1,441074
-0,598800;1,591662
-0,498200;1,742323
-0,399200;1,894098
-0,299300;2,044752
-0,198900;2,195407
-0,100900;2,346052
-0,000400;2,499369
0,100700;2,652013
0,199100;2,802570
0,299500;2,953231
0,398400;3,103868
0,499300;3,255648
0,598500;3,406358
0,697900;3,556995
0,797000;3,707650
0,896700;3,858265
0,996900;4,010065
1,097200;4,160672
1,196300;4,311316
1,295600;4,461964
1,395100;4,612534

pomiar;3,700000;Uout->5K
-1,394800;0,392864
-1,295900;0,540559
-1,196700;0,689772
-1,095700;0,839464
-0,997800;0,989465
-0,896200;1,140806
-0,798200;1,291231
-0,697300;1,441683
-0,598400;1,592159
-0,499200;1,742735
-0,397800;1,894509
-0,299900;2,045102
-0,200000;2,195729
-0,099100;2,346364
-0,000400;2,499417
0,100100;2,651853
0,199400;2,802443
0,299800;2,953085
0,398100;3,103763
0,498700;3,255594
0,597900;3,406187
0,697700;3,556859
0,797000;3,707459
0,896700;3,858095
0,996400;4,009845
1,096200;4,160507
1,196300;4,311096
1,295700;4,461736
1,395900;4,612314

pomiar;7,400000;Uout->No load
-1,393500;0,394993
-1,294600;0,542227
-1,195300;0,691391
-1,096000;0,841043
-0,995300;0,990933
-0,896400;1,142130
-0,795800;1,292318
-0,696200;1,442635
-0,597800;1,593048
-0,498400;1,743370
-0,397400;1,894932
-0,298000;2,045312
-0,198900;2,195830
-0,100500;2,346179
-0,000500;2,499372
0,099900;2,651906
0,199200;2,802318
0,298200;2,952889
0,397800;3,103371
0,498500;3,254965
0,597500;3,405521
0,697300;3,555994
0,796800;3,706480
0,895600;3,857008
0,995800;4,008645
1,095400;4,159111
1,194500;4,309648
1,294000;4,460096
1,393900;4,610586

pomiar;7,400000;Uout->5K
-1,394100;0,394929
-1,294800;0,542219
-1,194300;0,691241
-1,094900;0,840870
-0,995400;0,990768
-0,896500;1,141991
-0,795600;1,292171
-0,696500;1,442503
-0,598100;1,592897
-0,498600;1,743328
-0,398100;1,894828
-0,298800;2,045316
-0,199500;2,195783
-0,100700;2,346209
-0,000100;2,499343
0,099900;2,651823
0,199500;2,802260
0,298200;2,952766
0,398200;3,103263
0,498400;3,254898
0,597600;3,405458
0,697500;3,555971
0,796100;3,706462
0,895700;3,856942
0,995600;4,008516
1,095400;4,159025
1,195400;4,309455
1,294000;4,459845
1,393100;4,610253

pomiar;12,000000;Uout->No load
-1,393700;0,394714
-1,295000;0,542122
-1,194900;0,691156
-1,095000;0,840782
-0,996300;0,990709
-0,895800;1,141928
-0,796700;1,292172
-0,697100;1,442461
-0,598100;1,592828
-0,497600;1,743257
-0,398600;1,894871
-0,298700;2,045328
-0,199300;2,195809
-0,098900;2,346274
-0,000300;2,499471
0,100200;2,651934
0,198100;2,802470
0,298500;2,952986
0,397900;3,103482
0,498400;3,255153
0,597000;3,405627
0,696900;3,556108
0,796700;3,706635
0,895400;3,857105
0,996100;4,008730
1,095400;4,159250
1,195000;4,309719
1,294400;4,460190
1,393900;4,610718

pomiar;12,000000;Uout->5K
-1,393000;0,394762
-1,294700;0,542036
-1,195600;0,691114
-1,096200;0,840720
-0,996600;0,990639
-0,895900;1,141820
-0,797100;1,291978
-0,696500;1,442327
-0,598300;1,592659
-0,498700;1,743071
-0,398000;1,894620
-0,298100;2,045096
-0,200100;2,195590
-0,100500;2,346007
-0,000200;2,499396
0,099900;2,652103
0,199300;2,802571
0,298300;2,953018
0,398000;3,103553
0,498500;3,255239
0,598600;3,405735
0,696900;3,556273
0,796900;3,706739
0,896000;3,857239
0,996800;4,008829
1,095300;4,159354
1,195000;4,309799
1,294000;4,460200
1,393600;4,610705

pomiar;18,000000;Uout->No load
-1,394300;0,394289
-1,294300;0,541775
-1,194300;0,690859
-1,094500;0,840428
-0,996000;0,990334
-0,896400;1,141566
-0,797200;1,291751
-0,696700;1,442049
-0,597600;1,592447
-0,498200;1,742852
-0,398800;1,894348
-0,297900;2,044803
-0,199800;2,195323
-0,100700;2,345737
-0,000200;2,499393
0,100000;2,652424
0,199300;2,802849
0,299200;2,953331
0,398000;3,103817
0,499000;3,255501
0,598000;3,406012
0,696900;3,556564
0,796800;3,707090
0,895600;3,857496
0,996000;4,009137
1,095800;4,159564
1,194600;4,310048
1,294800;4,460510
1,393500;4,610912

pomiar;18,000000;Uout->5K
-1,393800;0,394224
-1,293600;0,541595
-1,195500;0,690669
-1,095600;0,840212
-0,995500;0,990162
-0,895400;1,141399
-0,795900;1,291582
-0,696500;1,441867
-0,597600;1,592140
-0,497500;1,742492
-0,397400;1,894023
-0,298700;2,044506
-0,198600;2,194956
-0,100200;2,345375
-0,000200;2,499187
0,100400;2,652287
0,199000;2,802756
0,298700;2,953264
0,397800;3,103836
0,498400;3,255600
0,597900;3,406106
0,696800;3,556616
0,796700;3,707121
0,896200;3,857600
0,996300;4,009138
1,095500;4,159645
1,194600;4,310071
1,294000;4,460512
1,393800;4,610931

