pomiar;3,700000;Uout->No load
-1,392900;0,402717
-1,292400;0,551178
-1,192500;0,700507
-1,094500;0,849820
-0,994700;0,999873
-0,894300;1,150740
-0,795500;1,300252
-0,695200;1,450549
-0,595500;1,600489
-0,496700;1,750414
-0,396000;1,901014
-0,295500;2,051498
-0,196200;2,201522
-0,097900;2,351358
-0,000400;2,499828
0,098000;2,647485
0,197300;2,798118
0,296700;2,947773
0,396800;3,098304
0,495700;3,248896
0,595500;3,398916
0,694700;3,549018
0,795500;3,699131
0,894000;3,849148
0,994100;4,000267
1,094300;4,150280
1,193600;4,300568
1,292200;4,450315
1,392200;4,600351

pomiar;3,700000;Uout->5K
-1,392800;0,406661
-1,292500;0,553969
-1,193800;0,702680
-1,092900;0,851889
-0,993300;1,001311
-0,893100;1,151951
-0,794900;1,301304
-0,694300;1,451552
-0,596000;1,600821
-0,495300;1,751307
-0,394600;1,902367
-0,296000;2,052337
-0,196200;2,202280
-0,097300;2,352227
-0,000200;2,500324
0,097400;2,647824
0,196800;2,797993
0,296100;2,947816
0,395900;3,097886
0,495500;3,249109
0,595200;3,399136
0,695100;3,549197
0,794600;3,699198
0,894200;3,849218
0,993800;4,000324
1,093500;4,150354
1,192800;4,300376
1,292100;4,450369
1,392000;4,600320

pomiar;7,400000;Uout->No load
-1,389900;0,408702
-1,291800;0,555828
-1,191500;0,703886
-1,091900;0,853564
-0,993900;1,002894
-0,893800;1,152393
-0,794000;1,302105
-0,695200;1,452237
-0,595600;1,602078
-0,495900;1,751077
-0,394600;1,902551
-0,296800;2,052723
-0,197400;2,201864
-0,098100;2,351691
-0,000300;2,500790
0,097200;2,649438
0,196400;2,799264
0,296100;2,948408
0,396300;3,098325
0,495500;3,249710
0,595200;3,399313
0,694800;3,549647
0,794100;3,698967
0,893300;3,848593
0,993400;3,999933
1,092400;4,149899
1,192200;4,299489
1,292300;4,449469
1,391100;4,599259

pomiar;7,400000;Uout->5K
-1,389800;0,408920
-1,291300;0,556032
-1,191600;0,704262
-1,093300;0,853326
-0,994000;1,002540
-0,892500;1,153050
-0,794400;1,302694
-0,694800;1,452798
-0,595000;1,602187
-0,496500;1,751614
-0,395000;1,902296
-0,296000;2,052824
-0,196800;2,201806
-0,097700;2,352050
-0,000200;2,500756
0,097000;2,648701
0,197700;2,798370
0,296500;2,948703
0,395100;3,098894
0,495700;3,250058
0,595800;3,399447
0,694300;3,549614
0,793700;3,698637
0,893500;3,849066
0,993900;4,000409
1,093000;4,149578
1,191900;4,300394
1,292100;4,449486
1,390900;4,599951

pomiar;12,000000;Uout->No load
-1,391400;0,409097
-1,292300;0,555799
-1,193100;0,704111
-1,093400;0,852980
-0,992800;1,003128
-0,892900;1,153448
-0,794000;1,303136
-0,695100;1,452964
-0,595300;1,601671
-0,495200;1,752195
-0,396800;1,902261
-0,295500;2,052855
-0,196400;2,202406
-0,097300;2,351820
-0,000300;2,501354
0,097200;2,649539
0,196700;2,799186
0,297200;2,949830
0,395600;3,099813
0,496100;3,249979
0,596100;3,399736
0,694400;3,550439
0,794800;3,700132
0,893500;3,850326
0,993900;4,001326
1,092900;4,151273
1,192200;4,301177
1,291700;4,450558
1,391500;4,599850

pomiar;12,000000;Uout->5K
-1,391600;0,407944
-1,292400;0,555302
-1,193100;0,703930
-1,093400;0,853426
-0,994100;1,002770
-0,893900;1,153030
-0,794000;1,302430
-0,693700;1,452855
-0,595700;1,602027
-0,495200;1,751411
-0,396100;1,902557
-0,296000;2,052586
-0,197000;2,202734
-0,097800;2,352369
-0,000200;2,501282
0,097100;2,649269
0,197100;2,799958
0,296900;2,949231
0,395900;3,098866
0,496400;3,250841
0,595000;3,399831
0,695200;3,550126
0,794000;3,699311
0,892800;3,849184
0,994200;4,000839
1,092600;4,150060
1,192200;4,299880
1,291200;4,450208
1,391400;4,600410

pomiar;18,000000;Uout->No load
-1,391900;0,408662
-1,292000;0,556107
-1,193100;0,704991
-1,093400;0,854374
-0,993300;1,002701
-0,894400;1,154248
-0,793200;1,303460
-0,694000;1,453041
-0,595700;1,603146
-0,496600;1,752247
-0,395000;1,903191
-0,295100;2,053671
-0,196500;2,203177
-0,097700;2,353112
-0,000800;2,502009
0,097300;2,650100
0,196800;2,800974
0,296700;2,950495
0,395500;3,100374
0,495800;3,251181
0,596000;3,401222
0,694600;3,551262
0,794200;3,701059
0,893900;3,851123
0,993700;4,001706
1,092900;4,151073
1,192200;4,301735
1,292100;4,451477
1,390800;4,600677

pomiar;18,000000;Uout->5K
-1,391400;0,408878
-1,290700;0,556490
-1,191500;0,705426
-1,093400;0,853468
-0,993900;1,002830
-0,892900;1,153472
-0,793300;1,303280
-0,693900;1,452607
-0,594500;1,602740
-0,496500;1,752181
-0,395600;1,903944
-0,295300;2,053780
-0,196000;2,203417
-0,097500;2,352559
-0,000300;2,501979
0,097800;2,650145
0,197200;2,800846
0,296200;2,949698
0,395600;3,099533
0,495500;3,251578
0,595300;3,401363
0,694400;3,550332
0,794200;3,700601
0,893700;3,850511
0,994000;4,000891
1,092900;4,151907
1,192300;4,301707
1,291100;4,451504
1,391600;4,600674

