pomiar;3,700000;Uout->No load
-1,395900;0,404960
-1,296800;0,552836
-1,196100;0,701582
-1,096900;0,850728
-0,998300;1,000048
-0,897600;1,150586
-0,797200;1,300071
-0,699000;1,449687
-0,598100;1,599327
-0,498800;1,748876
-0,399400;1,899646
-0,299900;2,049263
-0,201000;2,198942
-0,099900;2,348523
-0,000200;2,501704
0,101200;2,654392
0,199900;2,803980
0,299600;2,953631
0,399900;3,103322
0,499400;3,254133
0,599000;3,403748
0,698600;3,553371
0,797600;3,703038
0,897800;3,852715
0,998100;4,003409
1,097100;4,153025
1,196700;4,302720
1,296600;4,452286
1,395300;4,601853

pomiar;3,700000;Uout->5K
-1,395700;0,408847
-1,295300;0,552128
-1,195600;0,701331
-1,096500;0,850770
-0,998200;1,000174
-0,897300;1,150833
-0,797200;1,300385
-0,698500;1,449969
-0,599100;1,599536
-0,498400;1,749165
-0,398600;1,899936
-0,298900;2,049630
-0,199500;2,199265
-0,099500;2,348922
-0,000400;2,501751
0,100900;2,654069
0,200000;2,803679
0,299500;2,953356
0,399000;3,103011
0,498700;3,253847
0,598400;3,403458
0,698400;3,553071
0,797100;3,702777
0,897200;3,852397
0,997500;4,003222
1,097300;4,152892
1,196500;4,302476
1,295100;4,452108
1,395300;4,601646

pomiar;7,400000;Uout->No load
-1,394300;0,410701
-1,295400;0,557118
-1,195900;0,705244
-1,096500;0,853796
-0,995900;1,002688
-0,896900;1,152805
-0,797200;1,302026
-0,697900;1,451289
-0,598700;1,600715
-0,499500;1,750059
-0,398700;1,900633
-0,298800;2,050025
-0,198900;2,199565
-0,099800;2,349005
-0,000400;2,501887
0,101200;2,654336
0,199400;2,803759
0,299200;2,953307
0,399400;3,102778
0,499200;3,253417
0,598100;3,402840
0,697900;3,552361
0,796800;3,701852
0,896500;3,851318
0,996600;4,001878
1,095900;4,151324
1,195400;4,300822
1,295300;4,450262
1,393800;4,599713

pomiar;7,400000;Uout->5K
-1,394600;0,410790
-1,295100;0,557267
-1,194800;0,705317
-1,095100;0,853900
-0,996700;1,002797
-0,897100;1,152933
-0,797600;1,302160
-0,697700;1,451455
-0,598600;1,600784
-0,499400;1,750172
-0,399000;1,900696
-0,298400;2,050165
-0,198800;2,199561
-0,099900;2,349022
-0,000800;2,501846
0,100700;2,654222
0,199200;2,803648
0,298900;2,953124
0,398500;3,102659
0,498500;3,253327
0,598300;3,402761
0,697800;3,552262
0,797400;3,701702
0,897800;3,851172
0,996700;4,001748
1,096300;4,151248
1,195000;4,300717
1,294800;4,450081
1,393800;4,599547

pomiar;12,000000;Uout->No load
-1,394600;0,410492
-1,295100;0,556955
-1,195300;0,704971
-1,095200;0,853531
-0,995700;1,002457
-0,896600;1,152628
-0,796300;1,301847
-0,697000;1,451157
-0,598100;1,600478
-0,497900;1,749847
-0,398500;1,900401
-0,299300;2,049850
-0,200400;2,199330
-0,100700;2,348693
-0,000100;2,501723
0,100300;2,654276
0,199900;2,803760
0,299200;2,953225
0,398900;3,102710
0,498300;3,253343
0,597700;3,402847
0,697500;3,552355
0,797600;3,701862
0,896300;3,851362
0,996600;4,001899
1,095700;4,151372
1,195200;4,300774
1,295100;4,450153
1,393900;4,599652

pomiar;12,000000;Uout->5K
-1,394600;0,410382
-1,293900;0,556886
-1,196100;0,704986
-1,096300;0,853564
-0,995900;1,002422
-0,896200;1,152555
-0,797600;1,301738
-0,697000;1,451021
-0,597300;1,600344
-0,497800;1,749707
-0,398600;1,900201
-0,298200;2,049596
-0,200400;2,199046
-0,100800;2,348542
-0,000500;2,501574
0,100100;2,654185
0,200400;2,803664
0,299300;2,953110
0,399200;3,102581
0,498400;3,253160
0,598000;3,402708
0,697700;3,552155
0,797500;3,701657
0,896300;3,851123
0,996400;4,001668
1,095700;4,151099
1,195200;4,300508
1,295300;4,450039
1,393700;4,599310

pomiar;18,000000;Uout->No load
-1,394500;0,409741
-1,294800;0,556198
-1,194600;0,704278
-1,096300;0,852807
-0,995800;1,001682
-0,896200;1,151907
-0,796000;1,301094
-0,697500;1,450413
-0,598200;1,599764
-0,499400;1,749145
-0,399300;1,899670
-0,298500;2,049128
-0,199800;2,198551
-0,100600;2,348031
-0,000200;2,501305
0,100400;2,654169
0,200100;2,803601
0,299500;2,953118
0,398900;3,102665
0,499300;3,253239
0,598300;3,402685
0,697900;3,552198
0,797300;3,701665
0,896200;3,851091
0,996900;4,001635
1,095500;4,151092
1,195300;4,300605
1,295500;4,450143
1,394400;4,599428

pomiar;18,000000;Uout->5K
-1,393700;0,409877
-1,295200;0,556427
-1,194500;0,704322
-1,095100;0,852940
-0,995800;1,001922
-0,896700;1,151966
-0,796700;1,301235
-0,696700;1,450516
-0,597200;1,599855
-0,498900;1,749219
-0,398900;1,899717
-0,298200;2,049178
-0,200400;2,198598
-0,101100;2,348018
-0,000100;2,501218
0,100500;2,654013
0,199400;2,803498
0,299200;2,953068
0,398900;3,102566
0,499000;3,253184
0,598300;3,402752
0,698200;3,552147
0,797200;3,701651
0,896200;3,851102
0,996700;4,001666
1,095900;4,151124
1,195400;4,300594
1,295000;4,450031
1,394600;4,599437

