pomiar;3,700000;Uout->No load
-1,394400;0,392924
-1,296100;0,542206
-1,196600;0,690969
-1,096000;0,840553
-0,996400;0,990036
-0,895800;1,141129
-0,797700;1,291014
-0,698300;1,440883
-0,598700;1,590893
-0,498400;1,740868
-0,399100;1,891961
-0,299500;2,042001
-0,199600;2,191955
-0,099200;2,342062
-0,000300;2,494303
0,100200;2,646140
0,199700;2,796412
0,298700;2,946314
0,398000;3,096524
0,499000;3,247941
0,598000;3,398236
0,698000;3,548560
0,797400;3,698888
0,896400;3,849272
0,996800;4,000776
1,096000;4,151238
1,195800;4,301689
1,295600;4,452128
1,395400;4,602633

pomiar;3,700000;Uout->5K
-1,394000;0,397690
-1,294500;0,544597
-1,195100;0,693313
-1,096800;0,842406
-0,996700;0,991698
-0,897000;1,142349
-0,797200;1,291961
-0,697600;1,441698
-0,597300;1,591440
-0,497800;1,741337
-0,398400;1,892303
-0,298800;2,042250
-0,198300;2,192327
-0,100400;2,342348
-0,000200;2,494359
0,098700;2,645855
0,199500;2,795926
0,298700;2,946453
0,398100;3,096284
0,498800;3,247660
0,597600;3,397882
0,697700;3,548198
0,796600;3,698535
0,896800;3,848949
0,997400;4,000433
1,096500;4,151086
1,195600;4,301317
1,295700;4,452376
1,394600;4,602373

pomiar;7,400000;Uout->No load
-1,394500;0,399114
-1,294800;0,546411
-1,194400;0,694980
-1,094700;0,843823
-0,995900;0,992733
-0,895700;1,143233
-0,795500;1,293000
-0,697300;1,442376
-0,597600;1,592164
-0,498300;1,741860
-0,398100;1,892735
-0,298700;2,042657
-0,198700;2,192182
-0,099000;2,342252
-0,000300;2,494327
0,099600;2,645901
0,199200;2,795877
0,298300;2,946100
0,398000;3,095912
0,498000;3,247144
0,597600;3,397233
0,696500;3,547639
0,796300;3,697583
0,895400;3,847888
0,995900;3,999254
1,096000;4,149515
1,195400;4,299936
1,293700;4,450169
1,393600;4,600854

pomiar;7,400000;Uout->5K
-1,394200;0,399812
-1,294600;0,545929
-1,194200;0,695147
-1,094600;0,843978
-0,996000;0,993035
-0,896200;1,143293
-0,796800;1,292856
-0,697200;1,442624
-0,597000;1,592241
-0,497400;1,741884
-0,397000;1,892747
-0,298000;2,042570
-0,200000;2,191545
-0,099800;2,342098
-0,000700;2,494192
0,099600;2,645658
0,198700;2,796450
0,298600;2,945677
0,398100;3,096160
0,498400;3,247704
0,597400;3,397517
0,697100;3,547436
0,796200;3,697587
0,895600;3,848737
0,996100;3,999515
1,094900;4,149432
1,194500;4,299860
1,294800;4,450221
1,393100;4,600420

pomiar;12,000000;Uout->No load
-1,393900;0,399791
-1,294300;0,546807
-1,194700;0,695203
-1,094500;0,844038
-0,995200;0,992806
-0,895600;1,143822
-0,797000;1,292994
-0,697500;1,442838
-0,597500;1,592278
-0,498000;1,741823
-0,397500;1,892730
-0,298900;2,042431
-0,199700;2,191943
-0,098900;2,342163
0,000200;2,494344
0,099500;2,646217
0,199200;2,796170
0,298500;2,946083
0,398100;3,096292
0,498000;3,247483
0,597400;3,398496
0,697100;3,547755
0,797300;3,699055
0,896000;3,848423
0,996100;4,000469
1,095400;4,150157
1,194300;4,300527
1,294300;4,451190
1,394000;4,601536

pomiar;12,000000;Uout->5K
-1,393600;0,400165
-1,294700;0,546717
-1,194800;0,694500
-1,094500;0,844200
-0,996000;0,992440
-0,895800;1,143123
-0,796900;1,292355
-0,697000;1,442588
-0,598000;1,592319
-0,497400;1,741997
-0,397400;1,892886
-0,299100;2,042376
-0,199600;2,192313
-0,099800;2,342259
-0,000500;2,494400
0,099700;2,646149
0,200400;2,796106
0,298400;2,946164
0,398000;3,096938
0,498400;3,247663
0,597100;3,397642
0,696900;3,547765
0,795800;3,698062
0,895600;3,848281
0,995700;3,999653
1,095600;4,149866
1,194500;4,300417
1,294200;4,450694
1,393200;4,600897

pomiar;18,000000;Uout->No load
-1,392800;0,399280
-1,294200;0,545219
-1,195600;0,694098
-1,094700;0,842705
-0,995100;0,992142
-0,895800;1,142732
-0,797000;1,291991
-0,697300;1,441816
-0,597800;1,591420
-0,498200;1,740597
-0,398100;1,892244
-0,297800;2,042085
-0,199300;2,191682
-0,099500;2,341891
-0,000400;2,494322
0,099700;2,646421
0,199200;2,796179
0,298600;2,946630
0,397700;3,096228
0,498200;3,247768
0,597700;3,398488
0,696800;3,547807
0,796500;3,697969
0,895900;3,848468
0,995800;4,000104
1,095400;4,149463
1,195100;4,299468
1,294300;4,450315
1,394100;4,599903

pomiar;18,000000;Uout->5K
-1,393700;0,398412
-1,294400;0,545117
-1,195200;0,693563
-1,095300;0,842395
-0,996100;0,991627
-0,896200;1,141901
-0,796400;1,291177
-0,696600;1,441129
-0,596600;1,591068
-0,498500;1,741003
-0,398000;1,891835
-0,298600;2,042011
-0,198400;2,191760
-0,099900;2,341766
-0,000300;2,494210
0,098700;2,646221
0,199300;2,796238
0,298400;2,946495
0,398100;3,096460
0,497700;3,247746
0,597700;3,398181
0,697300;3,547734
0,796400;3,698832
0,895200;3,847970
0,995700;3,999220
1,095300;4,149337
1,194700;4,299484
1,294000;4,449975
1,392700;4,599956

