pomiar;3,700000;Uout->No load
-1,392800;0,399080
-1,293300;0,547049
-1,194000;0,696080
-1,094500;0,845434
-0,995300;0,994924
-0,894000;1,145619
-0,795200;1,295280
-0,696100;1,445093
-0,595200;1,594866
-0,495600;1,744653
-0,395300;1,895628
-0,297100;2,045484
-0,198100;2,195283
-0,098000;2,344878
-0,000200;2,493781
0,098000;2,641963
0,197000;2,791761
0,296100;2,941642
0,396300;3,091629
0,496700;3,243036
0,596500;3,392399
0,695300;3,543064
0,795100;3,692080
0,894500;3,841938
0,994700;3,993931
1,094700;4,143019
1,192900;4,292796
1,293100;4,442615
1,392900;4,592459

pomiar;3,700000;Uout->5K
-1,392000;0,403018
-1,292300;0,549712
-1,193700;0,698053
-1,095000;0,846294
-0,993900;0,996212
-0,894500;1,146695
-0,795600;1,295607
-0,695700;1,445823
-0,596500;1,595445
-0,496400;1,745293
-0,396200;1,896174
-0,296900;2,044973
-0,197500;2,195772
-0,097600;2,345371
-0,000100;2,493939
0,097800;2,641959
0,197200;2,791779
0,296300;2,941596
0,395900;3,091736
0,497000;3,242476
0,595500;3,392368
0,695500;3,542351
0,794500;3,692052
0,894300;3,841874
0,993800;3,992958
1,094100;4,142735
1,193700;4,292688
1,293700;4,442467
1,392500;4,592275

pomiar;7,400000;Uout->No load
-1,392100;0,404145
-1,292100;0,551358
-1,192300;0,698789
-1,092600;0,847602
-0,994200;0,997544
-0,894300;1,147336
-0,794800;1,297307
-0,694700;1,446572
-0,595400;1,596203
-0,495900;1,745578
-0,396000;1,896337
-0,297400;2,045121
-0,197700;2,195468
-0,098500;2,344387
-0,000100;2,494110
0,097800;2,643174
0,197000;2,791864
0,296600;2,942061
0,397200;3,092372
0,496100;3,242284
0,595700;3,392623
0,696800;3,542355
0,794100;3,691378
0,894300;3,841739
0,994800;3,992716
1,093600;4,142564
1,191800;4,292201
1,292400;4,441881
1,392000;4,591751

pomiar;7,400000;Uout->5K
-1,392500;0,403925
-1,292600;0,550998
-1,193200;0,698722
-1,092900;0,847383
-0,993800;0,996446
-0,893300;1,147472
-0,795200;1,296418
-0,694000;1,446183
-0,595800;1,596050
-0,496600;1,744561
-0,396300;1,895198
-0,296200;2,045342
-0,197900;2,195200
-0,098000;2,344221
-0,000800;2,494006
0,097800;2,642339
0,196500;2,792549
0,296600;2,941476
0,396900;3,092119
0,496300;3,242829
0,595900;3,392271
0,696000;3,541885
0,794200;3,691838
0,894000;3,841349
0,993800;3,992828
1,093500;4,142229
1,193000;4,291747
1,291900;4,440808
1,391700;4,590870

pomiar;12,000000;Uout->No load
-1,391800;0,404106
-1,291800;0,551266
-1,192200;0,699507
-1,093600;0,847229
-0,993300;0,996641
-0,894100;1,146759
-0,794100;1,296108
-0,694400;1,446678
-0,595900;1,595075
-0,495600;1,745640
-0,395900;1,895362
-0,296800;2,045813
-0,198200;2,194999
-0,098400;2,344199
0,000300;2,494064
0,097700;2,643401
0,197200;2,792743
0,296500;2,942823
0,396100;3,091975
0,496400;3,243422
0,594700;3,392051
0,694800;3,542880
0,794800;3,691872
0,893900;3,841287
0,993900;3,993089
1,093900;4,142155
1,192500;4,291419
1,292100;4,441187
1,392000;4,591894

pomiar;12,000000;Uout->5K
-1,392200;0,404001
-1,292300;0,550993
-1,193300;0,699513
-1,092900;0,847243
-0,994300;0,997004
-0,893500;1,146849
-0,795200;1,296133
-0,694200;1,445470
-0,596300;1,595165
-0,495200;1,744724
-0,396100;1,895322
-0,297200;2,045024
-0,197100;2,194527
-0,098700;2,344044
-0,000200;2,493929
0,097800;2,643353
0,197300;2,792006
0,297200;2,942068
0,396000;3,092063
0,496400;3,242778
0,596300;3,392835
0,694800;3,542312
0,794900;3,692237
0,894100;3,841514
0,994600;3,992308
1,093300;4,141928
1,192600;4,291573
1,292300;4,442019
1,392100;4,591306

pomiar;18,000000;Uout->No load
-1,391900;0,404625
-1,293000;0,550214
-1,192200;0,698838
-1,093500;0,847140
-0,993300;0,996182
-0,893300;1,147427
-0,793500;1,296719
-0,695200;1,445512
-0,596500;1,595806
-0,496600;1,745147
-0,395700;1,895519
-0,295800;2,044840
-0,196800;2,194498
-0,098900;2,344085
-0,000300;2,494207
0,098300;2,643518
0,197400;2,792804
0,297000;2,943000
0,395900;3,092629
0,495900;3,242543
0,595900;3,393376
0,695300;3,542768
0,794300;3,692848
0,893900;3,842538
0,993900;3,993176
1,093100;4,142088
1,193300;4,292790
1,292200;4,442082
1,392000;4,592072

pomiar;18,000000;Uout->5K
-1,391800;0,403841
-1,291500;0,551447
-1,192300;0,698622
-1,093000;0,847883
-0,994300;0,996450
-0,893500;1,147833
-0,794800;1,296084
-0,694800;1,446770
-0,594600;1,595977
-0,495900;1,744786
-0,395600;1,895435
-0,297400;2,045662
-0,197300;2,195409
-0,098500;2,344300
-0,000300;2,494298
0,098300;2,643410
0,197200;2,793265
0,296600;2,943202
0,395100;3,092624
0,496300;3,242693
0,596400;3,392593
0,695800;3,542876
0,794200;3,692086
0,893700;3,842194
0,994300;3,992594
1,092700;4,142076
1,192700;4,292100
1,292300;4,441061
1,391900;4,591668

