pomiar;3,700000;Uout->No load
-1,394900;0,406164
-1,294700;0,554207
-1,196200;0,702614
-1,096900;0,852079
-0,997600;1,001049
-0,897100;1,151281
-0,796300;1,300442
-0,697900;1,449723
-0,597500;1,598981
-0,498600;1,748226
-0,398400;1,898297
-0,299500;2,048000
-0,199800;2,197431
-0,099500;2,346862
-0,000200;2,498705
0,100400;2,650331
0,199700;2,799511
0,299200;2,949323
0,398700;3,098604
0,498700;3,249203
0,597700;3,398830
0,698000;3,548379
0,797300;3,698025
0,895700;3,847685
0,996700;3,998520
1,096500;4,148372
1,195800;4,298060
1,295700;4,447889
1,394000;4,597764

pomiar;3,700000;Uout->5K
-1,395700;0,411208
-1,294700;0,557583
-1,196400;0,705592
-1,096700;0,853904
-0,996900;1,002512
-0,896000;1,152504
-0,796400;1,301478
-0,696700;1,450522
-0,597300;1,599618
-0,497900;1,748433
-0,397700;1,899099
-0,299400;2,048290
-0,199600;2,197563
-0,100700;2,346884
-0,000200;2,498551
0,100400;2,649884
0,199000;2,799299
0,299100;2,948861
0,398800;3,098477
0,498800;3,249535
0,598300;3,398751
0,698100;3,548350
0,797400;3,698012
0,897000;3,847647
0,996800;3,998528
1,096700;4,148269
1,195600;4,298063
1,295600;4,447799
1,395600;4,597926

pomiar;7,400000;Uout->No load
-1,394500;0,412630
-1,295000;0,558943
-1,194400;0,706740
-1,094800;0,854956
-0,996900;1,003218
-0,895500;1,152566
-0,795900;1,301997
-0,697300;1,450789
-0,597700;1,599928
-0,498600;1,749014
-0,397500;1,898820
-0,298200;2,048148
-0,198800;2,197692
-0,100100;2,346725
-0,000900;2,498733
0,100500;2,650320
0,200000;2,800102
0,298700;2,948871
0,399200;3,098223
0,498400;3,248957
0,598600;3,398129
0,697600;3,547742
0,797100;3,697641
0,895700;3,846815
0,996100;3,997661
1,096000;4,147590
1,194900;4,296416
1,294600;4,446496
1,394100;4,595859

pomiar;7,400000;Uout->5K
-1,392800;0,412278
-1,293800;0,558164
-1,195500;0,706024
-1,096500;0,854594
-0,997000;1,002832
-0,896600;1,152569
-0,796700;1,301606
-0,697600;1,451013
-0,597900;1,600027
-0,498500;1,749095
-0,397700;1,898999
-0,298000;2,048562
-0,199900;2,197191
-0,100300;2,346508
-0,000200;2,498888
0,100400;2,650510
0,198500;2,799759
0,298700;2,949103
0,398500;3,098582
0,498200;3,249048
0,598200;3,398902
0,697500;3,547964
0,797300;3,697229
0,896200;3,847661
0,996200;3,997458
1,096200;4,147472
1,195200;4,296677
1,294700;4,446175
1,393500;4,596152

pomiar;12,000000;Uout->No load
-1,394300;0,411536
-1,295000;0,558482
-1,194400;0,706250
-1,095300;0,853423
-0,996400;1,002905
-0,896600;1,152715
-0,797000;1,301526
-0,697600;1,450488
-0,598300;1,599688
-0,498900;1,748777
-0,398700;1,899080
-0,299100;2,048277
-0,200100;2,197518
-0,099200;2,346791
-0,000100;2,498827
0,099100;2,650759
0,200000;2,799875
0,298600;2,949238
0,399100;3,098574
0,498700;3,249442
0,597400;3,398529
0,697100;3,548354
0,797800;3,697965
0,895600;3,846786
0,996100;3,997372
1,095600;4,146894
1,194800;4,296474
1,295000;4,446076
1,394700;4,595558

pomiar;12,000000;Uout->5K
-1,394100;0,411898
-1,293600;0,558105
-1,193700;0,705975
-1,094900;0,854234
-0,995800;1,002993
-0,895000;1,152930
-0,797400;1,301766
-0,697500;1,450304
-0,598100;1,599069
-0,498600;1,748099
-0,398500;1,899213
-0,298700;2,048423
-0,200100;2,197624
-0,100300;2,346869
-0,000200;2,498962
0,100400;2,650646
0,199400;2,799940
0,298600;2,949319
0,398600;3,099268
0,498800;3,249220
0,598200;3,398632
0,696900;3,548177
0,796500;3,697498
0,896400;3,847092
0,996300;3,998295
1,095700;4,147023
1,195100;4,296586
1,294100;4,446213
1,393700;4,595637

pomiar;18,000000;Uout->No load
-1,394000;0,411723
-1,293600;0,558190
-1,195700;0,705889
-1,094700;0,854131
-0,995700;1,002700
-0,896300;1,151828
-0,796900;1,301044
-0,698100;1,450208
-0,598200;1,599464
-0,498500;1,748633
-0,398400;1,898831
-0,298100;2,047961
-0,200000;2,197317
-0,100600;2,345661
-0,000300;2,498882
0,100500;2,650807
0,200100;2,800972
0,298600;2,949481
0,398800;3,098806
0,497900;3,249505
0,597800;3,399853
0,696800;3,548327
0,796300;3,697611
0,896500;3,847847
0,995400;3,997650
1,096100;4,147113
1,194700;4,296592
1,294000;4,446136
1,394000;4,595566

pomiar;18,000000;Uout->5K
-1,393200;0,411582
-1,294900;0,557861
-1,194700;0,705436
-1,095500;0,853502
-0,995600;1,002456
-0,895800;1,152085
-0,796600;1,301167
-0,696200;1,450175
-0,597300;1,598923
-0,498400;1,748716
-0,398300;1,898954
-0,299600;2,048193
-0,198400;2,197267
-0,099900;2,346672
-0,000400;2,498961
0,100600;2,651652
0,199200;2,800297
0,299000;2,949470
0,398600;3,098861
0,498800;3,250253
0,597700;3,399274
0,697400;3,548562
0,797600;3,698141
0,895900;3,847707
0,995900;3,998556
1,095300;4,147076
1,195700;4,297381
1,294800;4,445889
1,394600;4,595520

