pomiar;3,700000;Uout->No load
-1,393400;0,392890
-1,293200;0,541413
-1,194800;0,691209
-1,094300;0,841353
-0,994400;0,991658
-0,895500;1,143280
-0,795800;1,293785
-0,696200;1,444385
-0,595500;1,595030
-0,497400;1,745682
-0,396100;1,897499
-0,296800;2,048230
-0,198100;2,198891
-0,098700;2,349542
-0,000600;2,500187
0,098900;2,650363
0,198000;2,801035
0,297000;2,951667
0,396900;3,102285
0,496800;3,254141
0,596100;3,404831
0,695600;3,555475
0,795600;3,706167
0,894400;3,856741
0,995800;4,008461
1,094700;4,159024
1,193900;4,309668
1,293100;4,460229
1,392700;4,610746

pomiar;3,700000;Uout->5K
-1,393300;0,397155
-1,293400;0,544467
-1,194300;0,693580
-1,094900;0,843300
-0,994500;0,993429
-0,895400;1,144738
-0,795900;1,295070
-0,695900;1,445542
-0,596900;1,596125
-0,497700;1,746695
-0,395900;1,898433
-0,296300;2,049018
-0,198300;2,199570
-0,097300;2,350185
-0,000200;2,500571
0,099000;2,650598
0,197600;2,801144
0,297000;2,951858
0,396300;3,102522
0,496700;3,254277
0,595500;3,404884
0,695800;3,555551
0,795200;3,706301
0,895200;3,856978
0,995700;4,008687
1,094400;4,159269
1,194000;4,309871
1,293500;4,460428
1,393200;4,610955

pomiar;7,400000;Uout->No load
-1,390700;0,399230
-1,291700;0,546448
-1,193500;0,695503
-1,093000;0,844941
-0,993600;0,994800
-0,893300;1,145977
-0,794900;1,296219
-0,695300;1,446515
-0,595400;1,596839
-0,496200;1,747243
-0,396800;1,898751
-0,296300;2,049207
-0,196700;2,199608
-0,098700;2,350073
-0,000100;2,500597
0,098200;2,650676
0,197500;2,801191
0,297100;2,951642
0,395600;3,102103
0,496300;3,253676
0,595800;3,404170
0,695500;3,554656
0,794400;3,705173
0,894100;3,855648
0,994500;4,007202
1,093300;4,157646
1,193200;4,308125
1,292600;4,458539
1,391400;4,608923

pomiar;7,400000;Uout->5K
-1,390300;0,399218
-1,292200;0,546464
-1,193400;0,695448
-1,092600;0,844941
-0,993300;0,994798
-0,893400;1,145975
-0,794700;1,296184
-0,695500;1,446416
-0,596200;1,596771
-0,496600;1,747180
-0,397000;1,898708
-0,296400;2,049148
-0,198200;2,199610
-0,098300;2,350076
-0,000200;2,500580
0,098400;2,650656
0,197500;2,801067
0,297100;2,951590
0,396900;3,102006
0,496300;3,253611
0,596000;3,404150
0,695600;3,555459
0,794600;3,705653
0,893900;3,855931
0,994200;4,007444
1,093600;4,157832
1,192600;4,308223
1,292300;4,458552
1,391900;4,608933

pomiar;12,000000;Uout->No load
-1,392200;0,399033
-1,292500;0,546198
-1,193700;0,695266
-1,093800;0,844774
-0,993300;0,994610
-0,893100;1,145821
-0,795000;1,295872
-0,694500;1,446124
-0,596300;1,596417
-0,496400;1,746808
-0,395500;1,898398
-0,297200;2,048895
-0,198300;2,199305
-0,097400;2,349720
-0,000100;2,500321
0,098100;2,650414
0,197500;2,800851
0,296700;2,951378
0,396300;3,101860
0,495800;3,253503
0,595800;3,404016
0,695700;3,554484
0,794900;3,705022
0,893800;3,855435
0,994300;4,007027
1,093100;4,157474
1,192900;4,307866
1,292600;4,458306
1,391900;4,608749

pomiar;12,000000;Uout->5K
-1,391000;0,398800
-1,291900;0,546067
-1,192000;0,695041
-1,093600;0,844626
-0,994400;0,994539
-0,892900;1,145727
-0,794600;1,295957
-0,695600;1,446232
-0,594900;1,596628
-0,495500;1,746973
-0,396500;1,898541
-0,296900;2,048942
-0,198300;2,199337
-0,097400;2,349742
-0,000200;2,500314
0,098200;2,650382
0,197600;2,800798
0,296600;2,951315
0,396600;3,101772
0,495500;3,253410
0,595800;3,403931
0,695400;3,554425
0,794900;3,705630
0,893600;3,855857
0,993200;4,007790
1,092900;4,158006
1,192600;4,308234
1,292600;4,458520
1,392300;4,608854

pomiar;18,000000;Uout->No load
-1,392100;0,399026
-1,292200;0,546193
-1,193100;0,695060
-1,093500;0,844536
-0,994600;0,994316
-0,893700;1,145457
-0,793800;1,295557
-0,694800;1,445784
-0,595900;1,596050
-0,495500;1,746474
-0,395000;1,898061
-0,297300;2,048476
-0,197200;2,198995
-0,097400;2,349390
-0,000200;2,500067
0,097900;2,650297
0,197300;2,800752
0,296900;2,951212
0,396000;3,101749
0,496500;3,253402
0,595300;3,403870
0,695100;3,554367
0,794900;3,704923
0,893900;3,855348
0,993500;4,006896
1,093300;4,157308
1,192400;4,307736
1,292000;4,458127
1,391600;4,608551

pomiar;18,000000;Uout->5K
-1,391700;0,398765
-1,292800;0,545969
-1,192600;0,694924
-1,093400;0,844480
-0,994600;0,994343
-0,894100;1,145551
-0,795200;1,295680
-0,695500;1,445937
-0,595700;1,596272
-0,496100;1,746672
-0,395500;1,898193
-0,296200;2,048656
-0,197400;2,199073
-0,097300;2,349529
-0,000300;2,500132
0,098200;2,650190
0,197200;2,800665
0,296300;2,951173
0,396000;3,101658
0,496500;3,253266
0,596100;3,403703
0,694600;3,554155
0,794400;3,704563
0,894200;3,855029
0,993600;4,006626
1,093200;4,157100
1,192800;4,307559
1,291700;4,457908
1,391100;4,608307

