pomiar;3,700000;Uout->No load
-1,395100;0,414220
-1,293900;0,563960
-1,193600;0,712859
-1,094500;0,860972
-0,995800;1,010871
-0,895900;1,160133
-0,795800;1,310026
-0,697000;1,459337
-0,596300;1,607737
-0,497300;1,757576
-0,397200;1,907795
-0,296800;2,056549
-0,197500;2,206017
-0,098700;2,355357
0,000200;2,503766
0,099000;2,652734
0,197900;2,801452
0,296900;2,950112
0,396600;3,100227
0,497000;3,250029
0,596100;3,399579
0,695900;3,547709
0,795200;3,697109
0,894800;3,846167
0,996300;3,997237
1,094500;4,145350
1,194000;4,294682
1,294200;4,443703
1,393300;4,592650

pomiar;3,700000;Uout->5K
-1,393200;0,420295
-1,294300;0,566610
-1,194400;0,714332
-1,095100;0,863236
-0,995200;1,011459
-0,894600;1,161940
-0,794800;1,311179
-0,696200;1,459469
-0,596100;1,608287
-0,495900;1,757911
-0,395700;1,908578
-0,297600;2,056706
-0,197100;2,205884
-0,098400;2,355366
-0,000300;2,504046
0,099000;2,652910
0,197000;2,801293
0,296700;2,950201
0,396600;3,100098
0,495800;3,249490
0,596100;3,398728
0,696000;3,547829
0,795400;3,697903
0,894600;3,846219
0,993700;3,996139
1,094500;4,145458
1,193800;4,295026
1,293300;4,443654
1,392800;4,593462

pomiar;7,400000;Uout->No load
-1,392100;0,422383
-1,292500;0,568565
-1,193700;0,716284
-1,092700;0,864175
-0,993500;1,013472
-0,894300;1,162464
-0,794700;1,311584
-0,695300;1,460479
-0,595900;1,609873
-0,495800;1,757884
-0,396600;1,908489
-0,296600;2,057310
-0,197200;2,206329
-0,098400;2,355359
-0,000800;2,504164
0,098200;2,652987
0,196600;2,801437
0,296800;2,950711
0,397000;3,100091
0,496900;3,249322
0,595800;3,398355
0,694800;3,547369
0,795200;3,696522
0,894100;3,846164
0,994400;3,996191
1,093100;4,144892
1,194000;4,293789
1,292200;4,442310
1,392500;4,592078

pomiar;7,400000;Uout->5K
-1,391000;0,422676
-1,292600;0,568506
-1,192200;0,716168
-1,093300;0,864681
-0,994800;1,013209
-0,893600;1,163043
-0,794800;1,311488
-0,695100;1,460044
-0,594900;1,609331
-0,496900;1,758670
-0,395200;1,908526
-0,297200;2,057819
-0,197800;2,206483
-0,098600;2,354885
-0,000300;2,504021
0,096700;2,652563
0,196400;2,801285
0,297500;2,949811
0,396500;3,099866
0,495400;3,249116
0,595800;3,398859
0,695300;3,547957
0,794600;3,696179
0,893700;3,845816
0,994100;3,995666
1,093900;4,144103
1,192100;4,293662
1,292600;4,442860
1,391800;4,591285

pomiar;12,000000;Uout->No load
-1,391700;0,422357
-1,292900;0,568462
-1,191900;0,716327
-1,093600;0,864952
-0,994700;1,012560
-0,894400;1,162526
-0,794400;1,311232
-0,695900;1,460253
-0,596000;1,609794
-0,496300;1,757741
-0,396600;1,908186
-0,297300;2,057604
-0,197700;2,206476
-0,097500;2,355939
-0,000300;2,504246
0,098300;2,652434
0,197600;2,801145
0,296600;2,950193
0,396400;3,099633
0,495800;3,250076
0,595800;3,398680
0,695800;3,547787
0,794000;3,696564
0,893700;3,845778
0,993000;3,995942
1,092900;4,144536
1,192800;4,294101
1,292400;4,443129
1,392100;4,591590

pomiar;12,000000;Uout->5K
-1,391900;0,422848
-1,292800;0,569123
-1,192900;0,716004
-1,093700;0,865044
-0,994200;1,013082
-0,894000;1,162341
-0,795000;1,311799
-0,695700;1,460253
-0,594800;1,609751
-0,496400;1,757879
-0,396500;1,908126
-0,297200;2,057398
-0,196500;2,206598
-0,097300;2,355534
-0,000200;2,504160
0,097400;2,652684
0,197300;2,801832
0,296600;2,950423
0,396100;3,100070
0,496000;3,250190
0,595800;3,398892
0,695300;3,547717
0,794400;3,696683
0,893700;3,846115
0,993800;3,995902
1,093600;4,145125
1,192800;4,294096
1,292000;4,442250
1,391800;4,591299

pomiar;18,000000;Uout->No load
-1,391800;0,422597
-1,292600;0,568437
-1,192100;0,715997
-1,092500;0,864544
-0,994500;1,013222
-0,894300;1,162309
-0,794400;1,311123
-0,694600;1,460091
-0,596300;1,608711
-0,496600;1,757714
-0,396000;1,907943
-0,296100;2,057356
-0,197800;2,205756
-0,098200;2,355039
-0,000200;2,504165
0,098200;2,653206
0,197500;2,801798
0,297000;2,951043
0,396000;3,099854
0,496400;3,250265
0,595900;3,399099
0,695100;3,548169
0,794800;3,696556
0,893400;3,846151
0,994500;3,996250
1,093700;4,145128
1,193000;4,293154
1,292700;4,442694
1,391800;4,591344

pomiar;18,000000;Uout->5K
-1,391300;0,423211
-1,292700;0,568559
-1,191900;0,716042
-1,094100;0,864210
-0,993600;1,012404
-0,894100;1,161871
-0,794000;1,310493
-0,696100;1,459221
-0,596600;1,608055
-0,496500;1,756987
-0,397000;1,907571
-0,297500;2,055877
-0,198400;2,204907
-0,099100;2,353623
-0,000300;2,504065
0,098100;2,653671
0,198700;2,802933
0,297300;2,952385
0,397600;3,101250
0,497600;3,251630
0,596700;3,400127
0,696500;3,549744
0,795400;3,698673
0,894800;3,847839
0,994700;3,997063
1,095200;4,146562
1,194000;4,295951
1,293400;4,444941
1,393500;4,593940

