pomiar;3,700000;Uout->No load
-1,395100;0,396037
-1,296000;0,544319
-1,195900;0,692904
-1,097000;0,842148
-0,997400;0,991458
-0,896600;1,142116
-0,797100;1,291520
-0,697200;1,440210
-0,598700;1,590580
-0,497800;1,740358
-0,398800;1,891122
-0,299100;2,040769
-0,200100;2,189687
-0,100600;2,339342
-0,000500;2,491971
0,100600;2,643314
0,199700;2,793465
0,299000;2,942786
0,399200;3,092497
0,499000;3,243472
0,598100;3,394049
0,698200;3,543452
0,797400;3,692825
0,896700;3,843402
0,997800;3,994648
1,096300;4,143307
1,196300;4,293057
1,296400;4,443063
1,394700;4,592987

pomiar;3,700000;Uout->5K
-1,395600;0,398612
-1,295600;0,545985
-1,195100;0,694715
-1,095600;0,843401
-0,997200;0,991088
-0,896400;1,142521
-0,797900;1,290734
-0,697700;1,441250
-0,598100;1,590714
-0,499800;1,740132
-0,399200;1,891056
-0,299000;2,040781
-0,200000;2,190445
-0,100200;2,340098
-0,000700;2,491990
0,101100;2,644625
0,198600;2,793230
0,298700;2,943003
0,399200;3,092836
0,497800;3,243675
0,598600;3,393507
0,698100;3,543246
0,797500;3,692882
0,897700;3,842651
0,997600;3,993708
1,097000;4,144528
1,197400;4,294291
1,295700;4,443175
1,395200;4,593373

pomiar;7,400000;Uout->No load
-1,394400;0,400255
-1,294700;0,546226
-1,194600;0,695423
-1,095800;0,843989
-0,997200;0,991755
-0,895800;1,143097
-0,797100;1,291404
-0,696700;1,441498
-0,597200;1,590794
-0,498100;1,740396
-0,398500;1,889764
-0,298300;2,040289
-0,199600;2,189749
-0,100500;2,338603
-0,000400;2,491532
0,100000;2,644321
0,198400;2,793690
0,299700;2,942408
0,398600;3,091989
0,498400;3,242784
0,598700;3,392740
0,697900;3,542620
0,796200;3,692765
0,896400;3,842402
0,996400;3,992156
1,095700;4,141782
1,195400;4,291993
1,294900;4,441399
1,394100;4,590141

pomiar;7,400000;Uout->5K
-1,393300;0,400634
-1,295100;0,546103
-1,194600;0,695284
-1,096500;0,842874
-0,996900;0,992811
-0,896600;1,141959
-0,797700;1,291976
-0,697800;1,441565
-0,597400;1,589939
-0,497800;1,740304
-0,399000;1,890902
-0,299800;2,039633
-0,198900;2,188976
-0,100700;2,338830
-0,000300;2,491564
0,099900;2,643972
0,200300;2,792976
0,299000;2,942623
0,399100;3,092281
0,498500;3,243058
0,598400;3,392603
0,698000;3,542285
0,796800;3,691880
0,897400;3,841776
0,996900;3,992793
1,095700;4,143099
1,195300;4,292262
1,294300;4,441412
1,394300;4,591180

pomiar;12,000000;Uout->No load
-1,394600;0,399121
-1,295800;0,546453
-1,195500;0,694434
-1,095400;0,842340
-0,996500;0,991920
-0,897000;1,141468
-0,796100;1,290759
-0,698300;1,440300
-0,597100;1,590210
-0,498900;1,738601
-0,398300;1,890200
-0,299400;2,038803
-0,199900;2,189153
-0,100400;2,337576
0,000100;2,491227
0,101000;2,644239
0,200000;2,793294
0,299800;2,942464
0,398000;3,092012
0,499300;3,242702
0,598300;3,393391
0,698100;3,542162
0,798200;3,691974
0,896500;3,841856
0,997500;3,992196
1,096600;4,141835
1,195000;4,292165
1,294900;4,442066
1,394100;4,590711

pomiar;12,000000;Uout->5K
-1,394300;0,398779
-1,294300;0,546112
-1,194600;0,694247
-1,096700;0,841990
-0,997100;0,991931
-0,896700;1,141057
-0,797400;1,290556
-0,696600;1,440361
-0,598200;1,589957
-0,498300;1,738738
-0,398900;1,889871
-0,299900;2,039354
-0,200300;2,188739
-0,101000;2,337746
-0,000400;2,491135
0,100000;2,643389
0,199900;2,793414
0,299700;2,942500
0,399100;3,093128
0,498700;3,242917
0,598500;3,392399
0,697500;3,542126
0,796900;3,692209
0,897000;3,842000
0,996200;3,992175
1,095800;4,141817
1,195600;4,291901
1,295300;4,442102
1,394600;4,591362

pomiar;18,000000;Uout->No load
-1,394500;0,398516
-1,295700;0,545430
-1,194800;0,693928
-1,095300;0,841555
-0,997300;0,991346
-0,895800;1,141544
-0,796500;1,289665
-0,698000;1,439838
-0,598200;1,588472
-0,498900;1,738616
-0,399400;1,888046
-0,299800;2,038563
-0,200400;2,187099
-0,100400;2,337430
-0,000200;2,490208
0,100300;2,643446
0,199700;2,792598
0,299000;2,942114
0,398300;3,092364
0,498500;3,242213
0,598800;3,392836
0,697400;3,541499
0,797000;3,691826
0,897300;3,840725
0,997200;3,992543
1,095600;4,141192
1,195800;4,291889
1,295600;4,440480
1,394200;4,591166

pomiar;18,000000;Uout->5K
-1,393500;0,398695
-1,295500;0,544968
-1,195300;0,693472
-1,095100;0,842187
-0,996000;0,990300
-0,896600;1,140724
-0,797500;1,290353
-0,696800;1,439078
-0,598900;1,588019
-0,498200;1,737467
-0,398500;1,888211
-0,299900;2,038246
-0,199900;2,187929
-0,100500;2,336373
0,000400;2,490182
0,100000;2,642502
0,200100;2,793025
0,299300;2,942777
0,399000;3,091802
0,498200;3,242238
0,599100;3,392039
0,697700;3,541608
0,797600;3,691325
0,896800;3,840894
0,997200;3,992423
1,095800;4,141318
1,196500;4,290753
1,294900;4,440279
1,394100;4,589859

