pomiar;3,700000;Uout->No load
-1,396200;0,394505
-1,295400;0,543361
-1,197000;0,692502
-1,097800;0,842163
-0,998200;0,992049
-0,897500;1,143166
-0,797100;1,293262
-0,697700;1,443295
-0,599000;1,593422
-0,498600;1,743643
-0,399300;1,895167
-0,299200;2,045087
-0,200600;2,195247
-0,100800;2,345347
-0,000200;2,498652
0,100600;2,651437
0,199900;2,801626
0,299300;2,951908
0,398700;3,102126
0,499700;3,253487
0,599000;3,403807
0,698400;3,554069
0,797700;3,704327
0,897100;3,854590
0,997300;4,006033
1,097100;4,156246
1,196200;4,306495
1,296300;4,456708
1,395900;4,607103

pomiar;3,700000;Uout->5K
-1,395600;0,398400
-1,295300;0,545652
-1,196500;0,694447
-1,097500;0,843704
-0,997700;0,993290
-0,896600;1,144192
-0,797800;1,294055
-0,697600;1,443994
-0,597600;1,593968
-0,498300;1,743988
-0,398800;1,895245
-0,298700;2,045355
-0,199100;2,195491
-0,100600;2,345649
-0,000700;2,498779
0,100800;2,651397
0,200100;2,801571
0,299500;2,951813
0,398400;3,102068
0,499200;3,253506
0,598800;3,403752
0,698100;3,553982
0,797500;3,703617
0,897000;3,854482
0,997500;4,005895
1,097300;4,156177
1,196100;4,306404
1,295800;4,456736
1,395700;4,606966

pomiar;7,400000;Uout->No load
-1,393400;0,399883
-1,294200;0,547072
-1,196000;0,695629
-1,095100;0,844755
-0,997000;0,994181
-0,896400;1,144858
-0,797500;1,294510
-0,696700;1,444304
-0,598200;1,594145
-0,499100;1,744049
-0,399100;1,895147
-0,299800;2,045090
-0,200500;2,195096
-0,099600;2,345088
0,000600;2,498400
0,100100;2,651232
0,199700;2,801189
0,299500;2,951272
0,398800;3,101339
0,499400;3,252576
0,598300;3,402680
0,698000;3,552761
0,797000;3,702939
0,896400;3,853034
0,996600;4,004291
1,096200;4,154417
1,195600;4,304582
1,294700;4,454735
1,394400;4,604920

pomiar;7,400000;Uout->5K
-1,394800;0,399758
-1,295100;0,546798
-1,196000;0,695474
-1,095200;0,844573
-0,995800;0,994026
-0,896700;1,144803
-0,797000;1,294554
-0,698000;1,444289
-0,598600;1,594117
-0,498100;1,744081
-0,397900;1,895169
-0,299600;2,045108
-0,199600;2,195124
-0,100700;2,345055
0,000500;2,498374
0,100400;2,651261
0,199600;2,801186
0,299100;2,951250
0,398400;3,101290
0,499100;3,252578
0,598900;3,402644
0,698000;3,552724
0,796600;3,702924
0,896300;3,853012
0,996400;4,004298
1,096200;4,154355
1,195400;4,304477
1,294800;4,454715
1,394800;4,604822

pomiar;12,000000;Uout->No load
-1,394700;0,398955
-1,293900;0,546341
-1,194400;0,694929
-1,096800;0,844065
-0,995900;0,993500
-0,896200;1,144161
-0,796900;1,293864
-0,696800;1,443622
-0,597500;1,593438
-0,499300;1,743333
-0,398000;1,894440
-0,298600;2,044353
-0,200300;2,194213
-0,099500;2,344272
-0,000200;2,497821
0,100200;2,650788
0,199900;2,800833
0,299000;2,950957
0,398800;3,101049
0,499000;3,252276
0,598200;3,402352
0,697600;3,552486
0,796300;3,702611
0,896300;3,852663
0,996800;4,003918
1,095800;4,153929
1,195600;4,304219
1,294600;4,454339
1,394200;4,604495

pomiar;12,000000;Uout->5K
-1,394500;0,399253
-1,294700;0,546341
-1,195800;0,694950
-1,095800;0,844116
-0,997100;0,993484
-0,897100;1,144210
-0,796300;1,293866
-0,696500;1,443684
-0,598000;1,593564
-0,498900;1,743407
-0,397800;1,894510
-0,299500;2,044453
-0,199600;2,194458
-0,100700;2,344455
-0,000300;2,497820
0,100200;2,650658
0,199300;2,800677
0,299100;2,950751
0,398500;3,100883
0,498500;3,252095
0,598400;3,402240
0,697400;3,552398
0,797200;3,702485
0,896200;3,852680
0,996700;4,003889
1,096100;4,153916
1,195100;4,304111
1,295100;4,454250
1,394000;4,604391

pomiar;18,000000;Uout->No load
-1,394500;0,398710
-1,294800;0,545865
-1,194500;0,694439
-1,095000;0,843581
-0,995500;0,993006
-0,897000;1,143670
-0,797300;1,293392
-0,697500;1,443194
-0,597900;1,593065
-0,498900;1,742883
-0,397800;1,893955
-0,299200;2,043909
-0,199700;2,193911
-0,101200;2,343853
-0,000200;2,497539
0,099600;2,650641
0,199300;2,800702
0,298900;2,950760
0,398700;3,100839
0,499000;3,252090
0,598400;3,402164
0,697500;3,552305
0,797200;3,702399
0,896600;3,852524
0,996400;4,003798
1,096100;4,153994
1,195000;4,304123
1,294700;4,454260
1,394000;4,604399

pomiar;18,000000;Uout->5K
-1,394400;0,398834
-1,294900;0,545844
-1,195400;0,694461
-1,096200;0,843565
-0,995700;0,992982
-0,895700;1,143677
-0,797000;1,293362
-0,697500;1,443178
-0,599000;1,592971
-0,498800;1,742873
-0,399100;1,893914
-0,299700;2,043880
-0,199800;2,193891
-0,099800;2,343920
-0,000200;2,497544
0,100500;2,650740
0,200100;2,800739
0,299300;2,950857
0,399400;3,100946
0,498300;3,252164
0,598100;3,402253
0,697900;3,552382
0,796800;3,702548
0,895700;3,852611
0,996900;4,003948
1,096300;4,154064
1,195300;4,304175
1,294400;4,454241
1,394300;4,604330

