pomiar;3,700000;Uout->No load
-1,393800;0,399902
-1,294900;0,548358
-1,195100;0,697692
-1,095600;0,847402
-0,994900;0,997308
-0,896200;1,148323
-0,796000;1,298297
-0,697000;1,448426
-0,597100;1,598615
-0,498000;1,748796
-0,397800;1,900197
-0,297100;2,050386
-0,198700;2,200532
-0,098800;2,350761
-0,000100;2,501342
0,099300;2,651447
0,198800;2,801537
0,297400;2,951766
0,397300;3,102010
0,497200;3,253319
0,596900;3,403501
0,696600;3,553693
0,796000;3,703900
0,895600;3,854004
0,995400;4,005355
1,095000;4,155436
1,193700;4,305555
1,294100;4,455667
1,393200;4,605817

pomiar;3,700000;Uout->5K
-1,393600;0,403948
-1,293400;0,551217
-1,194600;0,699987
-1,094300;0,849295
-0,996000;0,998791
-0,895000;1,149672
-0,796500;1,299575
-0,696500;1,449568
-0,596700;1,599649
-0,497800;1,749748
-0,397000;1,900968
-0,297200;2,051138
-0,198700;2,201375
-0,097600;2,351479
-0,000200;2,501529
0,097500;2,651300
0,197700;2,801397
0,297200;2,951586
0,396600;3,101784
0,497600;3,253133
0,596300;3,403291
0,696000;3,553455
0,795300;3,703649
0,894500;3,853758
0,995300;4,004998
1,095700;4,155163
1,194800;4,305258
1,293500;4,455429
1,392600;4,605444

pomiar;7,400000;Uout->No load
-1,391100;0,406059
-1,291800;0,553012
-1,194000;0,701594
-1,093000;0,850713
-0,993300;1,000149
-0,894300;1,150868
-0,794100;1,300659
-0,695500;1,450462
-0,596300;1,600358
-0,496600;1,750311
-0,396600;1,901430
-0,297100;2,051403
-0,198100;2,201440
-0,097600;2,351382
-0,000400;2,501488
0,098300;2,651223
0,197900;2,801220
0,297200;2,951239
0,396300;3,101279
0,496700;3,252474
0,596300;3,402482
0,695300;3,552459
0,795000;3,702513
0,894500;3,852439
0,994100;4,003544
1,094400;4,153530
1,193500;4,303545
1,292200;4,453512
1,391600;4,603456

pomiar;7,400000;Uout->5K
-1,390700;0,406236
-1,293300;0,553103
-1,191900;0,701781
-1,094100;0,850820
-0,994500;1,000212
-0,894800;1,150987
-0,794700;1,300701
-0,695000;1,450417
-0,596300;1,600400
-0,496700;1,750323
-0,395700;1,901444
-0,297500;2,051437
-0,198000;2,201467
-0,098700;2,351431
-0,000100;2,501453
0,098100;2,651079
0,197700;2,801030
0,296600;2,951008
0,396800;3,101046
0,495700;3,252239
0,595900;3,402261
0,695800;3,552222
0,795400;3,702287
0,894100;3,852293
0,993500;4,003400
1,093500;4,153411
1,192800;4,303396
1,292700;4,453263
1,391500;4,603194

pomiar;12,000000;Uout->No load
-1,392000;0,406078
-1,291800;0,552992
-1,193000;0,701530
-1,093100;0,850650
-0,993400;1,000097
-0,894000;1,150857
-0,795200;1,300646
-0,694300;1,450475
-0,596000;1,600386
-0,496900;1,750299
-0,396300;1,901381
-0,297400;2,051356
-0,196800;2,201340
-0,098000;2,351304
-0,000300;2,501570
0,098300;2,651388
0,197300;2,801317
0,297000;2,950855
0,396100;3,101014
0,496700;3,252120
0,596300;3,402159
0,695000;3,552124
0,794600;3,702191
0,894000;3,852126
0,994500;4,003259
1,093300;4,153254
1,192600;4,303251
1,292200;4,453180
1,391900;4,603085

pomiar;12,000000;Uout->5K
-1,392100;0,405743
-1,292400;0,552749
-1,192000;0,701346
-1,092800;0,850440
-0,993200;0,999809
-0,893800;1,150568
-0,793800;1,300269
-0,694000;1,450133
-0,595600;1,600053
-0,496900;1,750312
-0,396600;1,901050
-0,296100;2,050991
-0,197000;2,201008
-0,098200;2,350898
-0,000200;2,501029
0,097900;2,650698
0,197600;2,800680
0,296500;2,950716
0,395900;3,100721
0,496700;3,251877
0,595600;3,401849
0,695200;3,551924
0,794300;3,701934
0,894100;3,851835
0,994200;4,002981
1,093300;4,152861
1,193200;4,302758
1,292600;4,452715
1,391600;4,602647

pomiar;18,000000;Uout->No load
-1,392100;0,404886
-1,292500;0,551868
-1,192100;0,700439
-1,093900;0,849557
-0,994000;0,998967
-0,893200;1,150196
-0,794700;1,299389
-0,694200;1,449164
-0,595000;1,599006
-0,496200;1,748984
-0,397000;1,899998
-0,296300;2,049980
-0,197500;2,199976
-0,097500;2,350006
-0,000200;2,500344
0,098500;2,650260
0,197500;2,800123
0,296400;2,950135
0,396300;3,100167
0,496100;3,251250
0,595700;3,401236
0,695400;3,551226
0,794800;3,701299
0,894100;3,851293
0,994500;4,002378
1,093300;4,152366
1,193200;4,302199
1,291900;4,452254
1,391500;4,602231

pomiar;18,000000;Uout->5K
-1,392000;0,404808
-1,292700;0,551890
-1,192700;0,700417
-1,093200;0,849508
-0,994600;0,998985
-0,893500;1,149695
-0,793800;1,299484
-0,695600;1,449292
-0,596300;1,599194
-0,497100;1,749021
-0,396800;1,900154
-0,296200;2,050022
-0,198400;2,199997
-0,098400;2,349965
-0,000400;2,500266
0,098100;2,649966
0,197100;2,800132
0,296300;2,950132
0,396300;3,099974
0,496300;3,251092
0,596100;3,401115
0,694900;3,551124
0,794700;3,701154
0,893500;3,851032
0,993800;4,002080
1,093700;4,152060
1,192600;4,302026
1,292100;4,452029
1,391200;4,601868

