pomiar;3,700000;Uout->No load
-1,392800;0,397241
-1,293300;0,545613
-1,193200;0,695358
-1,094700;0,845218
-0,994500;0,995131
-0,893600;1,146470
-0,795000;1,296756
-0,695900;1,446175
-0,596300;1,597479
-0,497300;1,747957
-0,396300;1,899425
-0,297300;2,049751
-0,197200;2,200149
-0,096500;2,350514
0,000200;2,499551
0,097600;2,647999
0,196800;2,798374
0,296800;2,949124
0,396300;3,099183
0,496200;3,250660
0,595900;3,401103
0,695400;3,551482
0,794400;3,701711
0,894000;3,851969
0,994500;4,003420
1,094200;4,153731
1,193600;4,304092
1,293000;4,454563
1,391900;4,604377

pomiar;3,700000;Uout->5K
-1,392600;0,400344
-1,292200;0,547829
-1,192800;0,696607
-1,094200;0,846373
-0,995000;0,995235
-0,894300;1,147243
-0,795100;1,297090
-0,694500;1,447735
-0,595000;1,598052
-0,495200;1,748411
-0,396700;1,898847
-0,297000;2,049635
-0,196800;2,200006
-0,098300;2,350124
-0,000100;2,499837
0,096600;2,648132
0,197300;2,798524
0,296400;2,948935
0,396400;3,099221
0,496400;3,251074
0,594900;3,401028
0,694800;3,551332
0,794800;3,701669
0,894500;3,851911
0,994100;4,003466
1,093800;4,153727
1,193700;4,304042
1,293200;4,454327
1,392600;4,604419

pomiar;7,400000;Uout->No load
-1,392400;0,401856
-1,292700;0,549053
-1,193300;0,697829
-1,093800;0,847201
-0,993000;0,997631
-0,894300;1,148153
-0,795100;1,298450
-0,695200;1,448021
-0,595900;1,599182
-0,496200;1,748313
-0,395300;1,900641
-0,297100;2,049960
-0,196600;2,200270
-0,098400;2,350369
-0,000400;2,500304
0,097700;2,649719
0,197700;2,799209
0,296200;2,949850
0,396200;3,099505
0,496100;3,250612
0,595500;3,401449
0,694700;3,551388
0,794200;3,701233
0,894000;3,851153
0,994300;4,003014
1,093200;4,153411
1,192800;4,303349
1,292200;4,453795
1,391300;4,603108

pomiar;7,400000;Uout->5K
-1,391900;0,401621
-1,291400;0,549596
-1,192600;0,698159
-1,092500;0,848054
-0,994600;0,997271
-0,893800;1,148314
-0,793400;1,299005
-0,695200;1,448681
-0,594900;1,598655
-0,496900;1,748313
-0,396700;1,899907
-0,297000;2,049858
-0,196000;2,201018
-0,098100;2,350232
-0,000300;2,500105
0,098100;2,648639
0,196700;2,798861
0,296500;2,949642
0,395700;3,100180
0,495700;3,251444
0,595400;3,400970
0,695300;3,551455
0,794300;3,701508
0,893200;3,852055
0,993500;4,003213
1,093300;4,153017
1,192800;4,303064
1,292600;4,452553
1,391700;4,603738

pomiar;12,000000;Uout->No load
-1,391300;0,402354
-1,290900;0,550111
-1,192800;0,698547
-1,093400;0,847421
-0,993100;0,997362
-0,893900;1,148491
-0,793800;1,298924
-0,695000;1,449148
-0,594700;1,599055
-0,496000;1,748694
-0,395600;1,900724
-0,296600;2,050514
-0,196500;2,200975
-0,096800;2,351097
-0,000300;2,500448
0,098100;2,649023
0,196600;2,799482
0,296500;2,950183
0,396300;3,099622
0,495800;3,251840
0,595300;3,401173
0,695200;3,552309
0,793800;3,702068
0,893900;3,851590
0,994600;4,003288
1,092800;4,153474
1,192500;4,303056
1,291400;4,453571
1,390000;4,603096

pomiar;12,000000;Uout->5K
-1,391500;0,402797
-1,292800;0,550210
-1,193100;0,698091
-1,092700;0,848263
-0,994300;0,998036
-0,892400;1,149267
-0,793000;1,299184
-0,695000;1,448879
-0,595200;1,598506
-0,496100;1,748482
-0,396600;1,900639
-0,296600;2,051079
-0,195800;2,201123
-0,098000;2,351276
-0,000300;2,500360
0,097500;2,649086
0,196500;2,799048
0,296500;2,949701
0,396400;3,099568
0,495800;3,251677
0,595300;3,401516
0,694000;3,551226
0,794000;3,701157
0,893400;3,851285
0,992700;4,002557
1,093200;4,153048
1,192700;4,302632
1,292200;4,453697
1,391200;4,603152

pomiar;18,000000;Uout->No load
-1,391000;0,402891
-1,292100;0,549865
-1,192800;0,699053
-1,091900;0,848572
-0,992800;0,997281
-0,893500;1,148460
-0,794500;1,298382
-0,695000;1,448187
-0,594300;1,599208
-0,496000;1,749452
-0,396000;1,900807
-0,296100;2,051308
-0,196800;2,201457
-0,098000;2,351649
-0,000400;2,500774
0,098100;2,650402
0,196700;2,799803
0,296100;2,949750
0,395600;3,099998
0,496000;3,251380
0,595600;3,402191
0,695000;3,552691
0,793900;3,702176
0,893800;3,852019
0,993900;4,004258
1,093200;4,154355
1,191800;4,303573
1,291600;4,454275
1,391100;4,604013

pomiar;18,000000;Uout->5K
-1,391100;0,402965
-1,290800;0,549395
-1,191300;0,699311
-1,092400;0,848437
-0,993900;0,997781
-0,893900;1,148920
-0,793100;1,299481
-0,694400;1,449649
-0,595500;1,599399
-0,495400;1,748978
-0,395600;1,901068
-0,297000;2,050354
-0,195900;2,201468
-0,097300;2,351622
-0,000500;2,500853
0,097400;2,649864
0,196700;2,799849
0,296200;2,950491
0,395300;3,100343
0,495800;3,251709
0,594600;3,401441
0,694200;3,552064
0,794300;3,702104
0,893000;3,852002
0,993400;4,002997
1,092600;4,153233
1,192500;4,303306
1,291500;4,453870
1,391500;4,604407

