pomiar;3,700000;Uout->No load
-1,394500;0,405751
-1,296300;0,553349
-1,196100;0,702300
-1,097000;0,851156
-0,996600;1,000364
-0,897000;1,151008
-0,798000;1,300275
-0,697900;1,449770
-0,598300;1,599315
-0,498200;1,748678
-0,399200;1,899525
-0,299100;2,048338
-0,198800;2,198510
-0,100500;2,348083
0,000600;2,499825
0,100200;2,651229
0,199200;2,800729
0,298800;2,950194
0,398200;3,099783
0,498500;3,250398
0,599100;3,400012
0,697500;3,549720
0,797300;3,699624
0,896800;3,849123
0,996800;3,999945
1,096400;4,149656
1,196000;4,299382
1,295200;4,449031
1,395100;4,598739

pomiar;3,700000;Uout->5K
-1,395100;0,410722
-1,295000;0,556488
-1,196100;0,704406
-1,097000;0,853168
-0,997100;1,001955
-0,895600;1,152052
-0,797900;1,300838
-0,698100;1,450484
-0,597200;1,599824
-0,499400;1,749188
-0,398600;1,899838
-0,299000;2,049275
-0,199500;2,198834
-0,100800;2,348248
-0,000300;2,499930
0,100200;2,651181
0,199100;2,800761
0,298700;2,950341
0,398500;3,100003
0,498700;3,250816
0,597900;3,400511
0,697000;3,550153
0,796900;3,699810
0,896700;3,849446
0,997100;4,000231
1,096200;4,150123
1,196300;4,299638
1,295900;4,449278
1,395000;4,598893

pomiar;7,400000;Uout->No load
-1,394300;0,410985
-1,295300;0,557517
-1,195600;0,706324
-1,097000;0,854065
-0,996000;1,003378
-0,896000;1,153458
-0,796800;1,302448
-0,697400;1,450484
-0,598100;1,600057
-0,498800;1,749496
-0,397300;1,900179
-0,299700;2,049578
-0,199600;2,199059
-0,099400;2,347868
-0,000300;2,500259
0,099000;2,651522
0,199500;2,802025
0,298600;2,950475
0,398300;3,100921
0,498100;3,250732
0,597700;3,401028
0,697500;3,550411
0,796200;3,698902
0,896200;3,848614
0,996300;3,999045
1,095300;4,149609
1,194700;4,298157
1,294500;4,448610
1,394200;4,598285

pomiar;7,400000;Uout->5K
-1,394600;0,411505
-1,294300;0,558175
-1,194200;0,706190
-1,095000;0,854273
-0,996700;1,003366
-0,896500;1,152195
-0,796100;1,302175
-0,697200;1,451486
-0,598200;1,600250
-0,497400;1,749891
-0,398800;1,899845
-0,299000;2,048721
-0,200100;2,198292
-0,100600;2,348004
-0,000300;2,500204
0,100000;2,652648
0,199300;2,801374
0,299200;2,950956
0,398100;3,100969
0,498400;3,251034
0,598100;3,400363
0,697100;3,550270
0,797000;3,700093
0,896000;3,849714
0,995900;3,999620
1,095600;4,149302
1,195400;4,298766
1,294300;4,448400
1,394100;4,597497

pomiar;12,000000;Uout->No load
-1,394200;0,412215
-1,294200;0,558475
-1,195600;0,705384
-1,095100;0,854058
-0,996800;1,002903
-0,896400;1,153439
-0,796900;1,302585
-0,697600;1,450809
-0,597400;1,600856
-0,498400;1,750123
-0,398100;1,900036
-0,299600;2,049510
-0,198800;2,199167
-0,100400;2,348286
-0,000200;2,500491
0,100200;2,652393
0,198900;2,801603
0,298800;2,951085
0,398700;3,100294
0,498300;3,251386
0,598100;3,401421
0,696500;3,550476
0,797000;3,700421
0,896400;3,849865
0,996300;3,999711
1,095700;4,149548
1,195300;4,299753
1,294200;4,448395
1,393800;4,598453

pomiar;12,000000;Uout->5K
-1,394500;0,411347
-1,295300;0,558284
-1,195300;0,705878
-1,094900;0,854093
-0,996200;1,003374
-0,895600;1,153444
-0,796700;1,302668
-0,697200;1,451687
-0,598600;1,600494
-0,498900;1,749894
-0,399200;1,899706
-0,299500;2,049304
-0,199500;2,199033
-0,100100;2,347873
-0,000200;2,500415
0,099900;2,652676
0,199300;2,801964
0,299400;2,951503
0,397700;3,100950
0,498400;3,251651
0,598100;3,401009
0,697100;3,551003
0,796500;3,700200
0,896100;3,849081
0,996300;4,000021
1,095800;4,149900
1,195400;4,299208
1,295400;4,449010
1,393700;4,598369

pomiar;18,000000;Uout->No load
-1,394000;0,411414
-1,294600;0,558356
-1,194200;0,705939
-1,096100;0,854412
-0,995900;1,003293
-0,896700;1,152511
-0,796700;1,301727
-0,697300;1,450857
-0,597400;1,600734
-0,498400;1,750175
-0,398400;1,900255
-0,298200;2,049813
-0,199300;2,199268
-0,099300;2,348220
-0,000100;2,500729
0,100000;2,653121
0,199200;2,802896
0,299400;2,951987
0,398600;3,100971
0,498800;3,251523
0,598200;3,401741
0,696800;3,551541
0,797200;3,700468
0,896700;3,849894
0,996300;4,000612
1,095500;4,149641
1,194100;4,299181
1,294300;4,449436
1,393600;4,598252

pomiar;18,000000;Uout->5K
-1,394100;0,412315
-1,293700;0,558621
-1,195200;0,706381
-1,096000;0,854985
-0,995500;1,003431
-0,896300;1,153361
-0,796800;1,302639
-0,697500;1,451473
-0,596900;1,600795
-0,499000;1,750099
-0,398800;1,900348
-0,298800;2,049377
-0,200300;2,198361
-0,100500;2,347968
-0,000200;2,500783
0,100600;2,653416
0,200000;2,802902
0,298900;2,952328
0,398500;3,101756
0,497400;3,251777
0,598100;3,401891
0,697200;3,551479
0,796700;3,700928
0,896200;3,850037
0,996100;4,000400
1,096000;4,149928
1,195000;4,299233
1,295000;4,449204
1,393900;4,598231

