pomiar;3,700000;Uout->No load
-1,392900;0,398132
-1,293500;0,546758
-1,193400;0,696230
-1,093800;0,845990
-0,994000;0,995852
-0,895300;1,146942
-0,795700;1,296988
-0,696100;1,447116
-0,596800;1,597314
-0,496000;1,747457
-0,396300;1,898770
-0,296500;2,048932
-0,197700;2,199159
-0,097300;2,349383
-0,000100;2,499083
0,098400;2,648481
0,197000;2,798681
0,296700;2,948915
0,396700;3,099257
0,496600;3,250701
0,596100;3,401014
0,696400;3,551369
0,794800;3,701767
0,894900;3,852140
0,995200;4,003540
1,094300;4,153819
1,193900;4,304105
1,293700;4,454415
1,392600;4,604722

pomiar;3,700000;Uout->5K
-1,393100;0,401261
-1,293900;0,548829
-1,194000;0,697697
-1,093600;0,847064
-0,995500;0,996824
-0,893600;1,147741
-0,794600;1,297643
-0,695600;1,447642
-0,596700;1,597763
-0,496800;1,747844
-0,396900;1,899159
-0,297900;2,049314
-0,196600;2,199463
-0,098300;2,349641
-0,000600;2,499251
0,098200;2,648504
0,197100;2,798683
0,297300;2,948991
0,396000;3,099310
0,496600;3,250805
0,596500;3,401184
0,695500;3,551412
0,794700;3,701712
0,894700;3,852058
0,995400;4,003449
1,094200;4,153741
1,193600;4,303981
1,293600;4,454372
1,392600;4,604548

pomiar;7,400000;Uout->No load
-1,390600;0,402698
-1,292400;0,550040
-1,191900;0,698807
-1,093500;0,848038
-0,994100;0,997536
-0,894400;1,148409
-0,794800;1,298279
-0,695600;1,448155
-0,594700;1,598094
-0,495600;1,748060
-0,396700;1,899193
-0,296200;2,049231
-0,197700;2,199332
-0,098300;2,349375
-0,000100;2,499104
0,098000;2,648545
0,196900;2,798499
0,296700;2,948628
0,396600;3,098763
0,496400;3,249987
0,596400;3,400104
0,695300;3,550278
0,794400;3,700428
0,894200;3,850551
0,994300;4,001874
1,093700;4,152057
1,192900;4,302116
1,292100;4,452257
1,391600;4,602405

pomiar;7,400000;Uout->5K
-1,392200;0,402520
-1,292900;0,549946
-1,193300;0,698601
-1,092600;0,847847
-0,994400;0,997324
-0,893000;1,148163
-0,795000;1,297991
-0,695700;1,447904
-0,596100;1,597827
-0,496900;1,747835
-0,396300;1,898959
-0,297000;2,048967
-0,198200;2,199059
-0,098400;2,349069
-0,000500;2,498847
0,098100;2,648305
0,197400;2,798344
0,296000;2,948519
0,395900;3,098663
0,496200;3,249917
0,596000;3,400112
0,695000;3,550272
0,794100;3,700391
0,893700;3,850569
0,993700;4,001842
1,093900;4,151992
1,192800;4,302119
1,292300;4,452297
1,391300;4,602412

pomiar;12,000000;Uout->No load
-1,391900;0,402190
-1,291100;0,549484
-1,193200;0,698281
-1,093900;0,847469
-0,994200;0,996999
-0,894200;1,147815
-0,794200;1,297627
-0,694300;1,447557
-0,596400;1,597468
-0,495600;1,747515
-0,395300;1,898703
-0,296700;2,048711
-0,198200;2,198763
-0,098200;2,348783
-0,000300;2,498730
0,097800;2,648267
0,197400;2,798323
0,297100;2,948426
0,395900;3,098512
0,496000;3,249820
0,596100;3,399943
0,695300;3,550191
0,794200;3,700385
0,894200;3,850573
0,994400;4,001861
1,093400;4,151931
1,192600;4,302086
1,292300;4,452235
1,391700;4,602348

pomiar;12,000000;Uout->5K
-1,391600;0,402285
-1,291500;0,549707
-1,193100;0,698406
-1,092600;0,847662
-0,992900;0,997202
-0,893900;1,148017
-0,794200;1,297788
-0,695600;1,447747
-0,595200;1,597632
-0,495500;1,747629
-0,396500;1,898766
-0,297000;2,048784
-0,198000;2,198856
-0,098200;2,348900
-0,000300;2,498704
0,098100;2,648236
0,197000;2,798249
0,296700;2,948411
0,395800;3,098566
0,496300;3,249829
0,596100;3,399979
0,695500;3,550177
0,794500;3,700316
0,894300;3,850525
0,994600;4,001835
1,093200;4,151967
1,192800;4,302105
1,291300;4,452295
1,391500;4,602446

pomiar;18,000000;Uout->No load
-1,390600;0,401755
-1,292700;0,549218
-1,192800;0,697937
-1,094000;0,847183
-0,994200;0,996727
-0,893800;1,147477
-0,795000;1,297292
-0,695100;1,447165
-0,596000;1,597144
-0,496500;1,747045
-0,396600;1,898126
-0,296100;2,048184
-0,197500;2,198276
-0,098400;2,348313
-0,000800;2,498336
0,098200;2,648076
0,196900;2,798219
0,296700;2,948247
0,395700;3,098350
0,496100;3,249596
0,596100;3,399735
0,694900;3,549904
0,794500;3,700066
0,894200;3,850237
0,993700;4,001455
1,093300;4,151627
1,192800;4,301749
1,292000;4,451953
1,391800;4,602123

pomiar;18,000000;Uout->5K
-1,392100;0,401838
-1,292000;0,549200
-1,191700;0,698002
-1,092400;0,847312
-0,993800;0,996845
-0,894700;1,147637
-0,794900;1,297474
-0,694100;1,447348
-0,596100;1,597271
-0,496800;1,747229
-0,395000;1,898410
-0,296100;2,048416
-0,196600;2,198473
-0,098500;2,348504
-0,000100;2,498349
0,098000;2,647923
0,197400;2,797968
0,296500;2,948095
0,396100;3,098234
0,495700;3,249519
0,595300;3,399663
0,695000;3,549825
0,793900;3,699959
0,893300;3,850076
0,993900;4,001349
1,092900;4,151547
1,192700;4,301725
1,291400;4,451844
1,391400;4,602039

