pomiar;3,700000;Uout->No load
-1,393800;0,391301
-1,294300;0,539934
-1,194900;0,689452
-1,094500;0,839244
-0,994800;0,989317
-0,895600;1,140660
-0,794800;1,291003
-0,696800;1,441358
-0,595900;1,591834
-0,496600;1,742350
-0,397200;1,893954
-0,297600;2,044499
-0,198100;2,195094
-0,097500;2,345620
-0,000500;2,496208
0,099000;2,646341
0,197900;2,796842
0,297700;2,947407
0,397400;3,097883
0,497300;3,249559
0,597000;3,400111
0,695900;3,550672
0,795800;3,701267
0,895700;3,851849
0,995400;4,003485
1,095000;4,154007
1,194100;4,304536
1,293600;4,455050
1,393300;4,605498

pomiar;3,700000;Uout->5K
-1,392600;0,394704
-1,293000;0,542036
-1,194400;0,690808
-1,094200;0,840160
-0,995700;0,990015
-0,894100;1,141093
-0,795800;1,291283
-0,696700;1,441560
-0,597000;1,591960
-0,497600;1,742375
-0,397400;1,894024
-0,297800;2,044523
-0,197900;2,195075
-0,098500;2,345580
-0,000300;2,496149
0,097500;2,646262
0,197800;2,796782
0,297600;2,947348
0,396800;3,097937
0,497300;3,249642
0,597100;3,400216
0,696000;3,550748
0,795700;3,701357
0,895600;3,851876
0,995300;4,003507
1,095000;4,154062
1,194500;4,304574
1,294000;4,455032
1,393500;4,605543

pomiar;7,400000;Uout->No load
-1,392500;0,396560
-1,292100;0,543738
-1,192700;0,692541
-1,094500;0,841813
-0,994500;0,991397
-0,893500;1,142460
-0,795000;1,292422
-0,694700;1,442560
-0,596100;1,592750
-0,497000;1,743005
-0,395800;1,894433
-0,297500;2,044759
-0,197600;2,195117
-0,098900;2,345471
-0,000200;2,496207
0,098400;2,646464
0,197900;2,796821
0,297100;2,947256
0,396400;3,097616
0,496600;3,249169
0,596000;3,399637
0,695300;3,550027
0,795100;3,700404
0,894500;3,850852
0,994700;4,002359
1,093700;4,152687
1,193500;4,303058
1,293200;4,453421
1,391800;4,603696

pomiar;7,400000;Uout->5K
-1,392600;0,396840
-1,292800;0,543936
-1,192600;0,692631
-1,093100;0,841907
-0,994800;0,991476
-0,894200;1,142489
-0,795300;1,292488
-0,695900;1,442667
-0,595200;1,592863
-0,495900;1,743086
-0,395700;1,894474
-0,296900;2,044813
-0,197800;2,195194
-0,097600;2,345546
0,000100;2,496213
0,098300;2,646425
0,198000;2,796763
0,296900;2,947209
0,396500;3,097552
0,497000;3,249182
0,595800;3,399585
0,695300;3,549967
0,795100;3,700365
0,894500;3,850711
0,994400;4,002225
1,094300;4,152587
1,193100;4,302993
1,292900;4,453221
1,391500;4,603570

pomiar;12,000000;Uout->No load
-1,392600;0,396657
-1,293000;0,543647
-1,193800;0,692390
-1,093900;0,841653
-0,994600;0,991315
-0,893400;1,142279
-0,795300;1,292324
-0,695500;1,442494
-0,596500;1,592695
-0,496500;1,742843
-0,397200;1,894258
-0,297600;2,044589
-0,197700;2,194986
-0,098700;2,345307
-0,000500;2,496175
0,098200;2,646581
0,197800;2,796973
0,296600;2,947362
0,396500;3,097805
0,497000;3,249377
0,595800;3,399776
0,695200;3,550164
0,795100;3,700581
0,893900;3,851012
0,994400;4,002518
1,093000;4,152906
1,193300;4,303174
1,292400;4,453555
1,391700;4,603866

pomiar;12,000000;Uout->5K
-1,392300;0,396723
-1,292000;0,543889
-1,193500;0,692514
-1,093900;0,841795
-0,993500;0,991451
-0,894800;1,142499
-0,793600;1,292530
-0,694500;1,442614
-0,596600;1,592847
-0,496700;1,743152
-0,396600;1,894614
-0,296500;2,044918
-0,198300;2,195281
-0,098200;2,345613
-0,000200;2,496375
0,098600;2,646687
0,198100;2,797032
0,297100;2,947369
0,396700;3,097836
0,496900;3,249310
0,595900;3,399765
0,695000;3,550237
0,795100;3,700527
0,894100;3,850848
0,994500;4,002344
1,094200;4,152712
1,192800;4,303057
1,292600;4,453459
1,392000;4,603729

pomiar;18,000000;Uout->No load
-1,392100;0,396674
-1,293300;0,543809
-1,193600;0,692410
-1,093000;0,841708
-0,994600;0,991274
-0,894700;1,142271
-0,795700;1,292300
-0,694400;1,442420
-0,596300;1,592580
-0,496000;1,742855
-0,396800;1,894313
-0,296400;2,044613
-0,197700;2,194959
-0,099000;2,345397
-0,000300;2,496321
0,098300;2,646832
0,198000;2,797237
0,297000;2,947618
0,396400;3,098037
0,496300;3,249573
0,595800;3,400006
0,695600;3,550412
0,794000;3,700766
0,894200;3,851150
0,994500;4,002712
1,093500;4,153021
1,192900;4,303380
1,292300;4,453761
1,392000;4,604100

pomiar;18,000000;Uout->5K
-1,391800;0,396705
-1,293200;0,543853
-1,193000;0,692432
-1,094000;0,841706
-0,994200;0,991373
-0,894600;1,142413
-0,794700;1,292619
-0,695700;1,442173
-0,596800;1,592313
-0,496100;1,742452
-0,397400;1,893805
-0,297800;2,044071
-0,198200;2,194381
-0,098600;2,344742
-0,000200;2,496433
0,098100;2,647876
0,198500;2,798315
0,297500;2,948786
0,397700;3,099263
0,497600;3,250881
0,596600;3,401398
0,695500;3,551880
0,795800;3,702360
0,894900;3,852757
0,995300;4,004374
1,094300;4,154669
1,193800;4,305067
1,293400;4,455494
1,392900;4,605864

