pomiar;3,700000;Uout->No load
-1,393400;0,408452
-1,294500;0,556696
-1,195000;0,705783
-1,094400;0,855126
-0,996000;1,004389
-0,895700;1,155635
-0,796200;1,305434
-0,695700;1,454974
-0,596500;1,605321
-0,497100;1,755298
-0,397400;1,905569
-0,297700;2,056339
-0,197300;2,206080
-0,099000;2,355733
-0,000400;2,505994
0,098900;2,655401
0,197800;2,805782
0,297100;2,955732
0,396900;3,105230
0,497700;3,256322
0,596100;3,406270
0,695900;3,556219
0,795800;3,706213
0,894700;3,856034
0,995000;4,007172
1,094700;4,157169
1,194600;4,307068
1,293300;4,457036
1,393600;4,607049

pomiar;3,700000;Uout->5K
-1,393800;0,412223
-1,294300;0,559452
-1,193600;0,707951
-1,094800;0,856724
-0,995300;1,006089
-0,894800;1,156712
-0,796300;1,306309
-0,695800;1,456065
-0,597200;1,605555
-0,496900;1,755777
-0,396500;1,906730
-0,297300;2,056633
-0,196400;2,206733
-0,098400;2,356630
-0,000100;2,505933
0,098200;2,654840
0,197300;2,804755
0,296800;2,955301
0,396100;3,104640
0,496700;3,255730
0,596500;3,405784
0,695100;3,555649
0,795300;3,705596
0,895000;3,855582
0,994600;4,006662
1,094100;4,156969
1,194100;4,306817
1,293800;4,456967
1,392500;4,606492

pomiar;7,400000;Uout->No load
-1,392300;0,414710
-1,292400;0,560952
-1,192600;0,709499
-1,094400;0,858152
-0,994700;1,007629
-0,894100;1,157078
-0,794400;1,306653
-0,695400;1,456490
-0,595900;1,607022
-0,495300;1,756700
-0,397100;1,906948
-0,297200;2,056180
-0,197500;2,205994
-0,098700;2,356439
-0,000300;2,506001
0,098000;2,654755
0,197500;2,805235
0,297000;2,954634
0,396700;3,104042
0,496000;3,255064
0,596000;3,404883
0,696000;3,554794
0,794600;3,704697
0,893900;3,854768
0,994300;4,005332
1,094100;4,156106
1,192900;4,305884
1,292500;4,455188
1,391600;4,605331

pomiar;7,400000;Uout->5K
-1,390400;0,414921
-1,293000;0,561256
-1,192600;0,709207
-1,093600;0,858585
-0,993200;1,007567
-0,895000;1,157487
-0,794200;1,307469
-0,695900;1,457088
-0,596200;1,606189
-0,494900;1,756668
-0,396600;1,907687
-0,297600;2,056376
-0,197800;2,207200
-0,098400;2,355919
-0,000500;2,505938
0,098200;2,655406
0,198000;2,805255
0,297400;2,955020
0,396000;3,104217
0,496600;3,255182
0,595600;3,404569
0,695400;3,555088
0,795000;3,705208
0,894100;3,855083
0,994300;4,005139
1,094200;4,155621
1,192300;4,305458
1,291600;4,454376
1,390900;4,603994

pomiar;12,000000;Uout->No load
-1,392100;0,413964
-1,292300;0,560628
-1,193100;0,709915
-1,093400;0,858860
-0,994900;1,007033
-0,892800;1,158561
-0,795200;1,307107
-0,694900;1,456796
-0,595600;1,606456
-0,496100;1,756121
-0,396100;1,907313
-0,296700;2,056950
-0,196700;2,206456
-0,097000;2,356050
-0,000100;2,506019
0,099200;2,655111
0,197300;2,805288
0,296500;2,953960
0,396100;3,104126
0,496400;3,255756
0,595300;3,405066
0,695100;3,555101
0,794300;3,705161
0,894300;3,855114
0,993800;4,005600
1,093300;4,155235
1,192600;4,304986
1,292000;4,454492
1,391500;4,604456

pomiar;12,000000;Uout->5K
-1,392100;0,414150
-1,292000;0,561909
-1,191500;0,710097
-1,092500;0,858498
-0,992900;1,008142
-0,894200;1,157616
-0,794900;1,307541
-0,693800;1,457279
-0,595500;1,606973
-0,496000;1,756900
-0,395900;1,907094
-0,295800;2,057078
-0,197900;2,206781
-0,096800;2,356812
-0,000200;2,506058
0,097900;2,654702
0,196800;2,804523
0,296500;2,954226
0,396700;3,103876
0,495700;3,255228
0,595600;3,405191
0,695500;3,554647
0,794500;3,705039
0,893400;3,854164
0,994400;4,005887
1,093600;4,154809
1,192200;4,305026
1,292600;4,455088
1,391000;4,604771

pomiar;18,000000;Uout->No load
-1,391500;0,414546
-1,291600;0,561378
-1,193200;0,709426
-1,093700;0,858058
-0,994000;1,007455
-0,893400;1,158214
-0,793200;1,307850
-0,694000;1,457046
-0,596000;1,607102
-0,495100;1,756035
-0,396100;1,907265
-0,295900;2,056454
-0,197600;2,207109
-0,098100;2,356194
-0,000100;2,505980
0,097700;2,655209
0,197100;2,804411
0,296100;2,953943
0,396300;3,104419
0,495400;3,255025
0,595600;3,404911
0,695100;3,555329
0,794200;3,704483
0,893400;3,854168
0,994000;4,005157
1,093100;4,155701
1,192600;4,304831
1,291200;4,455189
1,391400;4,604337

pomiar;18,000000;Uout->5K
-1,391300;0,414438
-1,292600;0,561251
-1,193100;0,709723
-1,093300;0,858732
-0,993200;1,008116
-0,894000;1,158065
-0,794100;1,308094
-0,694100;1,457653
-0,595900;1,607131
-0,495500;1,756094
-0,396400;1,906872
-0,296400;2,057474
-0,196800;2,206475
-0,098000;2,356782
0,000300;2,505971
0,097800;2,655158
0,196700;2,804718
0,296500;2,954265
0,396300;3,103912
0,496300;3,255185
0,596200;3,405511
0,695100;3,554868
0,794500;3,704132
0,894000;3,853949
0,994600;4,005868
1,092900;4,155102
1,192500;4,305451
1,292200;4,454152
1,391100;4,604003

