pomiar;3,700000;Uout->No load
-1,393600;0,408873
-1,293400;0,556350
-1,194400;0,704761
-1,094500;0,853538
-0,996000;1,002630
-0,896600;1,152989
-0,796200;1,302325
-0,696700;1,451610
-0,597200;1,600870
-0,497900;1,750164
-0,396600;1,900146
-0,298400;2,050338
-0,199200;2,199794
-0,098200;2,349311
-0,000100;2,499713
0,099200;2,649570
0,198800;2,799195
0,297800;2,948756
0,397700;3,098359
0,497700;3,249099
0,597300;3,398708
0,696700;3,548301
0,796200;3,698157
0,895700;3,847572
0,995800;3,998634
1,095400;4,147889
1,195000;4,297601
1,294000;4,447056
1,394100;4,596758

pomiar;3,700000;Uout->5K
-1,394100;0,412159
-1,294700;0,558438
-1,194500;0,706475
-1,095100;0,854856
-0,995800;1,003610
-0,895100;1,153760
-0,797100;1,302856
-0,695700;1,452096
-0,597800;1,601384
-0,497100;1,750752
-0,398000;1,900798
-0,298900;2,050550
-0,199000;2,199858
-0,098400;2,349570
-0,000300;2,500284
0,099500;2,650433
0,198500;2,800100
0,298000;2,949425
0,397500;3,099105
0,497900;3,249779
0,598100;3,399294
0,697000;3,548908
0,796800;3,698452
0,896600;3,848043
0,996600;3,998874
1,096100;4,148337
1,195500;4,297965
1,295000;4,447514
1,394300;4,597071

pomiar;7,400000;Uout->No load
-1,392500;0,412595
-1,293100;0,559726
-1,195000;0,707539
-1,095100;0,855957
-0,994700;1,003940
-0,894700;1,153637
-0,796600;1,303514
-0,697000;1,452453
-0,597800;1,601793
-0,497000;1,750440
-0,397800;1,901400
-0,299100;2,049549
-0,199600;2,199784
-0,099100;2,348969
-0,000200;2,500410
0,099600;2,651093
0,198500;2,800735
0,298100;2,949755
0,397400;3,100055
0,498000;3,250028
0,597600;3,399123
0,697000;3,548554
0,796100;3,698013
0,895800;3,847871
0,996800;3,998803
1,095100;4,147733
1,194300;4,297073
1,293500;4,446321
1,393400;4,596115

pomiar;7,400000;Uout->5K
-1,392600;0,413349
-1,293400;0,559405
-1,194800;0,707177
-1,094300;0,855558
-0,996100;1,003451
-0,895400;1,154221
-0,795000;1,303193
-0,697900;1,451345
-0,597200;1,601356
-0,497500;1,750525
-0,398400;1,900555
-0,299800;2,049128
-0,198200;2,199307
-0,100000;2,348991
-0,000300;2,500294
0,099800;2,651109
0,199200;2,800395
0,298500;2,949790
0,397800;3,099948
0,498900;3,249996
0,597700;3,399373
0,696700;3,548731
0,796300;3,698046
0,895900;3,847438
0,995600;3,998054
1,095500;4,147372
1,195100;4,296880
1,294100;4,446793
1,393300;4,595860

pomiar;12,000000;Uout->No load
-1,393500;0,413195
-1,293500;0,559339
-1,195200;0,707079
-1,095600;0,855389
-0,995200;1,003938
-0,894900;1,153925
-0,796800;1,302059
-0,697400;1,452187
-0,597500;1,601344
-0,497800;1,750518
-0,398300;1,900218
-0,298200;2,050227
-0,197800;2,199484
-0,100800;2,348842
0,000100;2,500473
0,099600;2,651387
0,199300;2,801006
0,298600;2,950198
0,398200;3,100148
0,499000;3,250303
0,597500;3,400145
0,696800;3,549603
0,796500;3,698527
0,896000;3,848003
0,996700;3,999126
1,095600;4,148536
1,195400;4,297988
1,294400;4,447046
1,393400;4,596491

pomiar;12,000000;Uout->5K
-1,393900;0,411945
-1,293100;0,558681
-1,195400;0,705922
-1,095100;0,855097
-0,995300;1,003861
-0,895000;1,153862
-0,796200;1,302401
-0,697000;1,451959
-0,597800;1,600210
-0,497500;1,750427
-0,397900;1,900822
-0,298000;2,049480
-0,198600;2,198980
-0,100100;2,348765
-0,000300;2,500416
0,099500;2,651418
0,199200;2,801429
0,298500;2,951010
0,397700;3,099524
0,498100;3,250042
0,597300;3,399969
0,696000;3,548862
0,796700;3,698627
0,895600;3,847763
0,995900;3,998677
1,094800;4,147790
1,194800;4,297976
1,293800;4,446693
1,393500;4,596294

pomiar;18,000000;Uout->No load
-1,393700;0,412142
-1,293300;0,559198
-1,193800;0,706807
-1,095900;0,854392
-0,996200;1,004069
-0,895700;1,154026
-0,795500;1,302673
-0,697000;1,451929
-0,597600;1,601425
-0,497100;1,750627
-0,398800;1,900314
-0,298700;2,049878
-0,199400;2,199083
-0,099400;2,348802
-0,000100;2,500654
0,099800;2,651946
0,198900;2,801561
0,298500;2,950747
0,397800;3,100088
0,498200;3,250916
0,597200;3,400134
0,697000;3,549587
0,796300;3,698980
0,895800;3,848902
0,996000;3,998943
1,095000;4,148387
1,194200;4,298074
1,293900;4,447345
1,392900;4,596670

pomiar;18,000000;Uout->5K
-1,393900;0,412322
-1,294500;0,559001
-1,193700;0,706984
-1,095900;0,855521
-0,995000;1,003835
-0,895700;1,153703
-0,796700;1,302846
-0,697100;1,451928
-0,597900;1,601443
-0,497000;1,750734
-0,398300;1,900994
-0,298700;2,050401
-0,199700;2,199294
-0,100600;2,348444
-0,000200;2,500807
0,100300;2,652082
0,199000;2,801304
0,298500;2,951276
0,397700;3,100185
0,498300;3,250738
0,597300;3,400181
0,697100;3,549637
0,796700;3,699442
0,896500;3,848843
0,996100;3,999095
1,094700;4,148452
1,195000;4,298993
1,293300;4,447363
1,393600;4,597512

