pomiar;3,700000;Uout->No load
-1,395100;0,412195
-1,295000;0,559866
-1,196300;0,708415
-1,096700;0,857379
-0,997600;1,006448
-0,896900;1,156420
-0,797600;1,306055
-0,696800;1,455392
-0,598700;1,604732
-0,498600;1,754109
-0,397800;1,904652
-0,299400;2,054172
-0,199600;2,203656
-0,100400;2,353053
-0,000500;2,504920
0,100400;2,656408
0,199500;2,805730
0,299600;2,955189
0,398900;3,104755
0,498400;3,255413
0,597900;3,405121
0,697600;3,554411
0,796800;3,703957
0,897200;3,853551
0,997200;4,004181
1,096800;4,154049
1,196600;4,303250
1,295400;4,452779
1,395600;4,602298

pomiar;3,700000;Uout->5K
-1,395300;0,415675
-1,296200;0,562145
-1,196200;0,710117
-1,096900;0,858665
-0,997100;1,007469
-0,895800;1,157639
-0,796600;1,306763
-0,697900;1,455980
-0,598200;1,605297
-0,499000;1,754650
-0,398900;1,905125
-0,298000;2,054537
-0,198600;2,203889
-0,099300;2,353329
-0,000700;2,505118
0,100100;2,656478
0,199300;2,805868
0,298900;2,955374
0,397700;3,104874
0,498500;3,255511
0,598500;3,405101
0,698000;3,554637
0,797500;3,704137
0,896900;3,853710
0,996100;4,004341
1,096200;4,154658
1,196700;4,303294
1,295000;4,452764
1,395300;4,602302

pomiar;7,400000;Uout->No load
-1,393000;0,417080
-1,294800;0,563707
-1,196000;0,711681
-1,096100;0,859543
-0,996500;1,008649
-0,894900;1,158608
-0,797100;1,307746
-0,697000;1,456758
-0,597800;1,605889
-0,498800;1,755062
-0,398000;1,905513
-0,298200;2,054549
-0,200100;2,204061
-0,100000;2,353340
-0,000200;2,505282
0,100000;2,656748
0,199400;2,806066
0,299300;2,955444
0,398300;3,104747
0,498500;3,255429
0,598000;3,404691
0,697100;3,554108
0,797300;3,703772
0,895900;3,852712
0,996000;4,003120
1,095500;4,152431
1,194800;4,301821
1,294400;4,451071
1,394300;4,600528

pomiar;7,400000;Uout->5K
-1,393900;0,417079
-1,295100;0,563927
-1,195400;0,711593
-1,094800;0,860045
-0,997200;1,008663
-0,896400;1,158720
-0,795800;1,307634
-0,698000;1,456749
-0,597100;1,605968
-0,499100;1,754871
-0,398600;1,905224
-0,298400;2,054645
-0,199900;2,203758
-0,100700;2,352919
-0,000300;2,505117
0,099800;2,656603
0,199500;2,805822
0,298600;2,956123
0,398300;3,104748
0,498000;3,255038
0,597700;3,405005
0,697100;3,553670
0,796500;3,703040
0,896300;3,852409
0,995900;4,003472
1,095700;4,152336
1,195500;4,302340
1,294200;4,450918
1,394000;4,600624

pomiar;12,000000;Uout->No load
-1,393900;0,417286
-1,293700;0,563734
-1,195700;0,710748
-1,096000;0,859340
-0,996100;1,008414
-0,895000;1,158691
-0,796800;1,307738
-0,696600;1,456656
-0,597900;1,605979
-0,497500;1,755146
-0,397400;1,905491
-0,299100;2,054805
-0,200200;2,203668
-0,100500;2,353303
-0,000400;2,505327
0,099700;2,657302
0,198900;2,806073
0,298800;2,955476
0,397700;3,104827
0,498300;3,255345
0,597900;3,404670
0,696800;3,554041
0,796800;3,703390
0,896300;3,852768
0,995700;4,003325
1,095500;4,152595
1,194600;4,302381
1,294300;4,451856
1,393900;4,600903

pomiar;12,000000;Uout->5K
-1,394600;0,417397
-1,294500;0,563949
-1,195600;0,711603
-1,096000;0,860239
-0,996300;1,008299
-0,894900;1,158844
-0,797400;1,307871
-0,697300;1,456665
-0,598400;1,605653
-0,498800;1,755110
-0,398200;1,905460
-0,299000;2,054854
-0,200200;2,204109
-0,100200;2,353376
-0,000300;2,505323
0,099700;2,656932
0,199200;2,806246
0,298900;2,955558
0,398800;3,104913
0,498200;3,255388
0,597900;3,404879
0,697300;3,554832
0,796300;3,703522
0,896600;3,852891
0,996500;4,003416
1,095600;4,152759
1,195200;4,302102
1,294800;4,451863
1,394000;4,600946

pomiar;18,000000;Uout->No load
-1,394400;0,417581
-1,294900;0,563571
-1,194500;0,711298
-1,095400;0,859877
-0,995500;1,008857
-0,896700;1,158772
-0,796500;1,307043
-0,697300;1,456763
-0,597600;1,605888
-0,498000;1,755017
-0,398500;1,905359
-0,299100;2,054645
-0,200100;2,203777
-0,100200;2,353232
-0,000700;2,505520
0,100100;2,657424
0,199100;2,806947
0,298900;2,956120
0,398500;3,105451
0,498000;3,256359
0,597900;3,405300
0,698200;3,555099
0,796800;3,704059
0,896200;3,853497
0,996600;4,004720
1,095300;4,153234
1,195100;4,302579
1,293900;4,451955
1,393900;4,601318

pomiar;18,000000;Uout->5K
-1,393900;0,417546
-1,293600;0,563935
-1,195200;0,711686
-1,095900;0,860067
-0,996200;1,008546
-0,896500;1,158700
-0,795800;1,307729
-0,698100;1,456599
-0,597900;1,605839
-0,499100;1,755042
-0,398400;1,905438
-0,299200;2,054728
-0,198500;2,203980
-0,100800;2,353218
-0,000600;2,505509
0,100200;2,657625
0,199100;2,806662
0,299000;2,956047
0,398400;3,105507
0,498100;3,255967
0,598100;3,405333
0,696700;3,554748
0,796500;3,703979
0,896400;3,853591
0,995300;4,003813
1,095200;4,153309
1,195300;4,302598
1,294600;4,451996
1,393400;4,601170

