pomiar;3,700000;Uout->No load
-1,395300;0,389016
-1,295400;0,537904
-1,196900;0,687934
-1,096400;0,838286
-0,998200;0,988748
-0,897500;1,140382
-0,798300;1,291070
-0,698800;1,441754
-0,599200;1,592465
-0,498500;1,743208
-0,399300;1,895184
-0,299400;2,045961
-0,199600;2,196775
-0,100800;2,347534
-0,001000;2,501275
0,100700;2,654436
0,199600;2,805166
0,299200;2,956016
0,398700;3,106712
0,499100;3,258638
0,599000;3,409329
0,698300;3,560050
0,798000;3,710772
0,897700;3,861482
0,997400;4,013292
1,097300;4,163970
1,196500;4,314624
1,296200;4,465187
1,395900;4,615949

pomiar;3,700000;Uout->5K
-1,394800;0,392362
-1,296300;0,540078
-1,197100;0,689487
-1,096100;0,839348
-0,997000;0,989578
-0,897900;1,141307
-0,797600;1,291632
-0,697700;1,442284
-0,598700;1,592893
-0,499200;1,743639
-0,398000;1,895509
-0,299700;2,046227
-0,199300;2,196997
-0,100600;2,347720
-0,000700;2,501452
0,100900;2,654593
0,199800;2,805287
0,299700;2,956022
0,398600;3,106778
0,498900;3,258667
0,599100;3,409349
0,699100;3,560148
0,798100;3,710849
0,896900;3,861526
0,997200;4,013299
1,097200;4,163987
1,196600;4,314634
1,295500;4,465324
1,395900;4,615382

pomiar;7,400000;Uout->No load
-1,393200;0,394270
-1,294700;0,541965
-1,195600;0,691157
-1,096500;0,840944
-0,997000;0,990898
-0,895500;1,142282
-0,797200;1,292651
-0,697700;1,443068
-0,598500;1,593659
-0,499000;1,744213
-0,398600;1,895915
-0,298400;2,046467
-0,200200;2,197063
-0,101000;2,347629
-0,000300;2,501490
0,100100;2,654792
0,199900;2,805348
0,299000;2,955887
0,399000;3,106504
0,499600;3,258218
0,598100;3,408840
0,697500;3,559430
0,797300;3,709954
0,896500;3,860455
0,996400;4,012092
1,096000;4,162601
1,195400;4,313112
1,294500;4,463650
1,394500;4,614069

pomiar;7,400000;Uout->5K
-1,394700;0,394271
-1,295300;0,542016
-1,194400;0,691175
-1,096600;0,840877
-0,996700;0,990880
-0,895600;1,142306
-0,796500;1,292642
-0,697200;1,443088
-0,597600;1,593574
-0,498000;1,744128
-0,399400;1,895770
-0,300000;2,046390
-0,200600;2,196988
-0,100800;2,347643
0,000100;2,501467
0,100300;2,654725
0,199700;2,805210
0,298900;2,955872
0,398300;3,106533
0,498500;3,258168
0,598200;3,408749
0,697400;3,559353
0,797100;3,709878
0,896600;3,860435
0,996500;4,012058
1,095700;4,162594
1,195700;4,313056
1,294500;4,463562
1,393900;4,613990

pomiar;12,000000;Uout->No load
-1,394300;0,394099
-1,295400;0,541859
-1,195700;0,690968
-1,096500;0,840707
-0,997100;0,990793
-0,895800;1,142212
-0,796300;1,292547
-0,697900;1,442987
-0,598500;1,593542
-0,498000;1,744098
-0,397500;1,895798
-0,299800;2,046379
-0,199900;2,197003
-0,100500;2,347525
-0,000500;2,501519
0,100300;2,654985
0,199700;2,805600
0,299800;2,956161
0,398400;3,106756
0,498900;3,258497
0,597800;3,409039
0,697700;3,559612
0,796900;3,710199
0,896300;3,860714
0,996500;4,012378
1,095900;4,162891
1,195200;4,313372
1,295300;4,463817
1,394100;4,614248

pomiar;12,000000;Uout->5K
-1,394600;0,393978
-1,294300;0,541723
-1,195600;0,690925
-1,095300;0,840702
-0,997000;0,990738
-0,896600;1,142097
-0,797300;1,292512
-0,697700;1,442915
-0,598000;1,593422
-0,498000;1,743998
-0,398900;1,895745
-0,298400;2,046387
-0,199000;2,196937
-0,100800;2,347554
-0,000300;2,501569
0,100400;2,655007
0,199600;2,805546
0,299300;2,956110
0,398200;3,106769
0,498700;3,258449
0,597800;3,408994
0,697500;3,559569
0,795900;3,710122
0,896600;3,860682
0,996900;4,012255
1,095800;4,162781
1,195300;4,313279
1,294500;4,463756
1,394200;4,614216

pomiar;18,000000;Uout->No load
-1,394400;0,393822
-1,293900;0,541582
-1,194500;0,690749
-1,095800;0,840616
-0,996900;0,990661
-0,896500;1,142021
-0,796300;1,292379
-0,697200;1,442789
-0,597500;1,593257
-0,498700;1,743828
-0,399200;1,895570
-0,299800;2,046204
-0,199700;2,196807
-0,101000;2,347337
-0,000300;2,501610
0,099500;2,655390
0,199400;2,805904
0,299000;2,956522
0,398000;3,107088
0,499100;3,258802
0,598100;3,409359
0,697200;3,559891
0,796900;3,710474
0,896800;3,861021
0,996500;4,012715
1,096200;4,163248
1,195000;4,313807
1,294900;4,464306
1,393700;4,614691

pomiar;18,000000;Uout->5K
-1,394700;0,393962
-1,295200;0,541683
-1,195600;0,690851
-1,095400;0,840615
-0,996700;0,990652
-0,895900;1,141974
-0,797000;1,292334
-0,697600;1,442761
-0,598800;1,593261
-0,498600;1,743819
-0,398100;1,895455
-0,299200;2,046059
-0,200200;2,196678
-0,100600;2,347269
-0,000400;2,501515
0,099700;2,655251
0,200100;2,805837
0,299200;2,956445
0,399300;3,107045
0,498600;3,258711
0,598000;3,409276
0,697700;3,559818
0,796600;3,710336
0,896200;3,860856
0,996700;4,012632
1,096300;4,163077
1,195600;4,313676
1,295200;4,464165
1,394000;4,614618

